"","X","ID","Genotype","Treatment","Date","LWP","SWP","PD","LWP.area","SWP.area","PD.area","species_geno"
"58",290,"b40-14.7","b40-14","Control","12/01-03","12,200",NA,6,23.79444444,NA,NA,"b40-14"
"59",291,"b42-34.7","b42-34","Control","12/01-03","11,700",NA,7.9,34.86604167,NA,NA,"b42-34"
"60",292,"NY1.10","NY1","Control","12/01-03","14,500",NA,6,47.27972222,NA,NA,"NY1"
"61",293,"SC2.1","SC2","Control","12/01-03","12,500",NA,4.9,NA,NA,NA,"SC2"
"62",294,"T48.10","T48","Control","12/01-03","14,500",NA,5.9,87.20597222,NA,NA,"T48"
"63",295,"T48.3","T48","Drought","12/01-03","11,700",NA,9.6,59.034375,NA,NA,"T48"
"64",296,"T52.8","T52","Control","12/01-03","13,200",NA,7.4,87.07569444,NA,NA,"T52"
"65",297,"TXNM0821.1","TXNM0821","Drought","12/01-03","11,500",NA,7.5,80.65229167,NA,NA,"TXNM0821"
"66",298,"TXNM0821.5","TXNM0821","Control","12/01-03","11,600",NA,4.9,NA,NA,NA,"TXNM0821"
"67",299,"TXNM0821.8","TXNM0821","Drought","12/01-03","13,500",NA,6.5,54.26430556,NA,NA,"TXNM0821"
"68",300,"V60-96.4","V60-96","Drought","12/01-03","14,900",NA,8.1,47.006875,NA,NA,"V60-96"
"69",301,"V60-96.9","V60-96","Control","12/01-03","13,200",NA,6.2,NA,NA,NA,"V60-96"
"70",302,"Vru42.9","Vru42","Control","12/01-03","11,700",NA,7.5,37.37083333,NA,NA,"Vru42"
"71",303,"9018.2","9018","Drought","12/01-03","11,500",NA,10.2,34.48409722,NA,NA,"9018"
"72",304,"9018.7","9018","Control","12/01-03","10,500",NA,8.1,76.67409722,NA,NA,"9018"
"73",305,"9031.3","9031","Drought","12/01-03","9,500",NA,11.8,86.44493056,NA,NA,"9031"
"74",306,"9031.8","9031","Control","12/01-03","12,000",NA,8.9,90.86472222,NA,NA,"9031"
"75",307,"9035.6","9035","Control","12/01-03","9,500",NA,6.6,152.155625,NA,NA,"9035"
"76",309,"b42-34.3","b42-34","Drought","12/01-03","14,000",NA,14.7,37.00631944,NA,NA,"b42-34"
"77",310,"b42-34.8","b42-34","Control","12/01-03","12,000",NA,9.6,31.71645833,NA,NA,"b42-34"
"78",312,"NY1.7","NY1","Control","12/01-03","9,500",NA,8,83.23729167,NA,NA,"NY1"
"79",313,"SC2.2","SC2","Drought","12/01-03","13,000",NA,12.8,39.11777778,NA,NA,"SC2"
"80",314,"T48.5","T48","Drought","12/01-03","14,000",NA,10.7,39.46416667,NA,NA,"T48"
"81",316,"T52.2","T52","Drought","12/01-03","12,000",NA,9.4,40.01340278,NA,NA,"T52"
"82",317,"T52.9","T52","Control","12/01-03","11,000",NA,7.9,67.72111111,NA,NA,"T52"
"83",318,"TX6704.10","TX6704","Control","12/01-03","11,500",NA,6.8,62.58076389,NA,NA,"TX6704"
"84",319,"TXNM0821.6","TXNM0821","Control","12/01-03","12,000",NA,6.7,94.75618056,NA,NA,"TXNM0821"
