"","ID","Genotype","Species","Treatment","Order.within.block","mPot..kg.","Dry.weight.of.soil..kg.","mH2O..kg.","Date","PWW","WA","BB","TW","POWW","PD.WT","midday.WT","POWW.NOTES","WU","tgt_swc","SWC","species_geno"
"30","9018.10.","9018","acerifolia","Control",20,6.864,4.064200557,2.547799443,"12/04",6.07,0.539220056,1,6.609220056,6.6,NA,NA,NA,0.944829038999999,0.9,0.79236984223644,"acerifolia_9018"
"31","9018.10.","9018","acerifolia","Control",20,6.864,4.064200557,2.547799443,"12/07",5.99,7.116874652,1,6.354440111,7.11,NA,NA,NA,1.68,0.9,0.826670019489442,"acerifolia_9018"
"32","9018.10.","9018","acerifolia","Control",20,6.864,4.064200557,2.547799443,"12/09",6.21,0.906874652,1,6.354440111,7.11,NA,NA,NA,1.242,0.9,1.0199309034467,"acerifolia_9018"
"33","9018.10.","9018","acerifolia","Control",20,6.864,4.064200557,2.547799443,"12/14",6.47,0.139220056,1,6.609220056,6.64,NA,NA,NA,1.155,0.9,0.872678372235597,"acerifolia_9018"
"34","9018.2","9018","acerifolia","Drought",47,6.2945,3.714145775,2.328354225,"10/28",5.492,0.325269267,1,5.967269266,NA,NA,NA,NA,0.19547121675,0.8,0.619069941559257,"acerifolia_9018"
"35","9018.2","9018","acerifolia","Drought",47,6.2945,3.714145775,2.328354225,"10/30",5.546,0.271269267,1,5.967269266,NA,NA,NA,NA,0.12597121675,0.8,0.607473767871382,"acerifolia_9018"
"36","9018.2","9018","acerifolia","Drought",47,6.2945,3.714145775,2.328354225,"11/11",4.99,-0.092512535,1,4.897487465,4.89,NA,NA,NA,0.0739999999999997,0.4,0.469797169608074,"acerifolia_9018"
"37","9018.2","9018","acerifolia","Drought",47,6.2945,3.714145775,2.328354225,"11/16",4.78,-0.115347957,1,4.664652043,4.78,NA,NA,NA,0.12,0.3,0.39463678448669,"acerifolia_9018"
"38","9018.2","9018","acerifolia","Drought",47,6.2945,3.714145775,2.328354225,"11/23",4.57,0.094652043,1,4.664652043,4.67,NA,NA,NA,0.00399999999999943,0.3,0.282969926751588,"acerifolia_9018"
"39","9018.2","9018","acerifolia","Drought",47,6.2945,3.714145775,2.328354225,"11/25",4.57,0.094652043,1,4.664652043,4.66,NA,NA,NA,0.0399999999999995,0.3,0.280822487179759,"acerifolia_9018"
"40","9018.2","9018","acerifolia","Drought",47,6.2945,3.714145775,2.328354225,"11/27",4.5855,0.079152043,1,4.664652043,4.7635,NA,NA,NA,0.0667500000000005,0.3,0.282003578944265,"acerifolia_9018"
"41","9018.2","9018","acerifolia","Drought",47,6.2945,3.714145775,2.328354225,"11/30",4.58,0.084652043,1,4.664652043,4.66,NA,NA,NA,0.0711999999999996,0.3,0.303048486748188,"acerifolia_9018"
"42","9018.2","9018","acerifolia","Drought",47,6.2945,3.714145775,2.328354225,"12/02",4.57,0.094652043,1,4.664652043,4.57,NA,NA,NA,0.0581499999999999,0.3,0.27867504760793,"acerifolia_9018"
"43","9018.2","9018","acerifolia","Drought",47,6.2945,3.714145775,2.328354225,"12/04",4.51,-0.07818338,1,4.43181662,4.51,NA,NA,NA,0.0281500000000005,0.2,0.246463454137868,"acerifolia_9018"
"44","9018.2","9018","acerifolia","Drought",47,6.2945,3.714145775,2.328354225,"12/14",4.54,0.124652043,1,4.664652043,4.664652043,NA,NA,NA,0.0766666666666665,0.3,0.273231727015248,"acerifolia_9018"
"45","9018.2","9018","acerifolia","Drought",47,6.2945,3.714145775,2.328354225,"12/16",4.56,-0.12818338,1,4.43181662,4.56,NA,NA,NA,0.064652043000001,0.3,0.327526606266278,"acerifolia_9018"
"46","9018.3","9018","acerifolia","Drought",33,6.732,3.983064067,2.496935933,"10/28",5.619,0.613612813,1,6.232612813,NA,NA,NA,NA,0.48381476275,0.8,0.565066934538765,"acerifolia_9018"
"47","9018.3","9018","acerifolia","Drought",33,6.732,3.983064067,2.496935933,"10/30",5.61,0.622612813,1,6.232612813,NA,NA,NA,NA,0.47731476275,0.8,0.552451472690629,"acerifolia_9018"
"48","9018.3","9018","acerifolia","Drought",33,6.732,3.983064067,2.496935933,"11/06",4.982,0.501532034,1,5.483532033,5.4845,NA,NA,NA,0.36,0.5,0.398863230865283,"acerifolia_9018"
"49","9018.3","9018","acerifolia","Drought",33,6.732,3.983064067,2.496935933,"11/09",4.72,0.763532034,1,5.483532033,5.48,NA,NA,NA,0.5745,0.5,0.347300033628856,"acerifolia_9018"
"50","9018.3","9018","acerifolia","Drought",33,6.732,3.983064067,2.496935933,"11/11",5.02,0.21383844,1,5.23383844,5.26,NA,NA,NA,0.394000000000001,0.4,0.406472556999323,"acerifolia_9018"
"51","9018.3","9018","acerifolia","Drought",33,6.732,3.983064067,2.496935933,"11/13",4.8,0.184144847,1,4.984144847,4.984144847,NA,NA,NA,0.4,0.3,0.318364569368388,"acerifolia_9018"
"52","9018.3","9018","acerifolia","Drought",33,6.732,3.983064067,2.496935933,"11/16",4.48,0.504144847,1,4.984144847,4.98,NA,NA,NA,0.229999999999999,0.3,0.199047300265673,"acerifolia_9018"
"53","9018.3","9018","acerifolia","Drought",33,6.732,3.983064067,2.496935933,"11/23",4.68,0.304144847,1,4.984144847,5.029,NA,NA,NA,0.214,0.3,0.24227130736718,"acerifolia_9018"
"54","9018.3","9018","acerifolia","Drought",33,6.732,3.983064067,2.496935933,"11/25",4.7,0.284144847,1,4.984144847,5,NA,NA,NA,0.269,0.3,0.252083333249064,"acerifolia_9018"
"55","9018.3","9018","acerifolia","Drought",33,6.732,3.983064067,2.496935933,"11/27",4.649,0.335144847,1,4.984144847,4.9855,NA,NA,NA,0.34325,0.3,0.236063699156193,"acerifolia_9018"
"56","9018.3","9018","acerifolia","Drought",33,6.732,3.983064067,2.496935933,"11/30",4.6,0.384144847,1,4.984144847,4.98,NA,NA,NA,0.2732,0.3,0.223348114594977,"acerifolia_9018"
"57","9018.3","9018","acerifolia","Drought",33,6.732,3.983064067,2.496935933,"12/02",4.69,0.294144847,1,4.984144847,4.69,NA,NA,NA,0.25815,0.3,0.240268853105572,"acerifolia_9018"
"58","9018.3","9018","acerifolia","Drought",33,6.732,3.983064067,2.496935933,"12/04",4.54,0.194451254,1,4.734451254,4.73,NA,NA,NA,0.11815,0.2,0.152160865534711,"acerifolia_9018"
"59","9018.3","9018","acerifolia","Drought",33,6.732,3.983064067,2.496935933,"12/07",4.44,5.240802228,1,4.734451254,5.24,NA,NA,NA,0.142,0.2,0.140146139904984,"acerifolia_9018"
"60","9018.3","9018","acerifolia","Drought",33,6.732,3.983064067,2.496935933,"12/09",4.89,0.350802229,1,4.984144847,5.25,NA,NA,NA,0.264000000000001,0.3,0.332381749079503,"acerifolia_9018"
"61","9018.3","9018","acerifolia","Drought",33,6.732,3.983064067,2.496935933,"12/14",4.6625,0.321644847,1,4.984144847,4.9785,NA,NA,NA,0.284166666666667,0.3,0.235592090540034,"acerifolia_9018"
"62","9018.4","9018","acerifolia","Drought",10,6.712,3.970770659,2.489229341,"10/28",5.46,0.754154132,1,6.214154132,NA,NA,NA,NA,0.62435608175,0.8,0.458868663480052,"acerifolia_9018"
"63","9018.4","9018","acerifolia","Drought",10,6.712,3.970770659,2.489229341,"10/30",5.65,0.564154132,1,6.214154132,NA,NA,NA,NA,0.41885608175,0.8,0.535197508263663,"acerifolia_9018"
"64","9018.4","9018","acerifolia","Drought",10,6.712,3.970770659,2.489229341,"11/06",5.06,0.40738533,1,5.46738533,5.46,NA,NA,NA,0.262,0.5,0.416686933347537,"acerifolia_9018"
"65","9018.4","9018","acerifolia","Drought",10,6.712,3.970770659,2.489229341,"11/09",4.819,0.64838533,1,5.46738533,5.46,NA,NA,NA,0.451,0.5,0.368278376524246,"acerifolia_9018"
"66","9018.4","9018","acerifolia","Drought",10,6.712,3.970770659,2.489229341,"11/11",5.03,0.188462396,1,5.218462396,5.21,NA,NA,NA,0.364,0.4,0.410660971897165,"acerifolia_9018"
"67","9018.4","9018","acerifolia","Drought",10,6.712,3.970770659,2.489229341,"11/13",4.82,0.149539462,1,4.969539462,4.969539462,NA,NA,NA,0.33,0.3,0.318262896592621,"acerifolia_9018"
"68","9018.4","9018","acerifolia","Drought",10,6.712,3.970770659,2.489229341,"11/16",4.6,0.369539462,1,4.969539462,4.99,NA,NA,NA,0.130000000000001,0.3,0.225772315167323,"acerifolia_9018"
"69","9018.4","9018","acerifolia","Drought",10,6.712,3.970770659,2.489229341,"11/23",4.59,0.379539462,1,4.969539462,4.96,NA,NA,NA,0.273539462,0.3,0.223763661357228,"acerifolia_9018"
"70","9018.4","9018","acerifolia","Drought",10,6.712,3.970770659,2.489229341,"11/25",4.74,0.229539462,1,4.969539462,4.97,NA,NA,NA,0.16,0.3,0.251977320839398,"acerifolia_9018"
"71","9018.4","9018","acerifolia","Drought",10,6.712,3.970770659,2.489229341,"11/27",4.6625,0.307039462,1,4.969539462,5.071,NA,NA,NA,0.29975,0.3,0.238418907621256,"acerifolia_9018"
