"","ID","Genotype","Treatment","Species","TotalLeafArea","canopy_biomass","root_biomass"
"93","T52.10","T52","Control","aestivalis",7265.738182,45.3,16.4003
"94","T52.2","T52","Drought",NA,NA,5.4,15.1459
"95","T52.2","T52","Drought",NA,NA,5.4,15.1459
"96","T52.3","T52","Drought",NA,NA,8.6,13.9521
"97","T52.3","T52","Drought",NA,NA,8.6,13.9521
"98","T52.3","T52","Drought",NA,NA,8.6,13.9521
"99","T52.4","T52","Drought","aestivalis",1808.980616,16.7,22.0292
"100","T52.4","T52","Drought","aestivalis",1808.980616,16.7,22.0292
"101","T52.4","T52","Drought","aestivalis",1808.980616,16.7,22.0292
"102","T52.4","T52","Drought","aestivalis",1808.980616,16.7,22.0292
"103","T52.5","T52","Drought","aestivalis",498.04,7.2,22.8169
"104","T52.6","T52","Control","aestivalis",9870.327082,72.2,28.3423
"105","T52.6","T52","Control","aestivalis",9870.327082,72.2,28.3423
"106","T52.7","T52","Control",NA,NA,48.4,17.2801
"107","T52.7","T52","Control",NA,NA,48.4,17.2801
"108","T52.7","T52","Control",NA,NA,48.4,17.2801
"109","T52.8","T52","Control","aestivalis",9182.839267,59.8,23.1824
"110","T52.8","T52","Control","aestivalis",9182.839267,59.8,23.1824
"111","T52.8","T52","Control","aestivalis",9182.839267,59.8,23.1824
"112","T52.9","T52","Control",NA,NA,45.6,30.1568
"113","TXNM0821.1","TXNM0821","Drought","riparia",1193.22,15.9,10.5526
"114","TXNM0821.10","TXNM0821","Control",NA,NA,41.9,9.7118
"115","TXNM0821.10","TXNM0821","Control",NA,NA,41.9,9.7118
"116","TXNM0821.10","TXNM0821","Control",NA,NA,41.9,9.7118
"117","TXNM0821.2","TXNM0821","Drought","riparia",1834.841647,23,10.5019
"118","TXNM0821.2","TXNM0821","Drought","riparia",1834.841647,23,10.5019
"119","TXNM0821.2","TXNM0821","Drought","riparia",1834.841647,23,10.5019
"120","TXNM0821.3","TXNM0821","Drought","riparia",1742.87,16.7,8.5535
"121","TXNM0821.3","TXNM0821","Drought","riparia",1742.87,16.7,8.5535
"122","TXNM0821.3","TXNM0821","Drought","riparia",1742.87,16.7,8.5535
"123","TXNM0821.3","TXNM0821","Drought","riparia",1742.87,16.7,8.5535
"124","TXNM0821.3","TXNM0821","Drought","riparia",1742.87,16.7,8.5535
"125","TXNM0821.4","TXNM0821","Drought",NA,NA,16.1,9.3114
"126","TXNM0821.4","TXNM0821","Drought",NA,NA,16.1,9.3114
"127","TXNM0821.4","TXNM0821","Drought",NA,NA,16.1,9.3114
"128","TXNM0821.5","TXNM0821","Control","riparia",5713.422256,52.9,13.4268
"129","TXNM0821.5","TXNM0821","Control","riparia",5713.422256,52.9,13.4268
"130","TXNM0821.5","TXNM0821","Control","riparia",5713.422256,52.9,13.4268
"131","TXNM0821.5","TXNM0821","Control","riparia",5713.422256,52.9,13.4268
"132","TXNM0821.6","TXNM0821","Control",NA,NA,45.9,12.6397
"133","TXNM0821.7","TXNM0821","Control","riparia",5499.96894,52.8,18.1925
"134","TXNM0821.8","TXNM0821","Drought","riparia",2165.060221,24.8,14.7125
"135","TXNM0821.9","TXNM0821","Control","riparia",5701.947288,56.8,19.7714
"136","TXNM0821.9","TXNM0821","Control","riparia",5701.947288,56.8,19.7714
