Species,Treatment,Replicate,Number of Slices/Stack,Average air_space area (pixel),Average mesophyll_S (pixel),Average msophyll_P (pixel),Thickness per slice (um=micron),1 pixel=0.65 (um=micron),air_space area (um=micron)*thickness,air_space volume adjusted for 500 slices,mesophyll_S area (um=micron)*thickness,mesophyll_S volume adjusted for 500 slices,mesophyll_P area (um=micron)*thickness,mesophyll_P volume adjusted for 500 slices,Mesophyll (S+P) volume,mesophyll volume (S+P+airspace),Porosity,Mesophyll_S V/Total mesophyll V,Mesophyll_P V/Total mesophyll V,Mesophyll_SV/Mesophyll_PV
9018,C,3,500,202753.212,188246.792,126264.88,0.65,0.65,85663.23207,85663.23207,79534.26962,79534.26962,53346.9118,53346.9118,132881.1814,218544.4135,0.3919717311,0.3639272601,0.2441010088,1.490887981
9018,D,1,500,168749.08,105739.804,122202.39,0.65,0.65,71296.4863,71296.4863,44675.06719,44675.06719,51630.50978,51630.50978,96305.57697,167602.0633,0.4253914595,0.2665543987,0.3080541419,0.8652842551
9018,D,2,500,209948.334,110889.55,156930.674,0.65,0.65,88703.17112,88703.17112,46850.83488,46850.83488,66303.20977,66303.20977,113154.0446,201857.2158,0.4394352255,0.2320988858,0.3284658887,0.706614884
9018,D,3,500,182076.624,128509.388,138805.542,0.65,0.65,76927.37364,76927.37364,54295.21643,54295.21643,58645.3415,58645.3415,112940.5579,189867.9316,0.4051625412,0.2859630691,0.3088743897,0.9258231779
9018,D,4,500,169613.57,113701.098,130418.676,0.65,0.65,71661.73333,71661.73333,48038.71391,48038.71391,55101.89061,55101.89061,103140.6045,174802.3378,0.4099586665,0.2748173423,0.3152239912,0.8718160733
b40-14,C,1,500,93952.084,109224.822,127288.55,0.65,0.65,39694.75549,39694.75549,46147.4873,46147.4873,53779.41238,53779.41238,99926.89967,139621.6552,0.2843022842,0.3305181223,0.3851795935,0.8580883512
b40-14,C,2,500,87252.112,94502.49,102034.552,0.65,0.65,36864.01732,36864.01732,39927.30203,39927.30203,43109.59822,43109.59822,83036.90025,119900.9176,0.3074540051,0.3330024727,0.3595435222,0.9261812606
b40-14,C,3,500,87835.284,102237.536,97300.032,0.65,0.65,37110.40749,37110.40749,43195.35896,43195.35896,41109.26352,41109.26352,84304.62248,121415.03,0.3056492059,0.3557661598,0.3385846343,1.050745143
b40-14,D,1,500,66981.31,82452.188,92393.17,0.65,0.65,28299.60348,28299.60348,34836.04943,34836.04943,39036.11433,39036.11433,73872.16376,102171.7672,0.2769806596,0.3409557295,0.3820636109,0.8924056616
b40-14,D,2,500,96412.9,99437.148,102628.244,0.65,0.65,40734.45025,40734.45025,42012.19503,42012.19503,43360.43309,43360.43309,85372.62812,126107.0784,0.3230147806,0.3331470015,0.3438382179,0.9689062594
b40-14,D,3,500,59182.968,56049.218,58573.866,0.65,0.65,25004.80398,25004.80398,23680.79461,23680.79461,24747.45839,24747.45839,48428.25299,73433.05697,0.340511549,0.3224813944,0.3370070566,0.9568980473
b40-14,D,4,500,94682.39,87285.008,115756.256,0.65,0.65,40003.30978,40003.30978,36877.91588,36877.91588,48907.01816,48907.01816,85784.93404,125788.2438,0.3180210532,0.2931745826,0.3888043642,0.7540413885
b42-34,C,1,500,68291.374,79189.224,52147.758,0.65,0.65,28853.10552,28853.10552,33457.44714,33457.44714,22032.42776,22032.42776,55489.8749,84342.98041,0.3420925532,0.3966832447,0.261224202,1.518554719
b42-34,C,2,500,130102.454,115752.332,85353.97,0.65,0.65,54968.28682,54968.28682,48905.36027,48905.36027,36062.05233,36062.05233,84967.4126,139935.6994,0.3928110343,0.3494845166,0.2577044491,1.356144676
b42-34,C,3,500,116258.36,121344.91,96060.84,0.65,0.65,49119.1571,49119.1571,51268.22448,51268.22448,40585.7049,40585.7049,91853.92938,140973.0865,0.3484293231,0.3636738455,0.2878968313,1.263208921
b42-34,C,4,500,119548.376,96191.344,78907.18,0.65,0.65,50509.18886,50509.18886,40640.84284,40640.84284,33338.28355,33338.28355,73979.12639,124488.3153,0.4057343756,0.3264631123,0.2678025121,1.219044249
b42-34,D,1,500,80152.182,103504.938,74916.91,0.65,0.65,33864.2969,33864.2969,43730.83631,43730.83631,31652.39448,31652.39448,75383.23078,109247.5277,0.3099776957,0.4002913131,0.2897309912,1.381596465
b42-34,D,2,500,77713.048,143168.09,95104.25,0.65,0.65,32833.76278,32833.76278,60488.51803,60488.51803,40181.54563,40181.54563,100670.0637,133503.8264,0.2459387394,0.4530845268,0.3009767338,1.505380569
b42-34,D,3,500,92708.914,150129.31,114946.302,0.65,0.65,39169.51617,39169.51617,63429.63348,63429.63348,48564.8126,48564.8126,111994.4461,151163.9622,0.2591194064,0.4196081694,0.3212724242,1.306082122
b42-34,D,4,500,80795.7,160498.914,101913.606,0.65,0.65,34136.18325,34136.18325,67810.79117,67810.79117,43058.49854,43058.49854,110869.2897,145005.473,0.2354130679,0.4676429778,0.2969439543,1.574852665
T48,C,1,500,106032.136,96656.376,117484.886,0.65,0.65,44798.57746,44798.57746,40837.31886,40837.31886,49637.36434,49637.36434,90474.6832,135273.2607,0.3311709738,0.3018875915,0.3669414347,0.8227132808
T48,C,2,500,86066.19,60672.646,69494.094,0.65,0.65,36362.96528,36362.96528,25634.19294,25634.19294,29361.25472,29361.25472,54995.44765,91358.41293,0.3980253609,0.2805892978,0.3213853413,0.8730619036
T48,C,3,500,90889.502,53766.414,80249.156,0.65,0.65,38400.8146,38400.8146,22716.30992,22716.30992,33905.26841,33905.26841,56621.57833,95022.39292,0.404123843,0.2390627011,0.3568134559,0.6699935137
T48,C,4,500,95633.616,66086.042,87584.492,0.65,0.65,40405.20276,40405.20276,27921.35275,27921.35275,37004.44787,37004.44787,64925.80062,105331.0034,0.3836021823,0.2650819972,0.3513158205,0.7545404499
T48,D,1,500,77516.98,56344.254,70295.262,0.65,0.65,32750.92405,32750.92405,23805.44732,23805.44732,29699.7482,29699.7482,53505.19551,86256.11956,0.3796939187,0.2759856047,0.3443204766,0.8015370083
T48,D,2,500,45185.926,34395.132,49487.004,0.65,0.65,19091.05374,19091.05374,14531.94327,14531.94327,20908.25919,20908.25919,35440.20246,54531.2562,0.3500937823,0.2664883277,0.38341789,0.6950336294
T48,D,3,500,67481.41,56381.434,66423.064,0.65,0.65,28510.89573,28510.89573,23821.15587,23821.15587,28063.74454,28063.74454,51884.90041,80395.79613,0.3546316735,0.2962985257,0.3490698008,0.8488231437
T48,D,4,500,95536.81081,61574.88108,79378.82162,0.65,0.65,40364.30257,40364.30257,26015.38726,26015.38726,33537.55214,33537.55214,59552.93939,99917.24196,0.4039773494,0.2603693491,0.3356533014,0.7757091857
NY1,C,1,500,113298.572,115104.462,124516.892,0.65,0.65,47868.64667,47868.64667,48631.6352,48631.6352,52608.38687,52608.38687,101240.0221,149108.6687,0.3210319499,0.3261489463,0.3528191038,0.9244084088
NY1,C,2,500,121983.446,116586.33,126173.932,0.65,0.65,51538.00594,51538.00594,49257.72443,49257.72443,53308.48627,53308.48627,102566.2107,154104.2166,0.3344360528,0.3196390436,0.3459249035,0.9240128143
NY1,C,3,500,141976.854,116730.712,164976.11,0.65,0.65,59985.22082,59985.22082,49318.72582,49318.72582,69702.40648,69702.40648,119021.1323,179006.3531,0.335101072,0.2755138293,0.3893850987,0.7075613069
NY1,C,4,500,110751.726,95909.308,125717.844,0.65,0.65,46792.60424,46792.60424,40521.68263,40521.68263,53115.78909,53115.78909,93637.47172,140430.076,0.3332092781,0.2885541602,0.3782365617,0.7628933567
NY1,D,1,500,122520.216,94636.392,104649.86,0.65,0.65,51764.79126,51764.79126,39983.87562,39983.87562,44214.56585,44214.56585,84198.44147,135963.2327,0.3807263936,0.2940785889,0.3251950175,0.904314559
NY1,D,2,500,121981.82,112982.384,123111.734,0.65,0.65,51537.31895,51537.31895,47735.05724,47735.05724,52014.70762,52014.70762,99749.76486,151287.0838,0.3406590811,0.3155263228,0.3438145961,0.9177223026
NY1,D,3,500,121359.784,101224.026,112741.23,0.65,0.65,51274.50874,51274.50874,42767.15099,42767.15099,47633.16968,47633.16968,90400.32066,141674.8294,0.3619168554,0.3018683782,0.3362147664,0.8978439032
NY1,D,4,500,138816.32,100996.496,185723.008,0.65,0.65,58649.8952,58649.8952,42671.01956,42671.01956,78467.97088,78467.97088,121138.9904,179788.8856,0.3262153553,0.2373395853,0.4364450594,0.5438017459
T52,C,1,500,62621.884,111660.338,93551.496,0.65,0.65,26457.74599,26457.74599,47176.49281,47176.49281,39525.50706,39525.50706,86701.99987,113159.7459,0.2338088142,0.4169017211,0.3492894647,1.193570844
T52,C,2,500,73571.038,125847.788,106468.614,0.65,0.65,31083.76356,31083.76356,53170.69043,53170.69043,44982.98942,44982.98942,98153.67985,129237.4434,0.2405167012,0.4114186186,0.3480646803,1.182017717
T52,C,3,500,71610.596,119532.588,121487.204,0.65,0.65,30255.47681,30255.47681,50502.51843,50502.51843,51328.34369,51328.34369,101830.8621,132086.3389,0.2290583345,0.3823447515,0.388596914,0.9839109311
T52,C,4,500,64911.716,116154.142,111207.77,0.65,0.65,27425.20001,27425.20001,49075.125,49075.125,46985.28283,46985.28283,96060.40782,123485.6078,0.2220922785,0.3974157463,0.3804919751,1.044478655
T52,D,1,500,67204.918,99059.468,112422.94,0.65,0.65,28394.07786,28394.07786,41852.62523,41852.62523,47498.69215,47498.69215,89351.31738,117745.3952,0.2411480958,0.355450208,0.4034016961,0.8811321604
T52,D,2,500,83017.022,114217.574,126224.236,0.65,0.65,35074.6918,35074.6918,48256.92502,48256.92502,53329.73971,53329.73971,101586.6647,136661.3565,0.2566540585,0.3531131714,0.39023277,0.9048783151
T52,D,3,500,59033.968,112341.55,127941.804,0.65,0.65,24941.85148,24941.85148,47464.30488,47464.30488,54055.41219,54055.41219,101519.7171,126461.5685,0.1972287057,0.3753259225,0.4274453718,0.8780675783
T52,D,4,500,55937.85744,84908.60377,88998.00839,0.65,0.65,23633.74477,23633.74477,35873.88509,35873.88509,37601.65854,37601.65854,73475.54364,97109.28841,0.2433726491,0.3694176498,0.3872097012,0.9540506053
