"","ID","species_geno","Treatment","Date","WPType","WP","Date_group"
"86","TX6704.7","TX6704","Control","11/11","LWP",11.9,"Nov 9 to 13"
"87","TXNM0821.1","TXNM0821","Drought","11/11","LWP",9,"Nov 9 to 13"
"88","TXNM0821.5","TXNM0821","Control","11/11","LWP",6.5,"Nov 9 to 13"
"89","TXNM0821.8","TXNM0821","Drought","11/11","LWP",9.5,"Nov 9 to 13"
"90","V60-96.4","V60-96","Drought","11/11","LWP",6.5,"Nov 9 to 13"
"91","Vru42.3","Vru42","Drought","11/11","LWP",10,"Nov 9 to 13"
"92","Vru42.9","Vru42","Control","11/11","LWP",10,"Nov 9 to 13"
"93","9018.7","9018","Control","11/11","LWP",7,"Nov 9 to 13"
"94","9031.3","9031","Drought","11/11","LWP",10.8,"Nov 9 to 13"
"95","9031.8","9031","Control","11/11","LWP",10.3,"Nov 9 to 13"
"96","9035.4","9035","Drought","11/11","LWP",7.9,"Nov 9 to 13"
"97","9035.6","9035","Control","11/11","LWP",6.6,"Nov 9 to 13"
"98","b40-14.4","b40-14","Drought","11/11","LWP",12.3,"Nov 9 to 13"
"99","b40-14.8","b40-14","Control","11/11","LWP",9.7,"Nov 9 to 13"
"100","b42-34.3","b42-34","Drought","11/11","LWP",13.6,"Nov 9 to 13"
"101","b42-34.8","b42-34","Control","11/11","LWP",7.6,"Nov 9 to 13"
"102","NY1.3","NY1","Drought","11/11","LWP",10.3,"Nov 9 to 13"
"103","NY1.7","NY1","Control","11/11","LWP",7.7,"Nov 9 to 13"
"104","SC2.2","SC2","Drought","11/11","LWP",8.8,"Nov 9 to 13"
"105","SC2.6","SC2","Control","11/11","LWP",6.4,"Nov 9 to 13"
"106","T48.5","T48","Drought","11/11","LWP",8.3,"Nov 9 to 13"
"107","T48.9","T48","Control","11/11","LWP",8.2,"Nov 9 to 13"
"108","T52.2","T52","Drought","11/11","LWP",8.2,"Nov 9 to 13"
"109","T52.9","T52","Control","11/11","LWP",8.5,"Nov 9 to 13"
"110","TX6704.10","TX6704","Control","11/11","LWP",9.3,"Nov 9 to 13"
"111","TX6704.4","TX6704","Drought","11/11","LWP",9.8,"Nov 9 to 13"
"112","TXNM0821.6","TXNM0821","Control","11/11","LWP",6.5,"Nov 9 to 13"
"113","V60-96.5","V60-96","Drought","11/11","LWP",8.3,"Nov 9 to 13"
"114","Vru42.4","Vru42","Drought","11/11","LWP",8.4,"Nov 9 to 13"
"115","Vru42.7","Vru42","Control","11/11","LWP",8.5,"Nov 9 to 13"
"116","9018.5","9018","Drought","11/16","LWP",11.7,"Nov 16 to 18"
"117","9018.6","9018","Control","11/16","LWP",10.9,"Nov 16 to 18"
"118","9031.10","9031","Control","11/16","LWP",12.4,"Nov 16 to 18"
"119","9031.5","9031","Drought","11/16","LWP",11.1,"Nov 16 to 18"
"120","b40-14.1","b40-14","Drought","11/16","LWP",10.3,"Nov 16 to 18"
"121","b42-34.2","b42-34","Drought","11/16","LWP",12.7,"Nov 16 to 18"
"122","b42-34.6","b42-34","Control","11/16","LWP",14,"Nov 16 to 18"
