"","ID","species_geno","Treatment","Date","WPType","WP","Date_group"
"348","SC2.9","SC2","Drought","12/11","LWP",10.5,"Dec 11 to 18"
"349","T52.1","T52","Drought","12/11","LWP",9.5,"Dec 11 to 18"
"350","TX6704.9","TX6704","Control","12/11","LWP",11.5,"Dec 11 to 18"
"351","V60-96.1","V60-96","Drought","12/11","LWP",11.5,"Dec 11 to 18"
"352","Vru42.6","Vru42","Control","12/11","LWP",5.457,"Dec 11 to 18"
"353","9018.3","9018","Drought","12/15","LWP",14.5,"Dec 11 to 18"
"354","9018.8","9018","Control","12/15","LWP",11.5,"Dec 11 to 18"
"355","9031.7","9031","Control","12/15","LWP",12.6,"Dec 11 to 18"
"356","9035.2","9035","Drought","12/15","LWP",10.5,"Dec 11 to 18"
"357","9035.7","9035","Control","12/15","LWP",9,"Dec 11 to 18"
"358","b40-14.6","b40-14","Control","12/15","LWP",13,"Dec 11 to 18"
"359","b42-34.1","b42-34","Drought","12/15","LWP",14.6,"Dec 11 to 18"
"360","b42-34.9","b42-34","Control","12/15","LWP",12.6,"Dec 11 to 18"
"361","NY1.5","NY1","Drought","12/15","LWP",12.9,"Dec 11 to 18"
"362","NY1.9","NY1","Control","12/15","LWP",14.6,"Dec 11 to 18"
"363","SC2.9","SC2","Drought","12/15","LWP",10.5,"Dec 11 to 18"
"364","T48.2","T48","Drought","12/15","LWP",7.5,"Dec 11 to 18"
"365","T48.6","T48","Control","12/15","LWP",12.6,"Dec 11 to 18"
"366","T52.1","T52","Drought","12/15","LWP",9.5,"Dec 11 to 18"
"367","T52.6","T52","Control","12/15","LWP",8.5,"Dec 11 to 18"
"368","TX6704.9","TX6704","Control","12/15","LWP",11.5,"Dec 11 to 18"
"369","TXNM0821.7","TXNM0821","Control","12/15","LWP",7.5,"Dec 11 to 18"
"370","V60-96.1","V60-96","Drought","12/15","LWP",11.5,"Dec 11 to 18"
"371","V60-96.7","V60-96","Control","12/15","LWP",8.4,"Dec 11 to 18"
"372","Vru42.6","Vru42","Control","12/15","LWP",13.6,"Dec 11 to 18"
"373","9018.10","9018","Control","12/16","LWP",14.3,"Dec 11 to 18"
"374","9018.4","9018","Drought","12/16","LWP",14.9,"Dec 11 to 18"
"375","9035.8","9035","Control","12/16","LWP",10.8,"Dec 11 to 18"
"376","b40-14.3","b40-14","Drought","12/16","LWP",14,"Dec 11 to 18"
"377","b40-14.9","b40-14","Control","12/16","LWP",14.9,"Dec 11 to 18"
"378","b42-34.10","b42-34","Control","12/16","LWP",6,"Dec 11 to 18"
"379","NY1.2","NY1","Drought","12/16","LWP",13,"Dec 11 to 18"
"380","NY1.8","NY1","Control","12/16","LWP",10.5,"Dec 11 to 18"
"381","SC2.4","SC2","Drought","12/16","LWP",14.2,"Dec 11 to 18"
"382","SC2.8","SC2","Control","12/16","LWP",11.2,"Dec 11 to 18"
"383","T48.1","T48","Drought","12/16","LWP",12,"Dec 11 to 18"
"384","T48.8","T48","Control","12/16","LWP",10,"Dec 11 to 18"
"385","T52.10","T52","Control","12/16","LWP",11.5,"Dec 11 to 18"
"386","TX6704.8","TX6704","Control","12/16","LWP",12.8,"Dec 11 to 18"
"387","TXNM0821.2","TXNM0821","Drought","12/16","LWP",12,"Dec 11 to 18"
"388","TXNM0821.9","TXNM0821","Control","12/16","LWP",11.5,"Dec 11 to 18"
"389","V60-96.2","V60-96","Drought","12/16","LWP",13.5,"Dec 11 to 18"
"390","V60-96.6","V60-96","Control","12/16","LWP",9.5,"Dec 11 to 18"
"391","Vru42.8","Vru42","Control","12/16","LWP",14.6,"Dec 11 to 18"
"392","9018.1","9018","Drought","12/17","LWP",14,"Dec 11 to 18"
"393","9018.9","9018","Control","12/17","LWP",12.5,"Dec 11 to 18"
"394","b40-14.7","b40-14","Control","12/17","LWP",14,"Dec 11 to 18"
"395","NY1.10","NY1","Control","12/17","LWP",13.5,"Dec 11 to 18"
"396","NY1.4","NY1","Drought","12/17","LWP",14,"Dec 11 to 18"
"397","SC2.1","SC2","Control","12/17","LWP",10.5,"Dec 11 to 18"
"398","T48.10","T48","Control","12/17","LWP",10,"Dec 11 to 18"
"399","T48.3","T48","Drought","12/17","LWP",14.1,"Dec 11 to 18"
"400","T52.5","T52","Drought","12/17","LWP",14.5,"Dec 11 to 18"
"401","T52.8","T52","Control","12/17","LWP",12,"Dec 11 to 18"
"402","TXNM0821.1","TXNM0821","Drought","12/17","LWP",11,"Dec 11 to 18"
"403","TXNM0821.5","TXNM0821","Control","12/17","LWP",12,"Dec 11 to 18"
"404","TXNM0821.8","TXNM0821","Drought","12/17","LWP",10,"Dec 11 to 18"
"405","V60-96.9","V60-96","Control","12/17","LWP",9.5,"Dec 11 to 18"
"406","Vru42.9","Vru42","Control","12/17","LWP",13.5,"Dec 11 to 18"
"407","9035.3","9035","Drought","12/18","LWP",13.5,"Dec 11 to 18"
"408","9018.2","9018","Drought","12/18","LWP",14.5,"Dec 11 to 18"
"409","9018.7","9018","Control","12/18","LWP",12,"Dec 11 to 18"
"410","9031.8","9031","Control","12/18","LWP",10.5,"Dec 11 to 18"
"411","9035.4","9035","Drought","12/18","LWP",14,"Dec 11 to 18"
"412","9035.6","9035","Control","12/18","LWP",11,"Dec 11 to 18"
"413","b42-34.8","b42-34","Control","12/18","LWP",12,"Dec 11 to 18"
"414","NY1.7","NY1","Control","12/18","LWP",14.8,"Dec 11 to 18"
"415","SC2.2","SC2","Drought","12/18","LWP",14,"Dec 11 to 18"
"416","T48.5","T48","Drought","12/18","LWP",11.5,"Dec 11 to 18"
"417","T48.9","T48","Control","12/18","LWP",11,"Dec 11 to 18"
"418","T52.9","T52","Control","12/18","LWP",11,"Dec 11 to 18"
"419","TX6704.10","TX6704","Control","12/18","LWP",10,"Dec 11 to 18"
"420","TXNM0821.6","TXNM0821","Control","12/18","LWP",13,"Dec 11 to 18"
"421","V60-96.10","V60-96","Control","12/18","LWP",12,"Dec 11 to 18"
"422","V60-96.5","V60-96","Drought","12/18","LWP",13.5,"Dec 11 to 18"
"2006","9018.5","9018","Drought","12/11","SWP",11,"Dec 11 to 18"
"2007","9018.6","9018","Control","12/11","SWP",9.4,"Dec 11 to 18"
"2008","9031.11","9031","Control","12/11","SWP",11.2,"Dec 11 to 18"
"2009","9031.5","9031","Drought","12/11","SWP",13.4,"Dec 11 to 18"
"2010","b40-14.10","b40-14","Control","12/11","SWP",10.4,"Dec 11 to 18"
"2011","b42-34.6","b42-34","Control","12/11","SWP",11.5,"Dec 11 to 18"
"2012","NY1.1","NY1","Drought","12/11","SWP",12,"Dec 11 to 18"
"2013","NY1.6","NY1","Control","12/11","SWP",11.6,"Dec 11 to 18"
"2014","SC2.5","SC2","Drought","12/11","SWP",11,"Dec 11 to 18"
"2015","SC2.7","SC2","Control","12/11","SWP",9.6,"Dec 11 to 18"
"2016","T48.4","T48","Drought","12/11","SWP",11.9,"Dec 11 to 18"
"2017","T48.7","T48","Control","12/11","SWP",9.2,"Dec 11 to 18"
"2018","T52.3","T52","Drought","12/11","SWP",12.9,"Dec 11 to 18"
"2019","T52.7","T52","Control","12/11","SWP",8.5,"Dec 11 to 18"
"2020","TX6704.6","TX6704","Control","12/11","SWP",9.9,"Dec 11 to 18"
"2021","TXNM0821.10","TXNM0821","Control","12/11","SWP",7.3,"Dec 11 to 18"
"2022","TXNM0821.4","TXNM0821","Drought","12/11","SWP",9.9,"Dec 11 to 18"
"2023","V60-96.3","V60-96","Drought","12/11","SWP",13.2,"Dec 11 to 18"
"2024","V60-96.8","V60-96","Control","12/11","SWP",10,"Dec 11 to 18"
"2026","Vru42.10","Vru42","Control","12/11","SWP",12,"Dec 11 to 18"
"2035","9018.3","9018","Drought","12/15","SWP",13.2,"Dec 11 to 18"
"2036","9018.8","9018","Control","12/15","SWP",9.6,"Dec 11 to 18"
"2037","9031.7","9031","Control","12/15","SWP",10.2,"Dec 11 to 18"
"2038","9035.2","9035","Drought","12/15","SWP",10.7,"Dec 11 to 18"
"2039","9035.7","9035","Control","12/15","SWP",9,"Dec 11 to 18"
"2040","b40-14.6","b40-14","Control","12/15","SWP",13.9,"Dec 11 to 18"
"2042","b42-34.9","b42-34","Control","12/15","SWP",12.4,"Dec 11 to 18"
"2043","NY1.5","NY1","Drought","12/15","SWP",10.6,"Dec 11 to 18"
"2044","NY1.9","NY1","Control","12/15","SWP",7.4,"Dec 11 to 18"
"2045","SC2.9","SC2","Drought","12/15","SWP",9,"Dec 11 to 18"
"2046","T48.2","T48","Drought","12/15","SWP",14.5,"Dec 11 to 18"
"2047","T48.6","T48","Control","12/15","SWP",12,"Dec 11 to 18"
"2049","T52.6","T52","Control","12/15","SWP",9,"Dec 11 to 18"
"2050","TX6704.9","TX6704","Control","12/15","SWP",9.1,"Dec 11 to 18"
"2051","TXNM0821.7","TXNM0821","Control","12/15","SWP",11.1,"Dec 11 to 18"
"2052","V60-96.1","V60-96","Drought","12/15","SWP",11.9,"Dec 11 to 18"
"2053","V60-96.7","V60-96","Control","12/15","SWP",10.5,"Dec 11 to 18"
"2054","Vru42.6","Vru42","Control","12/15","SWP",13,"Dec 11 to 18"
"2055","9018.10","9018","Control","12/16","SWP",11.2,"Dec 11 to 18"
"2056","9018.4","9018","Drought","12/16","SWP",11.7,"Dec 11 to 18"
"2057","9035.8","9035","Control","12/16","SWP",6.7,"Dec 11 to 18"
"2059","b40-14.9","b40-14","Control","12/16","SWP",5.6,"Dec 11 to 18"
"2060","b42-34.10","b42-34","Control","12/16","SWP",11.5,"Dec 11 to 18"
"2061","NY1.2","NY1","Drought","12/16","SWP",11,"Dec 11 to 18"
"2062","NY1.8","NY1","Control","12/16","SWP",12,"Dec 11 to 18"
"2063","SC2.4","SC2","Drought","12/16","SWP",10.8,"Dec 11 to 18"
"2064","SC2.8","SC2","Control","12/16","SWP",8.5,"Dec 11 to 18"
"2065","T48.1","T48","Drought","12/16","SWP",6.3,"Dec 11 to 18"
"2066","T48.8","T48","Control","12/16","SWP",6.3,"Dec 11 to 18"
"2067","T52.10","T52","Control","12/16","SWP",6.4,"Dec 11 to 18"
"2068","TX6704.8","TX6704","Control","12/16","SWP",13.3,"Dec 11 to 18"
"2069","TXNM0821.2","TXNM0821","Drought","12/16","SWP",8.6,"Dec 11 to 18"
"2070","TXNM0821.9","TXNM0821","Control","12/16","SWP",6.2,"Dec 11 to 18"
"2071","V60-96.2","V60-96","Drought","12/16","SWP",10.6,"Dec 11 to 18"
"2072","V60-96.6","V60-96","Control","12/16","SWP",7.4,"Dec 11 to 18"
"2073","Vru42.8","Vru42","Control","12/16","SWP",10.1,"Dec 11 to 18"
"2074","9018.1","9018","Drought","12/17","SWP",14.1,"Dec 11 to 18"
"2075","9018.9","9018","Control","12/17","SWP",9.1,"Dec 11 to 18"
"2076","b40-14.7","b40-14","Control","12/17","SWP",9.1,"Dec 11 to 18"
"2077","NY1.10","NY1","Control","12/17","SWP",9.3,"Dec 11 to 18"
"2078","NY1.4","NY1","Drought","12/17","SWP",14.2,"Dec 11 to 18"
"2079","SC2.1","SC2","Control","12/17","SWP",11.9,"Dec 11 to 18"
"2080","T48.10","T48","Control","12/17","SWP",11.2,"Dec 11 to 18"
"2081","T48.3","T48","Drought","12/17","SWP",11.9,"Dec 11 to 18"
"2083","T52.8","T52","Control","12/17","SWP",13.4,"Dec 11 to 18"
"2084","TXNM0821.1","TXNM0821","Drought","12/17","SWP",10.2,"Dec 11 to 18"
"2085","TXNM0821.5","TXNM0821","Control","12/17","SWP",8.8,"Dec 11 to 18"
"2086","TXNM0821.8","TXNM0821","Drought","12/17","SWP",8.4,"Dec 11 to 18"
"2087","V60-96.9","V60-96","Control","12/17","SWP",10.4,"Dec 11 to 18"
"2088","Vru42.9","Vru42","Control","12/17","SWP",10.9,"Dec 11 to 18"
"2089","9035.3","9035","Drought","12/18","SWP",13,"Dec 11 to 18"
"2090","9018.2","9018","Drought","12/18","SWP",14.4,"Dec 11 to 18"
"2091","9018.7","9018","Control","12/18","SWP",14,"Dec 11 to 18"
"2092","9031.8","9031","Control","12/18","SWP",11,"Dec 11 to 18"
"2093","9035.4","9035","Drought","12/18","SWP",12.9,"Dec 11 to 18"
"2094","9035.6","9035","Control","12/18","SWP",10.9,"Dec 11 to 18"
"2095","b42-34.8","b42-34","Control","12/18","SWP",9.8,"Dec 11 to 18"
"2096","NY1.7","NY1","Control","12/18","SWP",13,"Dec 11 to 18"
"2098","T48.5","T48","Drought","12/18","SWP",12.5,"Dec 11 to 18"
"2099","T48.9","T48","Control","12/18","SWP",12.4,"Dec 11 to 18"
"2100","T52.9","T52","Control","12/18","SWP",11.4,"Dec 11 to 18"
"2101","TX6704.10","TX6704","Control","12/18","SWP",12.1,"Dec 11 to 18"
"2102","TXNM0821.6","TXNM0821","Control","12/18","SWP",12,"Dec 11 to 18"
"2103","V60-96.10","V60-96","Control","12/18","SWP",11.6,"Dec 11 to 18"
"2104","V60-96.5","V60-96","Drought","12/18","SWP",13.6,"Dec 11 to 18"
"2105","9031.10","9031","Control","12/11","SWP",13.6,"Dec 11 to 18"
"2106","b42-34.2","b42-34","Drought","12/11","SWP",14,"Dec 11 to 18"
"2107","TX6704.1","TX6704","Drought","12/11","SWP",14.3,"Dec 11 to 18"
"2108","9031.4","9031","Drought","12/15","SWP",11.6,"Dec 11 to 18"
"2109","b40-14.2","b40-14","Drought","12/15","SWP",11.6,"Dec 11 to 18"
"2110","TX6704.3","TX6704","Drought","12/15","SWP",12.9,"Dec 11 to 18"
"2111","TXNM0821.3","TXNM0821","Drought","12/15","SWP",10,"Dec 11 to 18"
"2112","Vru42.5","Vru42","Drought","12/15","SWP",12.9,"Dec 11 to 18"
"2113","9031.2","9031","Drought","12/16","SWP",12.4,"Dec 11 to 18"
"2114","9035.1","9035","Drought","12/16","SWP",10.8,"Dec 11 to 18"
"2115","b42-34.5","b42-34","Drought","12/16","SWP",12.1,"Dec 11 to 18"
"2116","T52.4","T52","Drought","12/16","SWP",9.8,"Dec 11 to 18"
"2117","TX6704.5","TX6704","Drought","12/16","SWP",11.1,"Dec 11 to 18"
"2118","9031.6","9031","Control","12/17","SWP",14.4,"Dec 11 to 18"
"2119","9035.3","9035","Drought","12/17","SWP",11.7,"Dec 11 to 18"
"2120","9035.9","9035","Control","12/17","SWP",10.9,"Dec 11 to 18"
"2121","b42-34.7","b42-34","Control","12/17","SWP",12.5,"Dec 11 to 18"
"2122","TX6704.7","TX6704","Control","12/17","SWP",14.1,"Dec 11 to 18"
"2123","Vru42.3","Vru42","Drought","12/17","SWP",14.3,"Dec 11 to 18"
"2124","V60-96.4","V60-96","Drought","12/18","SWP",14.5,"Dec 11 to 18"
"2125","T52.2","T52","Drought","12/18","SWP",14,"Dec 11 to 18"
"3590","9018.5","9018","Drought","12/1","PD",8.3,"Dec 01 to 03"
"3591","9018.6","9018","Control","12/1","PD",9,"Dec 01 to 03"
"3593","9031.11","9031","Control","12/1","PD",10.2,"Dec 01 to 03"
"3594","b40-14.1","b40-14","Drought","12/1","PD",8.5,"Dec 01 to 03"
"3595","b40-14.10","b40-14","Control","12/1","PD",8.3,"Dec 01 to 03"
"3596","b42-34.2","b42-34","Drought","12/1","PD",11,"Dec 01 to 03"
"3597","b42-34.6","b42-34","Control","12/1","PD",11.5,"Dec 01 to 03"
"3598","SC2.5","SC2","Drought","12/1","PD",7.8,"Dec 01 to 03"
"3599","SC2.7","SC2","Control","12/1","PD",7.8,"Dec 01 to 03"
"3600","T48.4","T48","Drought","12/1","PD",8.5,"Dec 01 to 03"
"3601","T48.7","T48","Control","12/1","PD",8.5,"Dec 01 to 03"
"3602","T52.3","T52","Drought","12/1","PD",10.1,"Dec 01 to 03"
"3603","T52.7","T52","Control","12/1","PD",8,"Dec 01 to 03"
"3604","TX6704.1","TX6704","Drought","12/1","PD",9.6,"Dec 01 to 03"
"3605","TX6704.6","TX6704","Control","12/1","PD",10.8,"Dec 01 to 03"
"3606","TXNM0821.10","TXNM0821","Control","12/1","PD",6.7,"Dec 01 to 03"
"3607","TXNM0821.4","TXNM0821","Drought","12/1","PD",5.4,"Dec 01 to 03"
"3608","V60-96.3","V60-96","Drought","12/1","PD",8.9,"Dec 01 to 03"
"3609","V60-96.8","V60-96","Control","12/1","PD",10,"Dec 01 to 03"
"3610","9018.3","9018","Drought","12/1","PD",7.2,"Dec 01 to 03"
"3611","9031.4","9031","Drought","12/1","PD",8.4,"Dec 01 to 03"
"3612","9035.7","9035","Control","12/1","PD",7,"Dec 01 to 03"
"3613","b40-14.6","b40-14","Control","12/1","PD",7.3,"Dec 01 to 03"
"3614","b42-34.1","b42-34","Drought","12/1","PD",10,"Dec 01 to 03"
"3615","b42-34.9","b42-34","Control","12/1","PD",8.4,"Dec 01 to 03"
"3616","NY1.5","NY1","Drought","12/1","PD",6.8,"Dec 01 to 03"
"3617","SC2.9","SC2","Drought","12/1","PD",5.1,"Dec 01 to 03"
"3618","T48.2","T48","Drought","12/1","PD",7.3,"Dec 01 to 03"
"3619","T48.6","T48","Control","12/1","PD",8.6,"Dec 01 to 03"
"3620","T52.1","T52","Drought","12/1","PD",6.4,"Dec 01 to 03"
"3621","T52.6","T52","Control","12/1","PD",6.8,"Dec 01 to 03"
"3622","TXNM0821.3","TXNM0821","Drought","12/1","PD",6.4,"Dec 01 to 03"
"3623","TXNM0821.7","TXNM0821","Control","12/1","PD",7.1,"Dec 01 to 03"
"3625","V60-96.7","V60-96","Control","12/1","PD",7.5,"Dec 01 to 03"
"3626","Vru42.5","Vru42","Drought","12/1","PD",8.4,"Dec 01 to 03"
"3627","Vru42.6","Vru42","Control","12/1","PD",8,"Dec 01 to 03"
"3628","9018.10","9018","Control","12/1","PD",7.8,"Dec 01 to 03"
"3629","9018.4","9018","Drought","12/1","PD",7.8,"Dec 01 to 03"
"3630","9035.8","9035","Control","12/1","PD",6.7,"Dec 01 to 03"
"3631","b40-14.3","b40-14","Drought","12/1","PD",9,"Dec 01 to 03"
"3632","b40-14.9","b40-14","Control","12/1","PD",8.8,"Dec 01 to 03"
"3633","b42-34.10","b42-34","Control","12/1","PD",10,"Dec 01 to 03"
"3634","SC2.4","SC2","Drought","12/1","PD",6.9,"Dec 01 to 03"
"3637","Vru42.8","Vru42","Control","12/1","PD",8.5,"Dec 01 to 03"
"3638","9031.2","9031","Drought","12/2","PD",11.4,"Dec 01 to 03"
"3639","9031.9","9031","Control","12/2","PD",9.1,"Dec 01 to 03"
"3640","NY1.2","NY1","Drought","12/2","PD",6.2,"Dec 01 to 03"
"3641","NY1.8","NY1","Control","12/2","PD",8.4,"Dec 01 to 03"
"3642","SC2.8","SC2","Control","12/2","PD",5.1,"Dec 01 to 03"
"3643","T48.1","T48","Drought","12/2","PD",7.1,"Dec 01 to 03"
"3644","T48.8","T48","Control","12/2","PD",4.5,"Dec 01 to 03"
"3646","T52.4","T52","Drought","12/2","PD",9.9,"Dec 01 to 03"
"3647","TXNM0821.9","TXNM0821","Control","12/2","PD",5.3,"Dec 01 to 03"
"3648","V60-96.6","V60-96","Control","12/2","PD",7.4,"Dec 01 to 03"
"3649","9018.1","9018","Drought","12/2","PD",7.9,"Dec 01 to 03"
"3652","9035.3","9035","Drought","12/2","PD",8.5,"Dec 01 to 03"
"3653","9035.9","9035","Control","12/2","PD",4.9,"Dec 01 to 03"
"3654","b40-14.7","b40-14","Control","12/2","PD",6,"Dec 01 to 03"
"3655","b42-34.7","b42-34","Control","12/2","PD",7.9,"Dec 01 to 03"
"3656","NY1.10","NY1","Control","12/2","PD",6,"Dec 01 to 03"
"3657","SC2.1","SC2","Control","12/2","PD",4.9,"Dec 01 to 03"
"3658","T48.10","T48","Control","12/2","PD",5.9,"Dec 01 to 03"
"3659","T48.3","T48","Drought","12/2","PD",9.6,"Dec 01 to 03"
"3660","T52.8","T52","Control","12/2","PD",7.4,"Dec 01 to 03"
"3661","TXNM0821.1","TXNM0821","Drought","12/2","PD",7.5,"Dec 01 to 03"
"3662","TXNM0821.5","TXNM0821","Control","12/2","PD",4.9,"Dec 01 to 03"
"3663","TXNM0821.8","TXNM0821","Drought","12/2","PD",6.5,"Dec 01 to 03"
"3664","V60-96.4","V60-96","Drought","12/2","PD",8.1,"Dec 01 to 03"
"3665","V60-96.9","V60-96","Control","12/2","PD",6.2,"Dec 01 to 03"
"3666","Vru42.9","Vru42","Control","12/2","PD",7.5,"Dec 01 to 03"
"3667","9018.2","9018","Drought","12/2","PD",10.2,"Dec 01 to 03"
"3668","9018.7","9018","Control","12/2","PD",8.1,"Dec 01 to 03"
"3669","9031.3","9031","Drought","12/2","PD",11.8,"Dec 01 to 03"
"3670","9031.8","9031","Control","12/2","PD",8.9,"Dec 01 to 03"
"3671","9035.6","9035","Control","12/2","PD",6.6,"Dec 01 to 03"
"3673","b42-34.3","b42-34","Drought","12/2","PD",14.7,"Dec 01 to 03"
"3674","b42-34.8","b42-34","Control","12/2","PD",9.6,"Dec 01 to 03"
"3676","NY1.7","NY1","Control","12/2","PD",8,"Dec 01 to 03"
"3677","SC2.2","SC2","Drought","12/2","PD",12.8,"Dec 01 to 03"
"3678","T48.5","T48","Drought","12/2","PD",10.7,"Dec 01 to 03"
"3680","T52.2","T52","Drought","12/2","PD",9.4,"Dec 01 to 03"
"3681","T52.9","T52","Control","12/2","PD",7.9,"Dec 01 to 03"
"3682","TX6704.10","TX6704","Control","12/2","PD",6.8,"Dec 01 to 03"
"3683","TXNM0821.6","TXNM0821","Control","12/2","PD",6.7,"Dec 01 to 03"
"3684","V60-96.10","V60-96","Control","12/2","PD",9.1,"Dec 01 to 03"
"3686","Vru42.4","Vru42","Drought","12/2","PD",9.9,"Dec 01 to 03"
"3687","Vru42.7","Vru42","Control","12/2","PD",8.3,"Dec 01 to 03"
"3688","9018.5","9018","Drought","12/11","PD",8.1,"Dec 11 to 18"
"3689","9018.6","9018","Control","12/11","PD",6.7,"Dec 11 to 18"
"3690","9031.11","9031","Control","12/11","PD",7.3,"Dec 11 to 18"
"3691","9031.5","9031","Drought","12/11","PD",9.9,"Dec 11 to 18"
"3692","b40-14.10","b40-14","Control","12/11","PD",7,"Dec 11 to 18"
"3693","b42-34.6","b42-34","Control","12/11","PD",5.8,"Dec 11 to 18"
"3694","NY1.1","NY1","Drought","12/11","PD",7.1,"Dec 11 to 18"
"3696","SC2.5","SC2","Drought","12/11","PD",6.6,"Dec 11 to 18"
"3697","SC2.7","SC2","Control","12/11","PD",5.6,"Dec 11 to 18"
"3698","T48.4","T48","Drought","12/11","PD",7,"Dec 11 to 18"
"3699","T48.7","T48","Control","12/11","PD",4.8,"Dec 11 to 18"
"3700","T52.3","T52","Drought","12/11","PD",10.4,"Dec 11 to 18"
"3701","T52.7","T52","Control","12/11","PD",3.9,"Dec 11 to 18"
"3702","TX6704.6","TX6704","Control","12/11","PD",4.9,"Dec 11 to 18"
"3703","TXNM0821.10","TXNM0821","Control","12/11","PD",4.9,"Dec 11 to 18"
"3704","TXNM0821.4","TXNM0821","Drought","12/11","PD",4.1,"Dec 11 to 18"
"3705","V60-96.3","V60-96","Drought","12/11","PD",6.4,"Dec 11 to 18"
"3706","V60-96.8","V60-96","Control","12/11","PD",4.8,"Dec 11 to 18"
"3707","Vru42.1","Vru42","Drought","12/11","PD",8.8,"Dec 11 to 18"
"3708","Vru42.10","Vru42","Control","12/11","PD",6.8,"Dec 11 to 18"
"3717","9018.3","9018","Drought","12/15","PD",8.3,"Dec 11 to 18"
"3718","9018.8","9018","Control","12/15","PD",6.4,"Dec 11 to 18"
"3719","9031.7","9031","Control","12/15","PD",9.2,"Dec 11 to 18"
"3720","9035.2","9035","Drought","12/15","PD",6.8,"Dec 11 to 18"
"3721","9035.7","9035","Control","12/15","PD",5.3,"Dec 11 to 18"
"3722","b40-14.6","b40-14","Control","12/15","PD",6.2,"Dec 11 to 18"
"3723","b42-34.1","b42-34","Drought","12/15","PD",8.6,"Dec 11 to 18"
"3724","b42-34.9","b42-34","Control","12/15","PD",8.5,"Dec 11 to 18"
"3725","NY1.5","NY1","Drought","12/15","PD",6.3,"Dec 11 to 18"
"3726","NY1.9","NY1","Control","12/15","PD",8,"Dec 11 to 18"
"3727","SC2.9","SC2","Drought","12/15","PD",5.3,"Dec 11 to 18"
"3728","T48.2","T48","Drought","12/15","PD",7,"Dec 11 to 18"
"3729","T48.6","T48","Control","12/15","PD",6.2,"Dec 11 to 18"
"3730","T52.1","T52","Drought","12/15","PD",5.1,"Dec 11 to 18"
"3731","T52.6","T52","Control","12/15","PD",6.4,"Dec 11 to 18"
"3732","TX6704.9","TX6704","Control","12/15","PD",8.7,"Dec 11 to 18"
"3733","TXNM0821.7","TXNM0821","Control","12/15","PD",5.2,"Dec 11 to 18"
"3734","V60-96.1","V60-96","Drought","12/15","PD",7.8,"Dec 11 to 18"
"3735","V60-96.7","V60-96","Control","12/15","PD",4.7,"Dec 11 to 18"
"3736","Vru42.6","Vru42","Control","12/15","PD",6.3,"Dec 11 to 18"
"3737","9018.10","9018","Control","12/16","PD",6,"Dec 11 to 18"
"3738","9018.4","9018","Drought","12/16","PD",9.5,"Dec 11 to 18"
"3739","9035.8","9035","Control","12/16","PD",8,"Dec 11 to 18"
"3741","b40-14.9","b40-14","Control","12/16","PD",6.5,"Dec 11 to 18"
"3742","b42-34.10","b42-34","Control","12/16","PD",11,"Dec 11 to 18"
"3743","NY1.2","NY1","Drought","12/16","PD",8.3,"Dec 11 to 18"
"3744","NY1.8","NY1","Control","12/16","PD",6.3,"Dec 11 to 18"
"3745","SC2.4","SC2","Drought","12/16","PD",8,"Dec 11 to 18"
"3746","SC2.8","SC2","Control","12/16","PD",4.9,"Dec 11 to 18"
"3747","T48.1","T48","Drought","12/16","PD",7.1,"Dec 11 to 18"
"3748","T48.8","T48","Control","12/16","PD",6.1,"Dec 11 to 18"
"3749","T52.10","T52","Control","12/16","PD",5.5,"Dec 11 to 18"
"3750","TX6704.8","TX6704","Control","12/16","PD",6.3,"Dec 11 to 18"
"3751","TXNM0821.2","TXNM0821","Drought","12/16","PD",8,"Dec 11 to 18"
"3752","TXNM0821.9","TXNM0821","Control","12/16","PD",3.9,"Dec 11 to 18"
"3753","V60-96.2","V60-96","Drought","12/16","PD",8,"Dec 11 to 18"
"3754","V60-96.6","V60-96","Control","12/16","PD",5.4,"Dec 11 to 18"
"3755","Vru42.8","Vru42","Control","12/16","PD",7.5,"Dec 11 to 18"
"3756","9018.1","9018","Drought","12/17","PD",7.1,"Dec 11 to 18"
"3757","9018.9","9018","Control","12/17","PD",7,"Dec 11 to 18"
"3758","b40-14.7","b40-14","Control","12/17","PD",5.3,"Dec 11 to 18"
"3759","NY1.10","NY1","Control","12/17","PD",8,"Dec 11 to 18"
"3760","NY1.4","NY1","Drought","12/17","PD",9,"Dec 11 to 18"
"3761","SC2.1","SC2","Control","12/17","PD",6,"Dec 11 to 18"
"3762","T48.10","T48","Control","12/17","PD",8,"Dec 11 to 18"
"3763","T48.3","T48","Drought","12/17","PD",7.8,"Dec 11 to 18"
"3764","T52.5","T52","Drought","12/17","PD",10.6,"Dec 11 to 18"
"3765","T52.8","T52","Control","12/17","PD",6.5,"Dec 11 to 18"
"3766","TXNM0821.1","TXNM0821","Drought","12/17","PD",6.3,"Dec 11 to 18"
"3767","TXNM0821.5","TXNM0821","Control","12/17","PD",5,"Dec 11 to 18"
"3768","TXNM0821.8","TXNM0821","Drought","12/17","PD",5.3,"Dec 11 to 18"
"3769","V60-96.9","V60-96","Control","12/17","PD",5.8,"Dec 11 to 18"
"3770","Vru42.9","Vru42","Control","12/17","PD",7.2,"Dec 11 to 18"
"3771","9035.3","9035","Drought","12/18","PD",7.5,"Dec 11 to 18"
"3772","9018.2","9018","Drought","12/18","PD",11.5,"Dec 11 to 18"
