"","ID.Order","ID","Date","Treatment","Genotype","canopy_biomass","root_biomass","ratio_canopy_root"
"86",138,"T48.8","12/16","Control","T48",25.4,16.5155,1.53794919923708
"87",139,"T48.9","12/18","Control","T48",43.1,16.9534,2.54226290891503
"88",121,"T52.1","12/15","Drought","T52",9.2,12.9733,0.70914879020758
"89",121,"T52.1","12/15","Drought","T52",9.2,12.9733,0.70914879020758
"90",121,"T52.1","12/15","Drought","T52",9.2,12.9733,0.70914879020758
"91",130,"T52.10","12/16","Control","T52",45.3,16.4003,2.76214459491595
"92",130,"T52.10","12/16","Control","T52",45.3,16.4003,2.76214459491595
"93",130,"T52.10","12/16","Control","T52",45.3,16.4003,2.76214459491595
"94",122,"T52.2","12/18","Drought","T52",5.4,15.1459,0.356532130807677
"95",122,"T52.2","12/18","Drought","T52",5.4,15.1459,0.356532130807677
"96",123,"T52.3","12/11","Drought","T52",8.6,13.9521,0.616394664602461
"97",123,"T52.3","12/11","Drought","T52",8.6,13.9521,0.616394664602461
"98",123,"T52.3","12/11","Drought","T52",8.6,13.9521,0.616394664602461
"99",124,"T52.4","12/16","Drought","T52",16.7,22.0292,0.758084723911899
"100",124,"T52.4","12/16","Drought","T52",16.7,22.0292,0.758084723911899
"101",124,"T52.4","12/16","Drought","T52",16.7,22.0292,0.758084723911899
"102",124,"T52.4","12/16","Drought","T52",16.7,22.0292,0.758084723911899
"103",125,"T52.5","12/17","Drought","T52",7.2,22.8169,0.315555575034295
"104",126,"T52.6","12/15","Control","T52",72.2,28.3423,2.54742910772944
"105",126,"T52.6","12/15","Control","T52",72.2,28.3423,2.54742910772944
"106",127,"T52.7","12/11","Control","T52",48.4,17.2801,2.80090971695766
"107",127,"T52.7","12/11","Control","T52",48.4,17.2801,2.80090971695766
"108",127,"T52.7","12/11","Control","T52",48.4,17.2801,2.80090971695766
"109",128,"T52.8","12/17","Control","T52",59.8,23.1824,2.57954310166333
"110",128,"T52.8","12/17","Control","T52",59.8,23.1824,2.57954310166333
"111",128,"T52.8","12/17","Control","T52",59.8,23.1824,2.57954310166333
"112",129,"T52.9","12/18","Control","T52",45.6,30.1568,1.51209677419355
"113",141,"TXNM0821.1","12/17","Drought","TXNM0821",15.9,10.5526,1.50673767602297
"114",150,"TXNM0821.10","12/11","Control","TXNM0821",41.9,9.7118,4.31433925739822
"115",150,"TXNM0821.10","12/11","Control","TXNM0821",41.9,9.7118,4.31433925739822
"116",150,"TXNM0821.10","12/11","Control","TXNM0821",41.9,9.7118,4.31433925739822
"117",142,"TXNM0821.2","12/16","Drought","TXNM0821",23,10.5019,2.19007989030556
"118",142,"TXNM0821.2","12/16","Drought","TXNM0821",23,10.5019,2.19007989030556
"119",142,"TXNM0821.2","12/16","Drought","TXNM0821",23,10.5019,2.19007989030556
"120",143,"TXNM0821.3","12/15","Drought","TXNM0821",16.7,8.5535,1.95241713918279
"121",143,"TXNM0821.3","12/15","Drought","TXNM0821",16.7,8.5535,1.95241713918279
"122",143,"TXNM0821.3","12/15","Drought","TXNM0821",16.7,8.5535,1.95241713918279
"123",143,"TXNM0821.3","12/15","Drought","TXNM0821",16.7,8.5535,1.95241713918279
"124",143,"TXNM0821.3","12/15","Drought","TXNM0821",16.7,8.5535,1.95241713918279
"125",144,"TXNM0821.4","12/11","Drought","TXNM0821",16.1,9.3114,1.72906329875207
"126",144,"TXNM0821.4","12/11","Drought","TXNM0821",16.1,9.3114,1.72906329875207
"127",144,"TXNM0821.4","12/11","Drought","TXNM0821",16.1,9.3114,1.72906329875207
"128",145,"TXNM0821.5","12/17","Control","TXNM0821",52.9,13.4268,3.93988143116752
"129",145,"TXNM0821.5","12/17","Control","TXNM0821",52.9,13.4268,3.93988143116752
"130",145,"TXNM0821.5","12/17","Control","TXNM0821",52.9,13.4268,3.93988143116752
"131",145,"TXNM0821.5","12/17","Control","TXNM0821",52.9,13.4268,3.93988143116752
"132",146,"TXNM0821.6","12/18","Control","TXNM0821",45.9,12.6397,3.63141530257838
"133",147,"TXNM0821.7","12/15","Control","TXNM0821",52.8,18.1925,2.90229490174522
"134",148,"TXNM0821.8","12/17","Drought","TXNM0821",24.8,14.7125,1.6856414613424
"135",149,"TXNM0821.9","12/16","Control","TXNM0821",56.8,19.7714,2.87283652144006
"136",149,"TXNM0821.9","12/16","Control","TXNM0821",56.8,19.7714,2.87283652144006
"137",149,"TXNM0821.9","12/16","Control","TXNM0821",56.8,19.7714,2.87283652144006
"138",11,"V60-96.1","12/15","Drought","V60-96",1.1,4.9356,0.222870572979982
"139",20,"V60-96.10","12/18","Control","V60-96",33.2,NA,NA
"140",12,"V60-96.2","12/16","Drought","V60-96",2.3,NA,NA
"141",13,"V60-96.3","12/11","Drought","V60-96",7.5,NA,NA
"142",14,"V60-96.4","12/18","Drought","V60-96",10.5,NA,NA
"143",15,"V60-96.5","12/18","Drought","V60-96",2.4,NA,NA
"144",16,"V60-96.6","12/16","Control","V60-96",25.1,NA,NA
"145",17,"V60-96.7","12/15","Control","V60-96",41.6,5.9905,6.94432852015692
"146",18,"V60-96.8","12/11","Control","V60-96",15.4,NA,NA
"147",19,"V60-96.9","12/17","Control","V60-96",46,NA,NA
"148",171,"Vru42.1","12/11","Drought","Vru42",14.4,17.4022,0.827481582788383
"149",171,"Vru42.1","12/11","Drought","Vru42",14.4,17.4022,0.827481582788383
"150",171,"Vru42.1","12/11","Drought","Vru42",14.4,17.4022,0.827481582788383
"151",180,"Vru42.10","12/11","Control","Vru42",45,22.0371,2.04201097240563
"152",172,"Vru42.2","12/16","Drought","Vru42",12.8,17.1116,0.748030575749784
"153",172,"Vru42.2","12/16","Drought","Vru42",12.8,17.1116,0.748030575749784
"154",172,"Vru42.2","12/16","Drought","Vru42",12.8,17.1116,0.748030575749784
"155",172,"Vru42.2","12/16","Drought","Vru42",12.8,17.1116,0.748030575749784
"156",172,"Vru42.2","12/16","Drought","Vru42",12.8,17.1116,0.748030575749784
"157",173,"Vru42.3","12/17","Drought","Vru42",18.8,16.707,1.12527683007123
"158",174,"Vru42.4","12/18","Drought","Vru42",9.8,15.2759,0.641533395741004
"159",174,"Vru42.4","12/18","Drought","Vru42",9.8,15.2759,0.641533395741004
"160",174,"Vru42.4","12/18","Drought","Vru42",9.8,15.2759,0.641533395741004
"161",175,"Vru42.5","12/15","Drought","Vru42",13.2,16.0623,0.821800115799107
"162",176,"Vru42.6","12/15","Control","Vru42",13.2,19.1472,0.689395838556029
"163",176,"Vru42.6","12/15","Control","Vru42",13.2,19.1472,0.689395838556029
"164",176,"Vru42.6","12/15","Control","Vru42",72.7,19.1472,3.7968998078048
"165",176,"Vru42.6","12/15","Control","Vru42",13.2,19.1472,0.689395838556029
"166",177,"Vru42.7","12/18","Control","Vru42",69.2,29.2559,2.36533485553341
"167",177,"Vru42.7","12/18","Control","Vru42",69.2,29.2559,2.36533485553341
"168",177,"Vru42.7","12/18","Control","Vru42",69.2,29.2559,2.36533485553341
"169",177,"Vru42.7","12/18","Control","Vru42",69.2,29.2559,2.36533485553341
"170",177,"Vru42.7","12/18","Control","Vru42",69.2,29.2559,2.36533485553341
"171",177,"Vru42.7","12/18","Control","Vru42",69.2,29.2559,2.36533485553341
"172",178,"Vru42.8","12/16","Control","Vru42",59.6,25.3618,2.34999093124305
"173",179,"Vru42.9","12/17","Control","Vru42",53.8,17.736,3.03337843933243
