"","ID","Genotype","Treatment","Date","LWP","SWP","PD","LWP.area","SWP.area","PD.area","species_geno"
"267","9018.4","9018","Drought",12.16,"14,900","11,7","9,50",38.78645833,38.99868056,44.23993056,"9018"
"268","b40-14.3","b40-14","Drought",12.16,"14,000",NA,NA,41.358125,NA,NA,"b40-14"
"269","b40-14.9","b40-14","Control",12.16,"14,900","5,6","6,50",37.88159722,41.04576389,28.82472222,"b40-14"
"270","b42-34.10","b42-34","Control",12.16,"6,000","11,5","11,00",40.41527778,41.22638889,34.84652778,"b42-34"
"271","NY1.2","NY1","Drought",12.16,"13,000","11,0","8,30",56.05805556,50.07680556,60.57486111,"NY1"
"272","NY1.8","NY1","Control",12.16,"10,500","12,0","6,30",85.02076389,58.045,95.18388889,"NY1"
"273","T48.1","T48","Drought",12.16,"12,000","6,3","7,10",48.32583333,49.06354167,49.23986111,"T48"
"274","T48.8","T48","Control",12.16,"10,000","6,3","6,10",84.13388889,43.19979167,68.004375,"T48"
"275","T52.10","T52","Control",12.16,"11,500","6,4","5,50",54.18354167,46.335625,63.95388889,"T52"
"276","TXNM0821.2","TXNM0821","Drought",12.16,"12,000","8,6","8,00",65.27694444,54.54930556,65.11416667,"TXNM0821"
"277","TXNM0821.9","TXNM0821","Control",12.16,"11,500","6,2","3,90",73.085625,38.71291667,85.65472222,"TXNM0821"
"278","V60-96.2","V60-96","Drought",12.16,"13,500","10,6","8,00",18.29583333,22.52402778,26.24201389,"V60-96"
"279","V60-96.6","V60-96","Control",12.16,"9,500","7,4","5,40",50.18833333,28.48291667,110.8589583,"V60-96"
"280","Vru42.8","Vru42","Control",12.16,"14,600","10,1","7,50",32.62979167,42.36888889,61.48534722,"Vru42"
"281","9018.1","9018","Drought",12.17,"14,000","14,1","7,10",NA,50.72944444,44.72916667,"9018"
"282","9018.9","9018","Control",12.17,"12,500","9,1","7,00",NA,61.21034722,NA,"9018"
"283","b40-14.7","b40-14","Control",12.17,"14,000","9,1","5,30",NA,NA,NA,"b40-14"
"284","NY1.10","NY1","Control",12.17,"13,500","9,3","8,00",NA,40.37319444,100.2959028,"NY1"
"285","NY1.4","NY1","Drought",12.17,"14,000","14,2","9,00",NA,25.81340278,37.73243056,"NY1"
"286","T48.10","T48","Control",12.17,"10,000","11,2","8,00",NA,41.58680556,69.74916667,"T48"
"287","T48.3","T48","Drought",12.17,"14,100","11,9","7,80",NA,34.23340278,NA,"T48"
"288","T52.5","T52","Drought",12.17,"14,500",NA,"10,60",NA,20.75090278,61.68694444,"T52"
"289","T52.8","T52","Control",12.17,"12,000","13,4","6,50",NA,83.17444444,NA,"T52"
"290","TXNM0821.1","TXNM0821","Drought",12.17,"11,000","10,2","6,30",NA,71.24854167,79.66354167,"TXNM0821"
"291","TXNM0821.5","TXNM0821","Control",12.17,"12,000","8,8","5,00",NA,61.21638889,NA,"TXNM0821"
"292","TXNM0821.8","TXNM0821","Drought",12.17,"10,000","8,4","5,30",NA,71.86013889,80.94736111,"TXNM0821"
"293","V60-96.9","V60-96","Control",12.17,"9,500","10,4","5,80",NA,71.08479167,71.94597222,"V60-96"
"294","Vru42.9","Vru42","Control",12.17,"13,500","10,9","7,20",NA,36.32291667,35.07263889,"Vru42"
"295","9018.2","9018","Drought",12.18,"14,500","14,4","11,50",21.36090278,23.19145833,40.05861111,"9018"
"296","9018.7","9018","Control",12.18,"12,000","14,0","7,20",71.15333333,44.67333333,52.38138889,"9018"
"297","b42-34.8","b42-34","Control",12.18,"12,000","9,8","7,40",49.34090278,45.60729167,42.17541667,"b42-34"
"298","NY1.7","NY1","Control",12.18,"14,800","13,0","6,20",58.86895833,80.93138889,71.29395833,"NY1"
"299","T48.5","T48","Drought",12.18,"11,500","12,5","8,50",75.27201389,32.44097222,43.908125,"T48"
"300","T48.9","T48","Control",12.18,"11,000","12,4","6,60",49.27409722,78.83902778,76.03472222,"T48"
"301","T52.9","T52","Control",12.18,"11,000","11,4","7,70",64.38451389,53.82173611,49.63534722,"T52"
"302","TXNM0821.6","TXNM0821","Control",12.18,"13,000","12,0","6,30",60.43590278,86.43868056,110.0665278,"TXNM0821"
"303","V60-96.10","V60-96","Control",12.18,"12,000","11,6","6,10",80.83868056,43.8625,77.38125,"V60-96"
"304","V60-96.5","V60-96","Drought",12.18,"13,500","13,6","12,10",22.22395833,34.83131944,45.08770833,"V60-96"
"305","b42-34.2","b42-34","Drought",12.11,NA,"14,0","11,20",NA,28.35506944,40.54125,"b42-34"
"306","b40-14.2","b40-14","Drought",12.15,NA,"11,6",NA,29.86993056,24.860625,41.93701389,"b40-14"
"307","TXNM0821.3","TXNM0821","Drought",12.15,NA,"10,0","6,20",61.13180556,54.73027778,50.24611111,"TXNM0821"
"308","Vru42.5","Vru42","Drought",12.15,NA,"12,9","8,30",27.160625,23.6775,33.64340278,"Vru42"
"309","b42-34.5","b42-34","Drought",12.16,NA,"12,1","9,70",44.41715278,38.71847222,44.25076389,"b42-34"
"310","T52.4","T52","Drought",12.16,NA,"9,8","9,20",69.38486111,59.62069444,71.77458333,"T52"
"311","b42-34.7","b42-34","Control",12.17,NA,"12,5",NA,NA,33.35270833,39.113125,"b42-34"
"312","Vru42.3","Vru42","Drought",12.17,NA,"14,3","6,00",NA,19.05694444,34.80506944,"Vru42"
"313","V60-96.4","V60-96","Drought",12.18,NA,"14,5","11,90",43.39263889,51.40618056,57.25,"V60-96"
"314","T52.2","T52","Drought",12.18,NA,"14,0","11,70",39.73111111,39.36305556,29.42645833,"T52"
"315","9018.5","9018","Drought",11.11,NA,NA,"9,10",NA,NA,NA,"9018"
"316","9018.6","9018","Control",11.11,NA,NA,"6,30",NA,NA,NA,"9018"
"317","b40-14.1","b40-14","Drought",11.11,NA,NA,"7,30",NA,NA,NA,"b40-14"
"318","b40-14.10","b40-14","Control",11.11,NA,NA,"6,10",NA,NA,NA,"b40-14"
"319","b42-34.2","b42-34","Drought",11.11,NA,NA,"10,40",NA,NA,NA,"b42-34"
"320","b42-34.6","b42-34","Control",11.11,NA,NA,"9,20",NA,NA,NA,"b42-34"
"321","NY1.1","NY1","Drought",11.11,NA,NA,"9,90",NA,NA,NA,"NY1"
"322","NY1.6","NY1","Control",11.11,NA,NA,"8,30",NA,NA,NA,"NY1"
"323","T48.4","T48","Drought",11.11,NA,NA,"8,30",NA,NA,NA,"T48"
"324","T48.7","T48","Control",11.11,NA,NA,"8,30",NA,NA,NA,"T48"
"325","T52.3","T52","Drought",11.11,NA,NA,"7,70",NA,NA,NA,"T52"
"326","TXNM0821.10","TXNM0821","Control",11.11,NA,NA,"4,70",NA,NA,NA,"TXNM0821"
"327","TXNM0821.4","TXNM0821","Drought",11.11,NA,NA,"6,30",NA,NA,NA,"TXNM0821"
"328","V60-96.3","V60-96","Drought",11.11,NA,NA,"7,70",NA,NA,NA,"V60-96"
"329","Vru42.1","Vru42","Drought",11.11,NA,NA,"9,80",NA,NA,NA,"Vru42"
"330","Vru42.10","Vru42","Control",11.11,NA,NA,"9,70",NA,NA,NA,"Vru42"
"331","9018.3","9018","Drought",11.11,NA,NA,"8,20",NA,NA,NA,"9018"
"332","9018.8","9018","Control",11.11,NA,NA,"8,30",NA,NA,NA,"9018"
"333","b40-14.2","b40-14","Drought",11.11,NA,NA,"11,70",NA,NA,NA,"b40-14"
"334","b40-14.6","b40-14","Control",11.11,NA,NA,"10,40",NA,NA,NA,"b40-14"
"335","b42-34.9","b42-34","Control",11.11,NA,NA,"12,30",NA,NA,NA,"b42-34"
"336","NY1.5","NY1","Drought",11.11,NA,NA,"9,10",NA,NA,NA,"NY1"
"337","NY1.9","NY1","Control",11.11,NA,NA,"10,50",NA,NA,NA,"NY1"
"338","T48.2","T48","Drought",11.11,NA,NA,"8,60",NA,NA,NA,"T48"
"339","T48.6","T48","Control",11.11,NA,NA,"9,40",NA,NA,NA,"T48"
"340","T52.6","T52","Control",11.11,NA,NA,"8,90",NA,NA,NA,"T52"
"341","TXNM0821.3","TXNM0821","Drought",11.11,NA,NA,"7,90",NA,NA,NA,"TXNM0821"
"342","TXNM0821.7","TXNM0821","Control",11.11,NA,NA,"6,40",NA,NA,NA,"TXNM0821"
"343","Vru42.5","Vru42","Drought",11.11,NA,NA,"9,20",NA,NA,NA,"Vru42"
"344","Vru42.6","Vru42","Control",11.11,NA,NA,"11,00",NA,NA,NA,"Vru42"
"345","9018.10","9018","Control",11.12,NA,NA,"8,00",NA,NA,NA,"9018"
"346","9018.4","9018","Drought",11.12,NA,NA,"8,20",NA,NA,NA,"9018"
"347","b40-14.9","b40-14","Control",11.12,NA,NA,"12,30",NA,NA,NA,"b40-14"
"348","b42-34.10","b42-34","Control",11.12,NA,NA,"9,30",NA,NA,NA,"b42-34"
"349","b42-34.5","b42-34","Drought",11.12,NA,NA,"12,60",NA,NA,NA,"b42-34"
"350","NY1.2","NY1","Drought",11.12,NA,NA,"8,80",NA,NA,NA,"NY1"
"351","NY1.8","NY1","Control",11.12,NA,NA,"8,60",NA,NA,NA,"NY1"
"352","T48.1","T48","Drought",11.12,NA,NA,"12,30",NA,NA,NA,"T48"
"353","T48.8","T48","Control",11.12,NA,NA,"10,30",NA,NA,NA,"T48"
"354","T52.10","T52","Control",11.12,NA,NA,"7,10",NA,NA,NA,"T52"
"355","T52.4","T52","Drought",11.12,NA,NA,"8,40",NA,NA,NA,"T52"
"356","TXNM0821.2","TXNM0821","Drought",11.12,NA,NA,"6,70",NA,NA,NA,"TXNM0821"
"357","TXNM0821.9","TXNM0821","Control",11.12,NA,NA,"5,30",NA,NA,NA,"TXNM0821"
"358","V60-96.6","V60-96","Control",11.12,NA,NA,"9,10",NA,NA,NA,"V60-96"
"359","Vru42.2","Vru42","Drought",11.12,NA,NA,"14,40",NA,NA,NA,"Vru42"
"360","Vru42.8","Vru42","Control",11.12,NA,NA,"13,10",NA,NA,NA,"Vru42"
"361","9018.1","9018","Drought",11.12,NA,NA,"8,90",NA,NA,NA,"9018"
"362","9018.9","9018","Control",11.12,NA,NA,"9,20",NA,NA,NA,"9018"
"363","b40-14.5","b40-14","Drought",11.12,NA,NA,"9,40",NA,NA,NA,"b40-14"
"364","b40-14.7","b40-14","Control",11.12,NA,NA,"9,30",NA,NA,NA,"b40-14"
"365","b42-34.4","b42-34","Drought",11.12,NA,NA,"12,00",NA,NA,NA,"b42-34"
"366","b42-34.7","b42-34","Control",11.12,NA,NA,"11,00",NA,NA,NA,"b42-34"
"367","NY1.10","NY1","Control",11.12,NA,NA,"9,30",NA,NA,NA,"NY1"
"368","NY1.4","NY1","Drought",11.12,NA,NA,"7,10",NA,NA,NA,"NY1"
"369","T48.10","T48","Control",11.12,NA,NA,"10,60",NA,NA,NA,"T48"
"370","T48.3","T48","Drought",11.12,NA,NA,"9,90",NA,NA,NA,"T48"
"371","T52.5","T52","Drought",11.12,NA,NA,"8,90",NA,NA,NA,"T52"
"372","TXNM0821.1","TXNM0821","Drought",11.12,NA,NA,"6,50",NA,NA,NA,"TXNM0821"
"373","TXNM0821.5","TXNM0821","Control",11.12,NA,NA,"7,60",NA,NA,NA,"TXNM0821"
"374","TXNM0821.8","TXNM0821","Drought",11.12,NA,NA,"5,70",NA,NA,NA,"TXNM0821"
"375","V60-96.4","V60-96","Drought",11.12,NA,NA,"9,90",NA,NA,NA,"V60-96"
"376","V60-96.9","V60-96","Control",11.12,NA,NA,"9,10",NA,NA,NA,"V60-96"
"377","Vru42.9","Vru42","Control",11.12,NA,NA,"9,90",NA,NA,NA,"Vru42"
"378","9018.2","9018","Drought",11.12,NA,NA,"11,00",NA,NA,NA,"9018"
"379","b40-14.8","b40-14","Control",11.12,NA,NA,"10,00",NA,NA,NA,"b40-14"
"380","b42-34.8","b42-34","Control",11.12,NA,NA,"9,90",NA,NA,NA,"b42-34"
"381","NY1.3","NY1","Drought",11.12,NA,NA,"11,80",NA,NA,NA,"NY1"
"382","NY1.7","NY1","Control",11.12,NA,NA,"8,00",NA,NA,NA,"NY1"
"383","T48.5","T48","Drought",11.12,NA,NA,"8,80",NA,NA,NA,"T48"
"384","T52.2","T52","Drought",11.12,NA,NA,"10,00",NA,NA,NA,"T52"
"385","T52.9","T52","Control",11.12,NA,NA,"9,00",NA,NA,NA,"T52"
"386","TXNM0821.6","TXNM0821","Control",11.12,NA,NA,"5,50",NA,NA,NA,"TXNM0821"
"387","V60-96.5","V60-96","Drought",11.12,NA,NA,"10,80",NA,NA,NA,"V60-96"
"388","Vru42.4","Vru42","Drought",11.12,NA,NA,"10,70",NA,NA,NA,"Vru42"
"389","Vru42.7","Vru42","Control",11.12,NA,NA,"10,00",NA,NA,NA,"Vru42"
"390","T52.7","T52","Control",11.13,NA,NA,"6,40",NA,NA,NA,"T52"
"391","b42-34.1","b42-34","Drought",11.13,NA,NA,"8,70",NA,NA,NA,"b42-34"
"392","T52.1","T52","Drought",11.13,NA,NA,"6,70",NA,NA,NA,"T52"
"393","b42-34.10","b42-34","Control",11.13,NA,NA,"8,60",NA,NA,NA,"b42-34"
"394","9018.9","9018","Control",11.13,NA,NA,"6,90",NA,NA,NA,"9018"
"395","T52.8","T52","Control",11.13,NA,NA,"7,60",NA,NA,NA,"T52"
"396","Vru42.3","Vru42","Drought",11.13,NA,NA,"8,20",NA,NA,NA,"Vru42"
"397","9018.7","9018","Control",11.13,NA,NA,"7,30",NA,NA,NA,"9018"
"398","b42-34.3","b42-34","Drought",11.13,NA,NA,"11,10",NA,NA,NA,"b42-34"
"399","9018.5","9018","Drought",11.18,NA,NA,"9,90",NA,NA,NA,"9018"
"400","9018.6","9018","Control",11.18,NA,NA,"12,50",NA,NA,NA,"9018"
"401","b40-14.10","b40-14","Control",11.18,NA,NA,"10,90",NA,NA,NA,"b40-14"
"402","b42-34.6","b42-34","Control",11.18,NA,NA,"11,50",NA,NA,NA,"b42-34"
"403","NY1.1","NY1","Drought",11.18,NA,NA,"9,10",NA,NA,NA,"NY1"
"404","T48.4","T48","Drought",11.18,NA,NA,"14,10",NA,NA,NA,"T48"
"405","T48.7","T48","Control",11.18,NA,NA,"10,92",NA,NA,NA,"T48"
"406","T52.3","T52","Drought",11.18,NA,NA,"9,30",NA,NA,NA,"T52"
"407","T52.7","T52","Control",11.18,NA,NA,"6,00",NA,NA,NA,"T52"
"408","TXNM0821.10","TXNM0821","Control",11.18,NA,NA,"11,03",NA,NA,NA,"TXNM0821"
"409","TXNM0821.4","TXNM0821","Drought",11.18,NA,NA,"7,00",NA,NA,NA,"TXNM0821"
"410","V60-96.3","V60-96","Drought",11.18,NA,NA,"10,80",NA,NA,NA,"V60-96"
"411","V60-96.8","V60-96","Control",11.18,NA,NA,"5,34",NA,NA,NA,"V60-96"
"412","Vru42.1","Vru42","Drought",11.18,NA,NA,"11,30",NA,NA,NA,"Vru42"
"413","Vru42.10","Vru42","Control",11.18,NA,NA,"8,42",NA,NA,NA,"Vru42"
"414","9018.3","9018","Drought",11.18,NA,NA,"9,50",NA,NA,NA,"9018"
"415","9018.8","9018","Control",11.18,NA,NA,"7,80",NA,NA,NA,"9018"
"416","b40-14.6","b40-14","Control",11.18,NA,NA,"10,00",NA,NA,NA,"b40-14"
"417","b42-34.1","b42-34","Drought",11.18,NA,NA,"14,30",NA,NA,NA,"b42-34"
"418","b42-34.9","b42-34","Control",11.18,NA,NA,"10,90",NA,NA,NA,"b42-34"
"419","NY1.5","NY1","Drought",11.18,NA,NA,"8,50",NA,NA,NA,"NY1"
"420","NY1.9","NY1","Control",11.18,NA,NA,"9,10",NA,NA,NA,"NY1"
"421","T48.2","T48","Drought",11.18,NA,NA,"11,70",NA,NA,NA,"T48"
"422","T48.6","T48","Control",11.18,NA,NA,"9,20",NA,NA,NA,"T48"
"423","T52.1","T52","Drought",11.18,NA,NA,"6,10",NA,NA,NA,"T52"
"424","T52.6","T52","Control",11.18,NA,NA,"6,50",NA,NA,NA,"T52"
"425","TXNM0821.3","TXNM0821","Drought",11.18,NA,NA,"6,80",NA,NA,NA,"TXNM0821"
"426","TXNM0821.7","TXNM0821","Control",11.18,NA,NA,"8,60",NA,NA,NA,"TXNM0821"
"427","V60-96.7","V60-96","Control",11.18,NA,NA,"8,40",NA,NA,NA,"V60-96"
"428","Vru42.5","Vru42","Drought",11.18,NA,NA,"10,60",NA,NA,NA,"Vru42"
"429","Vru42.6","Vru42","Control",11.18,NA,NA,"7,80",NA,NA,NA,"Vru42"
"430","9018.10","9018","Control",11.18,NA,NA,"9,00",NA,NA,NA,"9018"
"431","9018.4","9018","Drought",11.18,NA,NA,"9,00",NA,NA,NA,"9018"
"432","b40-14.3","b40-14","Drought",11.18,NA,NA,"14,10",NA,NA,NA,"b40-14"
"433","b40-14.9","b40-14","Control",11.18,NA,NA,"10,00",NA,NA,NA,"b40-14"
"434","b42-34.10","b42-34","Control",11.18,NA,NA,"11,50",NA,NA,NA,"b42-34"
"435","b42-34.5","b42-34","Drought",11.18,NA,NA,"12,40",NA,NA,NA,"b42-34"
"436","NY1.2","NY1","Drought",11.18,NA,NA,"9,10",NA,NA,NA,"NY1"
"437","NY1.8","NY1","Control",11.18,NA,NA,"11,05",NA,NA,NA,"NY1"
"438","T52.10","T52","Control",11.18,NA,NA,"5,90",NA,NA,NA,"T52"
"439","T52.4","T52","Drought",11.18,NA,NA,"8,40",NA,NA,NA,"T52"
"440","TXNM0821.2","TXNM0821","Drought",11.18,NA,NA,"7,60",NA,NA,NA,"TXNM0821"
"441","TXNM0821.9","TXNM0821","Control",11.18,NA,NA,"9,43",NA,NA,NA,"TXNM0821"
"442","V60-96.2","V60-96","Drought",11.18,NA,NA,"5,27",NA,NA,NA,"V60-96"
"443","V60-96.6","V60-96","Control",11.18,NA,NA,"11,90",NA,NA,NA,"V60-96"
"444","Vru42.2","Vru42","Drought",11.18,NA,NA,"10,60",NA,NA,NA,"Vru42"
"445","9018.1","9018","Drought",11.18,NA,NA,"9,40",NA,NA,NA,"9018"
"446","9018.9","9018","Control",11.18,NA,NA,"8,67",NA,NA,NA,"9018"
"447","b40-14.5","b40-14","Drought",11.18,NA,NA,"14,80",NA,NA,NA,"b40-14"
"448","b42-34.4","b42-34","Drought",11.18,NA,NA,"14,14",NA,NA,NA,"b42-34"
"449","b42-34.7","b42-34","Control",11.18,NA,NA,"10,60",NA,NA,NA,"b42-34"
"450","NY1.10","NY1","Control",11.18,NA,NA,"7,50",NA,NA,NA,"NY1"
"451","T48.10","T48","Control",11.18,NA,NA,"9,34",NA,NA,NA,"T48"
"452","T48.3","T48","Drought",11.18,NA,NA,"11,10",NA,NA,NA,"T48"
"453","T52.5","T52","Drought",11.18,NA,NA,"9,90",NA,NA,NA,"T52"
"454","T52.8","T52","Control",11.18,NA,NA,"6,60",NA,NA,NA,"T52"
"455","TXNM0821.5","TXNM0821","Control",11.18,NA,NA,"8,60",NA,NA,NA,"TXNM0821"
"456","TXNM0821.8","TXNM0821","Drought",11.18,NA,NA,"9,10",NA,NA,NA,"TXNM0821"
"457","V60-96.4","V60-96","Drought",11.18,NA,NA,"14,50",NA,NA,NA,"V60-96"
"458","Vru42.3","Vru42","Drought",11.18,NA,NA,"10,50",NA,NA,NA,"Vru42"
"459","Vru42.9","Vru42","Control",11.18,NA,NA,"10,42",NA,NA,NA,"Vru42"
"460","NY1.3","NY1","Drought",11.18,NA,NA,"11,10",NA,NA,NA,"NY1"
"461","NY1.7","NY1","Control",11.18,NA,NA,"8,40",NA,NA,NA,"NY1"
"462","T48.5","T48","Drought",11.18,NA,NA,"12,80",NA,NA,NA,"T48"
"463","V60-96.10","V60-96","Control",11.18,NA,NA,"10,10",NA,NA,NA,"V60-96"
"464","V60-96.5","V60-96","Drought",11.18,NA,NA,"10,50",NA,NA,NA,"V60-96"
"465","Vru42.7","Vru42","Control",11.18,NA,NA,"9,48",NA,NA,NA,"Vru42"
"466","NY1.1","NY1","Drought",12.1,NA,NA,"9,90",73.09791667,NA,NA,"NY1"
"467","NY1.6","NY1","Control",12.1,NA,NA,"9,50",NA,NA,NA,"NY1"
"468","Vru42.1","Vru42","Drought",12.1,NA,NA,"9,50",NA,NA,NA,"Vru42"
"469","Vru42.10","Vru42","Control",12.1,NA,NA,"10,10",46.46993056,NA,NA,"Vru42"
"470","9018.8","9018","Control",12.1,NA,NA,"6,70",80.44493056,NA,NA,"9018"
"471","b40-14.2","b40-14","Drought",12.1,NA,NA,"9,80",NA,NA,NA,"b40-14"
"472","NY1.9","NY1","Control",12.1,NA,NA,"6,00",64.49631944,NA,NA,"NY1"
"473","b40-14.10","b40-14","Control",12.2,NA,NA,"7,60",NA,NA,NA,"b40-14"
"474","Vru42.1","Vru42","Drought",12.2,NA,NA,"6,20",NA,NA,NA,"Vru42"
"475","b42-34.5","b42-34","Drought",12.2,NA,NA,"9,50",47.77784722,NA,NA,"b42-34"
"476","Vru42.2","Vru42","Drought",12.2,NA,NA,"11,00",34.48708333,NA,NA,"Vru42"
"477","b40-14.5","b40-14","Drought",12.2,NA,NA,"10,50",40.17444444,NA,NA,"b40-14"
"478","b42-34.4","b42-34","Drought",12.2,NA,NA,"11,50",NA,NA,NA,"b42-34"
"479","NY1.4","NY1","Drought",12.2,NA,NA,"8,00",69.75888889,NA,NA,"NY1"
"480","T52.5","T52","Drought",12.2,NA,NA,"12,50",39.11673611,NA,NA,"T52"
"481","Vru42.3","Vru42","Drought",12.2,NA,NA,"9,00",28.69763889,NA,NA,"Vru42"
"482","T52.10","T52","Control",12.3,NA,NA,"5,00",NA,NA,NA,"T52"
"483","V60-96.2","V60-96","Drought",12.3,NA,NA,"8,60",NA,NA,NA,"V60-96"
"484","9018.9","9018","Control",12.3,NA,NA,"6,00",NA,NA,NA,"9018"
"485","TXNM0821.8","TXNM0821","Drought",12.3,NA,NA,"9,40",NA,NA,NA,"TXNM0821"
"486","b40-14.8","b40-14","Control",12.3,NA,NA,"7,50",NA,NA,NA,"b40-14"
"487","T48.9","T48","Control",12.3,NA,NA,"7,60",NA,NA,NA,"T48"
"488","Vru42.2","Vru42","Drought",12.16,NA,NA,"9,30",17.69347222,30.50326389,28.59298611,"Vru42"
"489","b40-14.5","b40-14","Drought",12.17,NA,NA,"11,50",NA,NA,45.11263889,"b40-14"
"490","b42-34.4","b42-34","Drought",12.17,NA,NA,"10,30",NA,NA,40.74243056,"b42-34"
"491","b42-34.4","b42-34","Drought",12.18,NA,NA,"10,90",37.25333333,35.11347222,41.78444444,"b42-34"
"492","b40-14.8","b40-14","Control",12.18,NA,NA,"3,00",38.99833333,43.19840278,NA,"b40-14"
"493","Vru42.4","Vru42","Drought",12.18,NA,NA,"12,80",20.39006944,15.06354167,27.68916667,"Vru42"
"494","Vru42.7","Vru42","Control",12.18,NA,NA,"6,80",32.92847222,36.14375,37.49631944,"Vru42"
"495","V60-96.8","V60-96","Control",11.9,NA,NA,NA,NA,NA,NA,"V60-96"
"496","9018.3","9018","Drought",11.9,NA,NA,NA,NA,NA,NA,"9018"
"497","9018.8","9018","Control",11.9,NA,NA,NA,NA,NA,NA,"9018"
"498","b40-14.2","b40-14","Drought",11.9,NA,NA,NA,NA,NA,NA,"b40-14"
"499","b40-14.6","b40-14","Control",11.9,NA,NA,NA,NA,NA,NA,"b40-14"
"500","b42-34.1","b42-34","Drought",11.9,NA,NA,NA,NA,NA,NA,"b42-34"
"501","b42-34.9","b42-34","Control",11.9,NA,NA,NA,NA,NA,NA,"b42-34"
"502","NY1.5","NY1","Drought",11.9,NA,NA,NA,NA,NA,NA,"NY1"
"503","NY1.9","NY1","Control",11.9,NA,NA,NA,NA,NA,NA,"NY1"
"504","T48.2","T48","Drought",11.9,NA,NA,NA,NA,NA,NA,"T48"
"505","T48.6","T48","Control",11.9,NA,NA,NA,NA,NA,NA,"T48"
"506","T52.1","T52","Drought",11.9,NA,NA,NA,NA,NA,NA,"T52"
"507","T52.6","T52","Control",11.9,NA,NA,NA,NA,NA,NA,"T52"
"508","TXNM0821.3","TXNM0821","Drought",11.9,NA,NA,NA,NA,NA,NA,"TXNM0821"
"509","TXNM0821.7","TXNM0821","Control",11.9,NA,NA,NA,NA,NA,NA,"TXNM0821"
"510","V60-96.1","V60-96","Drought",11.9,NA,NA,NA,NA,NA,NA,"V60-96"
"511","V60-96.7","V60-96","Control",11.9,NA,NA,NA,NA,NA,NA,"V60-96"
"512","Vru42.5","Vru42","Drought",11.9,NA,NA,NA,NA,NA,NA,"Vru42"
"513","Vru42.6","Vru42","Control",11.9,NA,NA,NA,NA,NA,NA,"Vru42"
"514","9018.10","9018","Control",11.9,NA,NA,NA,NA,NA,NA,"9018"
"515","9018.4","9018","Drought",11.9,NA,NA,NA,NA,NA,NA,"9018"
"516","b40-14.3","b40-14","Drought",11.9,NA,NA,NA,NA,NA,NA,"b40-14"
"517","b40-14.9","b40-14","Control",11.9,NA,NA,NA,NA,NA,NA,"b40-14"
"518","b42-34.10","b42-34","Control",11.9,NA,NA,NA,NA,NA,NA,"b42-34"
"519","b42-34.5","b42-34","Drought",11.9,NA,NA,NA,NA,NA,NA,"b42-34"
"520","NY1.2","NY1","Drought",11.9,NA,NA,NA,NA,NA,NA,"NY1"
"521","NY1.8","NY1","Control",11.9,NA,NA,NA,NA,NA,NA,"NY1"
"522","T48.1","T48","Drought",11.9,NA,NA,NA,NA,NA,NA,"T48"
"523","T48.8","T48","Control",11.9,NA,NA,NA,NA,NA,NA,"T48"
"524","T52.10","T52","Control",11.9,NA,NA,NA,NA,NA,NA,"T52"
"525","T52.4","T52","Drought",11.9,NA,NA,NA,NA,NA,NA,"T52"
"526","TXNM0821.2","TXNM0821","Drought",11.9,NA,NA,NA,NA,NA,NA,"TXNM0821"
"527","TXNM0821.9","TXNM0821","Control",11.9,NA,NA,NA,NA,NA,NA,"TXNM0821"
"528","V60-96.2","V60-96","Drought",11.9,NA,NA,NA,NA,NA,NA,"V60-96"
"529","V60-96.6","V60-96","Control",11.9,NA,NA,NA,NA,NA,NA,"V60-96"
"530","Vru42.2","Vru42","Drought",11.9,NA,NA,NA,NA,NA,NA,"Vru42"
"531","Vru42.8","Vru42","Control",11.9,NA,NA,NA,NA,NA,NA,"Vru42"
"532","9018.1","9018","Drought",11.9,NA,NA,NA,NA,NA,NA,"9018"
"533","9018.9","9018","Control",11.9,NA,NA,NA,NA,NA,NA,"9018"
"534","b40-14.5","b40-14","Drought",11.9,NA,NA,NA,NA,NA,NA,"b40-14"
"535","b40-14.7","b40-14","Control",11.9,NA,NA,NA,NA,NA,NA,"b40-14"
"536","b42-34.4","b42-34","Drought",11.9,NA,NA,NA,NA,NA,NA,"b42-34"
"537","b42-34.7","b42-34","Control",11.9,NA,NA,NA,NA,NA,NA,"b42-34"
"538","NY1.10","NY1","Control",11.9,NA,NA,NA,NA,NA,NA,"NY1"
"539","NY1.4","NY1","Drought",11.9,NA,NA,NA,NA,NA,NA,"NY1"
"540","T48.10","T48","Control",11.9,NA,NA,NA,NA,NA,NA,"T48"
"541","T48.3","T48","Drought",11.9,NA,NA,NA,NA,NA,NA,"T48"
"542","T52.5","T52","Drought",11.9,NA,NA,NA,NA,NA,NA,"T52"
"543","T52.8","T52","Control",11.9,NA,NA,NA,NA,NA,NA,"T52"
"544","TXNM0821.1","TXNM0821","Drought",11.9,NA,NA,NA,NA,NA,NA,"TXNM0821"
"545","TXNM0821.5","TXNM0821","Control",11.9,NA,NA,NA,NA,NA,NA,"TXNM0821"
"546","TXNM0821.8","TXNM0821","Drought",11.9,NA,NA,NA,NA,NA,NA,"TXNM0821"
"547","V60-96.4","V60-96","Drought",11.9,NA,NA,NA,NA,NA,NA,"V60-96"
"548","V60-96.9","V60-96","Control",11.9,NA,NA,NA,NA,NA,NA,"V60-96"
"549","Vru42.3","Vru42","Drought",11.9,NA,NA,NA,NA,NA,NA,"Vru42"
