"","ID","Genotype","Treatment","Date","LWP","SWP","PD","LWP.area","SWP.area","PD.area","species_geno"
"63","Vru42.3","Vru42","Drought",11.11,"10,000",NA,NA,12.06083333,NA,NA,"Vru42"
"64","Vru42.9","Vru42","Control",11.11,"10,000",NA,NA,9.5225,NA,NA,"Vru42"
"65","9018.7","9018","Control",11.11,"7,000",NA,NA,16.52138889,NA,NA,"9018"
"66","b40-14.4","b40-14","Drought",11.11,"12,300",NA,NA,9.885833333,NA,NA,"b40-14"
"67","b40-14.8","b40-14","Control",11.11,"9,700",NA,NA,15.24833333,NA,NA,"b40-14"
"68","b42-34.3","b42-34","Drought",11.11,"13,600",NA,NA,13.9925,NA,NA,"b42-34"
"69","b42-34.8","b42-34","Control",11.11,"7,600",NA,NA,9.992222222,NA,NA,"b42-34"
"70","NY1.3","NY1","Drought",11.11,"10,300",NA,NA,15.98055556,NA,NA,"NY1"
"71","NY1.7","NY1","Control",11.11,"7,700",NA,NA,19.95138889,NA,NA,"NY1"
"72","T48.5","T48","Drought",11.11,"8,300",NA,NA,13.98555556,NA,NA,"T48"
"73","T48.9","T48","Control",11.11,"8,200",NA,NA,18.1175,NA,NA,"T48"
"74","T52.2","T52","Drought",11.11,"8,200",NA,NA,15.30666667,NA,NA,"T52"
"75","T52.9","T52","Control",11.11,"8,500",NA,NA,18.81388889,NA,NA,"T52"
"76","TXNM0821.6","TXNM0821","Control",11.11,"6,500",NA,NA,21.45138889,NA,NA,"TXNM0821"
"77","V60-96.5","V60-96","Drought",11.11,"8,300",NA,NA,12.56416667,NA,NA,"V60-96"
"78","Vru42.4","Vru42","Drought",11.11,"8,400",NA,NA,13.41916667,NA,NA,"Vru42"
"79","Vru42.7","Vru42","Control",11.11,"8,500",NA,NA,14.14166667,NA,NA,"Vru42"
"80","9018.5","9018","Drought",11.16,"11,700",NA,NA,25.71104167,NA,NA,"9018"
"81","9018.6","9018","Control",11.16,"10,900",NA,NA,58.88131944,NA,NA,"9018"
"82","b40-14.1","b40-14","Drought",11.16,"10,300",NA,NA,31.51347222,NA,NA,"b40-14"
"83","b42-34.2","b42-34","Drought",11.16,"12,700",NA,NA,28.66465278,NA,NA,"b42-34"
"84","b42-34.6","b42-34","Control",11.16,"14,000",NA,NA,37.10791667,NA,NA,"b42-34"
