"","ID","Genotype","Treatment","Species","species_geno","sumwu","canopy_biomass","root_biomass","TotalLeafArea","canopy_wu","root_wu","Leafarea_wu"
"48","9035.7","9035","Control","berlandieri","berlandieri_9035",10.0380236774,NA,NA,NA,NA,NA,NA
"49","9035.8","9035","Control","berlandieri","berlandieri_9035",10.1603676884,NA,NA,NA,NA,NA,NA
"50","9035.9","9035","Control","berlandieri","berlandieri_9035",9.9385835644,NA,NA,NA,NA,NA,NA
"51","b40-14.1","b40-14","Drought","arizonica","arizonica_b40-14",3.9582458215,24.9,10.5083,NA,6.29066539140917,2.65478711375683,NA
"52","b40-14.10","b40-14","Control","arizonica","arizonica_b40-14",12.7034665744,90.8,12.5614,NA,7.14765528513138,0.988816708134905,NA
"53","b40-14.10","b40-14","Control","arizonica","arizonica_b40-14",12.7034665744,90.8,12.5614,NA,7.14765528513138,0.988816708134905,NA
"54","b40-14.2","b40-14","Drought","arizonica","arizonica_b40-14",3.92647934016667,21,6.2407,1198.98,5.34830268560858,1.58938821762274,305.357521618618
"55","b40-14.2","b40-14","Drought","arizonica","arizonica_b40-14",3.92647934016667,21,6.2407,1198.98,5.34830268560858,1.58938821762274,305.357521618618
"56","b40-14.2","b40-14","Drought","arizonica","arizonica_b40-14",3.92647934016667,21,6.2407,1198.98,5.34830268560858,1.58938821762274,305.357521618618
"57","b40-14.2","b40-14","Drought","arizonica","arizonica_b40-14",3.92647934016667,21,6.2407,1198.98,5.34830268560858,1.58938821762274,305.357521618618
"58","b40-14.2","b40-14","Drought","arizonica","arizonica_b40-14",3.92647934016667,21,6.2407,1198.98,5.34830268560858,1.58938821762274,305.357521618618
"59","b40-14.3","b40-14","Drought","arizonica","arizonica_b40-14",4.95130431816667,33.1,6.8924,3763.422765,6.68510717035789,1.39203724051283,760.087145359203
"60","b40-14.3","b40-14","Drought","arizonica","arizonica_b40-14",4.95130431816667,33.1,6.8924,3763.422765,6.68510717035789,1.39203724051283,760.087145359203
"61","b40-14.3","b40-14","Drought","arizonica","arizonica_b40-14",4.95130431816667,33.1,6.8924,3763.422765,6.68510717035789,1.39203724051283,760.087145359203
"62","b40-14.3","b40-14","Drought","arizonica","arizonica_b40-14",4.95130431816667,33.1,6.8924,3763.422765,6.68510717035789,1.39203724051283,760.087145359203
"63","b40-14.4","b40-14","Drought","arizonica","arizonica_b40-14",2.7537444295,16,7.2299,NA,5.81027049155216,2.62547966417956,NA
"64","b40-14.5","b40-14","Drought","arizonica","arizonica_b40-14",3.83737070616667,23.8,5.2912,2702.946494,6.20216336194814,1.37886078910672,704.374609848445
"65","b40-14.6","b40-14","Control","arizonica","arizonica_b40-14",14.7117518094,98.5,9.4463,16561.11439,6.69532774044379,0.642092126239129,1125.70648312721
"66","b40-14.7","b40-14","Control","arizonica","arizonica_b40-14",15.9864756274,100.5,10.0306,15310.79234,6.28656386450483,0.627442860689573,957.734068274441
"67","b40-14.7","b40-14","Control","arizonica","arizonica_b40-14",15.9864756274,100.5,10.0306,15310.79234,6.28656386450483,0.627442860689573,957.734068274441
"68","b40-14.7","b40-14","Control","arizonica","arizonica_b40-14",15.9864756274,100.5,10.0306,15310.79234,6.28656386450483,0.627442860689573,957.734068274441
"69","b40-14.7","b40-14","Control","arizonica","arizonica_b40-14",15.9864756274,100.5,10.0306,15310.79234,6.28656386450483,0.627442860689573,957.734068274441
"70","b40-14.8","b40-14","Control","arizonica","arizonica_b40-14",15.1364331464,110.2,16.2299,NA,7.28044704681364,1.0722407216432,NA
"71","b40-14.8","b40-14","Control","arizonica","arizonica_b40-14",15.1364331464,110.2,16.2299,NA,7.28044704681364,1.0722407216432,NA
"72","b40-14.8","b40-14","Control","arizonica","arizonica_b40-14",15.1364331464,110.2,16.2299,NA,7.28044704681364,1.0722407216432,NA
"73","b40-14.9","b40-14","Control","arizonica","arizonica_b40-14",15.1956441504,113.6,11.3864,15575.09477,7.47582655105869,0.749319995079002,1024.97101247202
"74","b40-14.9","b40-14","Control","arizonica","arizonica_b40-14",15.1956441504,113.6,11.3864,15575.09477,7.47582655105869,0.749319995079002,1024.97101247202
"75","b40-14.9","b40-14","Control","arizonica","arizonica_b40-14",15.1956441504,113.6,11.3864,15575.09477,7.47582655105869,0.749319995079002,1024.97101247202
"76","b40-14.9","b40-14","Control","arizonica","arizonica_b40-14",15.1956441504,113.6,11.3864,15575.09477,7.47582655105869,0.749319995079002,1024.97101247202
"77","b42-34.1","b42-34","Drought","cinerea","cinerea_b42-34",2.4683400655,14,4.6441,719.19,5.6718278796662,1.88146684685413,291.365849484081
"78","b42-34.10","b42-34","Control","cinerea","cinerea_b42-34",11.0294275764,58.8,5.8358,5679.824052,5.33119235723676,0.529111774802079,514.969975790338
"79","b42-34.2","b42-34","Drought","cinerea","cinerea_b42-34",4.2749681995,25.2,7.3155,NA,5.89478069168968,1.71124079960539,NA
"80","b42-34.3","b42-34","Drought","cinerea","cinerea_b42-34",2.4082084495,11.2,4.1369,NA,4.65076019574858,1.71783302266003,NA
"81","b42-34.4","b42-34","Drought","cinerea","cinerea_b42-34",3.64529131816667,15.4,7.7942,NA,4.22462806285264,2.13815558749909,NA
"82","b42-34.5","b42-34","Drought","cinerea","cinerea_b42-34",2.7863275295,17.8,9.076,996.78,6.38833726887599,3.25733421642238,357.739709150011
"83","b42-34.6","b42-34","Control","cinerea","cinerea_b42-34",8.3326350974,42.1,4.933,NA,5.05242333402267,0.592009603485364,NA
"84","b42-34.7","b42-34","Control","cinerea","cinerea_b42-34",8.3238906674,51.3,6.4996,5261.433604,6.16298339920697,0.780836781705372,632.088264278395
"85","b42-34.8","b42-34","Control","cinerea","cinerea_b42-34",5.8169081706,23.9,6.1438,NA,4.10871193064318,1.05619683512492,NA
"86","b42-34.9","b42-34","Control","cinerea","cinerea_b42-34",11.0345016714,56.8,6.5107,5880.467708,5.14749117735133,0.590031176203896,532.91647263432
"87","NY1.1","NY1","Drought","riparia","riparia_NY1",3.9656928975,10.5,11.5974,NA,2.64770880433512,2.92443219879963,NA
"88","NY1.10","NY1","Control","riparia","riparia_NY1",14.5938969354,76.6,16.9374,7682.946288,5.24876942320961,1.16058103431685,526.449263141204
"89","NY1.2","NY1","Drought","riparia","riparia_NY1",4.40300116016667,16.4,13.4727,1520.51,3.72473215505108,3.05989017715589,345.334907870531
"90","NY1.3","NY1","Drought","riparia","riparia_NY1",0.968895776166666,4.5,10.5258,NA,4.64446239801331,10.8637071797797,NA
"91","NY1.4","NY1","Drought","riparia","riparia_NY1",5.17672539416667,17.1,15.416,1366.19,3.30324649232291,2.97794432313743,263.910077505651
"92","NY1.5","NY1","Drought","riparia","riparia_NY1",4.16477274816667,55.1,17.2454,6346.792707,13.2300135761921,4.14077815112275,1523.92293428107
"93","NY1.6","NY1","Control","riparia","riparia_NY1",9.8846128134,32.6,10.2164,NA,3.29805533260808,1.03356602760912,NA
"94","NY1.7","NY1","Control","riparia","riparia_NY1",10.4239029714,65.8,26.6014,NA,6.31241485847816,2.55196158991369,NA
"95","NY1.8","NY1","Control","riparia","riparia_NY1",11.4942869084,42.5,15.5129,4642.821206,3.69748905162104,1.34961830373863,403.924248889858
"96","NY1.9","NY1","Control","riparia","riparia_NY1",10.1728537594,NA,11.6567,NA,NA,1.14586332170841,NA
"97","SC2.1","SC2","Control","girdiana","girdiana_SC2",8.4804902524,NA,NA,NA,NA,NA,NA
"98","SC2.2","SC2","Drought","girdiana","girdiana_SC2",1.80919104016666,NA,NA,NA,NA,NA,NA
"99","SC2.4","SC2","Drought","girdiana","girdiana_SC2",4.34661908016667,NA,NA,NA,NA,NA,NA
"100","SC2.5","SC2","Drought","girdiana","girdiana_SC2",2.61935538616666,NA,NA,NA,NA,NA,NA
"101","SC2.6","SC2","Control","girdiana","girdiana_SC2",2.6803936644,NA,NA,NA,NA,NA,NA
"102","SC2.7","SC2","Control","girdiana","girdiana_SC2",8.1328955424,NA,NA,NA,NA,NA,NA
"103","SC2.8","SC2","Control","girdiana","girdiana_SC2",8.8856963784,NA,NA,NA,NA,NA,NA
"104","SC2.9","SC2","Drought","girdiana","girdiana_SC2",2.05648203416666,NA,NA,NA,NA,NA,NA
"105","T48.1","T48","Drought","mustangensis","mustangensis_T48",3.2188558495,10.7,11.1375,797.84,3.32416252863951,3.46008038903949,247.864470266331
"106","T48.10","T48","Control","mustangensis","mustangensis_T48",11.6147186644,49.5,14.169,4996.110979,4.26183374994018,1.21991762430106,430.153421994926
"107","T48.2","T48","Drought","mustangensis","mustangensis_T48",4.38607358416667,15.6,17.4062,954.4,3.5567118746741,3.9685152713431,217.597808537754
"108","T48.3","T48","Drought","mustangensis","mustangensis_T48",3.97844428916667,16.7,21.8026,1041.42,4.19762067436113,5.48018230627701,261.765636089412
"109","T48.4","T48","Drought","mustangensis","mustangensis_T48",4.9355327295,17.6,15.5723,NA,3.56597777070825,3.15514066129546,NA
"110","T48.5","T48","Drought","mustangensis","mustangensis_T48",1.64424257116667,6,13.9462,NA,3.64909661458449,8.48183853438638,NA
"111","T48.6","T48","Control","mustangensis","mustangensis_T48",14.6244726094,70,23.707,5906.512218,4.78649739170812,1.62104990950321,403.878647507845
"112","T48.7","T48","Control","mustangensis","mustangensis_T48",9.4105910864,41.3,18.5126,NA,4.38867225457134,1.96720905520526,NA
"113","T48.8","T48","Control","mustangensis","mustangensis_T48",7.2251002774,25.4,16.5155,3016.842794,3.51552214153356,2.2858506271062,417.550300780826
"114","T48.9","T48","Control","mustangensis","mustangensis_T48",8.1596044584,43.1,16.9534,NA,5.28211878648483,2.07772326298821,NA
"115","T52.1","T52","Drought","aestivalis","aestivalis_T52",3.1736135095,9.2,12.9733,1019.49,2.89890371731164,4.0878638691086,321.239494648049
"116","T52.1","T52","Drought","aestivalis","aestivalis_T52",3.1736135095,9.2,12.9733,1019.49,2.89890371731164,4.0878638691086,321.239494648049
"117","T52.1","T52","Drought","aestivalis","aestivalis_T52",3.1736135095,9.2,12.9733,1019.49,2.89890371731164,4.0878638691086,321.239494648049
"118","T52.10","T52","Control","aestivalis","aestivalis_T52",9.1226169914,45.3,16.4003,7265.738182,4.96568035715024,1.79776263932387,796.453275288166
"119","T52.10","T52","Control","aestivalis","aestivalis_T52",9.1226169914,45.3,16.4003,7265.738182,4.96568035715024,1.79776263932387,796.453275288166
"120","T52.10","T52","Control","aestivalis","aestivalis_T52",9.1226169914,45.3,16.4003,7265.738182,4.96568035715024,1.79776263932387,796.453275288166
"121","T52.2","T52","Drought","aestivalis","aestivalis_T52",1.9229839825,5.4,15.1459,NA,2.80813571467177,7.87624865200873,NA
"122","T52.2","T52","Drought","aestivalis","aestivalis_T52",1.9229839825,5.4,15.1459,NA,2.80813571467177,7.87624865200873,NA
"123","T52.3","T52","Drought","aestivalis","aestivalis_T52",2.6381302235,8.6,13.9521,NA,3.25988456649816,5.28863203026035,NA
"124","T52.3","T52","Drought","aestivalis","aestivalis_T52",2.6381302235,8.6,13.9521,NA,3.25988456649816,5.28863203026035,NA
"125","T52.3","T52","Drought","aestivalis","aestivalis_T52",2.6381302235,8.6,13.9521,NA,3.25988456649816,5.28863203026035,NA
"126","T52.4","T52","Drought","aestivalis","aestivalis_T52",4.59070357416667,16.7,22.0292,1808.980616,3.63778661161573,4.79865442063505,394.053021889651
"127","T52.4","T52","Drought","aestivalis","aestivalis_T52",4.59070357416667,16.7,22.0292,1808.980616,3.63778661161573,4.79865442063505,394.053021889651
"128","T52.4","T52","Drought","aestivalis","aestivalis_T52",4.59070357416667,16.7,22.0292,1808.980616,3.63778661161573,4.79865442063505,394.053021889651
"129","T52.4","T52","Drought","aestivalis","aestivalis_T52",4.59070357416667,16.7,22.0292,1808.980616,3.63778661161573,4.79865442063505,394.053021889651
"130","T52.5","T52","Drought","aestivalis","aestivalis_T52",2.53001230216667,7.2,22.8169,498.04,2.84583596444729,9.01849369683298,196.85279774074
"131","T52.6","T52","Control","aestivalis","aestivalis_T52",15.7331810574,72.2,28.3423,9870.327082,4.58902746600257,1.80143480816738,627.357369497604
"132","T52.6","T52","Control","aestivalis","aestivalis_T52",15.7331810574,72.2,28.3423,9870.327082,4.58902746600257,1.80143480816738,627.357369497604
"133","T52.7","T52","Control","aestivalis","aestivalis_T52",10.0906072414,48.4,17.2801,NA,4.79653987536283,1.71249356818713,NA
"134","T52.7","T52","Control","aestivalis","aestivalis_T52",10.0906072414,48.4,17.2801,NA,4.79653987536283,1.71249356818713,NA
"135","T52.7","T52","Control","aestivalis","aestivalis_T52",10.0906072414,48.4,17.2801,NA,4.79653987536283,1.71249356818713,NA
"136","T52.8","T52","Control","aestivalis","aestivalis_T52",11.9734930364,59.8,23.1824,9182.839267,4.99436545527734,1.93614344030805,766.930689238614
"137","T52.8","T52","Control","aestivalis","aestivalis_T52",11.9734930364,59.8,23.1824,9182.839267,4.99436545527734,1.93614344030805,766.930689238614
"138","T52.8","T52","Control","aestivalis","aestivalis_T52",11.9734930364,59.8,23.1824,9182.839267,4.99436545527734,1.93614344030805,766.930689238614
"139","T52.9","T52","Control","aestivalis","aestivalis_T52",8.7722089124,45.6,30.1568,NA,5.19823461289686,3.43776582399579,NA
"140","TX6704.1","TX6704","Drought","monticola","monticola_TX6704",3.0657393215,NA,NA,NA,NA,NA,NA
"141","TX6704.10","TX6704","Control","monticola","monticola_TX6704",8.1910891374,NA,NA,NA,NA,NA,NA
"142","TX6704.2","TX6704","Drought","monticola","monticola_TX6704",3.71447377016667,NA,NA,NA,NA,NA,NA
"143","TX6704.3","TX6704","Drought","monticola","monticola_TX6704",6.07341248816667,NA,NA,NA,NA,NA,NA
"144","TX6704.4","TX6704","Drought","monticola","monticola_TX6704",1.6987701945,NA,NA,NA,NA,NA,NA
"145","TX6704.5","TX6704","Drought","monticola","monticola_TX6704",5.64130988916666,NA,NA,NA,NA,NA,NA
"146","TX6704.6","TX6704","Control","monticola","monticola_TX6704",10.9595292494,NA,NA,NA,NA,NA,NA
"147","TX6704.7","TX6704","Control","monticola","monticola_TX6704",14.9469521834,NA,NA,NA,NA,NA,NA
"148","TX6704.8","TX6704","Control","monticola","monticola_TX6704",13.6180905304,NA,NA,NA,NA,NA,NA
"149","TX6704.9","TX6704","Control","monticola","monticola_TX6704",12.6806448484,NA,NA,NA,NA,NA,NA
"150","TXNM0821.1","TXNM0821","Drought","riparia","riparia_TXNM0821",3.0873567775,15.9,10.5526,1193.22,5.15003646999136,3.41800470775037,386.485944447993
"151","TXNM0821.10","TXNM0821","Control","riparia","riparia_TXNM0821",8.6685389964,41.9,9.7118,NA,4.83357114934833,1.1203502694091,NA
"152","TXNM0821.10","TXNM0821","Control","riparia","riparia_TXNM0821",8.6685389964,41.9,9.7118,NA,4.83357114934833,1.1203502694091,NA
"153","TXNM0821.10","TXNM0821","Control","riparia","riparia_TXNM0821",8.6685389964,41.9,9.7118,NA,4.83357114934833,1.1203502694091,NA
"154","TXNM0821.2","TXNM0821","Drought","riparia","riparia_TXNM0821",4.79445287816667,23,10.5019,1834.841647,4.79721056488824,2.19042720136521,382.700944951537
"155","TXNM0821.2","TXNM0821","Drought","riparia","riparia_TXNM0821",4.79445287816667,23,10.5019,1834.841647,4.79721056488824,2.19042720136521,382.700944951537
"156","TXNM0821.2","TXNM0821","Drought","riparia","riparia_TXNM0821",4.79445287816667,23,10.5019,1834.841647,4.79721056488824,2.19042720136521,382.700944951537
"157","TXNM0821.3","TXNM0821","Drought","riparia","riparia_TXNM0821",3.41887349016667,16.7,8.5535,1742.87,4.88464988483264,2.50184747245006,509.779026633429
"158","TXNM0821.3","TXNM0821","Drought","riparia","riparia_TXNM0821",3.41887349016667,16.7,8.5535,1742.87,4.88464988483264,2.50184747245006,509.779026633429
"159","TXNM0821.3","TXNM0821","Drought","riparia","riparia_TXNM0821",3.41887349016667,16.7,8.5535,1742.87,4.88464988483264,2.50184747245006,509.779026633429
"160","TXNM0821.3","TXNM0821","Drought","riparia","riparia_TXNM0821",3.41887349016667,16.7,8.5535,1742.87,4.88464988483264,2.50184747245006,509.779026633429
