"","X","ID","Genotype","Species","Treatment","Order.within.block","mPot..kg.","Dry.weight.of.soil..kg.","mH2O..kg.","Date","PWW","WA","BB","TW","POWW","PD.WT","midday.WT","POWW.NOTES","WU","tgt_swc","SWC","species_geno","PSWC","POSWC"
"50",50,"9018.3","9018","acerifolia","Drought",33,6.732,3.983064067,2.496935933,"11/11",5.02,0.21383844,1,5.23383844,5.26,NA,NA,NA,0.394000000000001,0.4,0.406472556999323,"acerifolia_9018",0.745692216280451,0.78134284016637
"51",51,"9018.3","9018","acerifolia","Drought",33,6.732,3.983064067,2.496935933,"11/13",4.8,0.184144847,1,4.984144847,4.984144847,NA,NA,NA,0.4,0.3,0.318364569368388,"acerifolia_9018",0.71301247771836,0.740366138888889
"52",52,"9018.3","9018","acerifolia","Drought",33,6.732,3.983064067,2.496935933,"11/16",4.48,0.504144847,1,4.984144847,4.98,NA,NA,NA,0.229999999999999,0.3,0.199047300265673,"acerifolia_9018",0.665478312537136,0.739750445632799
"53",53,"9018.3","9018","acerifolia","Drought",33,6.732,3.983064067,2.496935933,"11/23",4.68,0.304144847,1,4.984144847,5.029,NA,NA,NA,0.214,0.3,0.24227130736718,"acerifolia_9018",0.695187165775401,0.747029114676174
"54",54,"9018.3","9018","acerifolia","Drought",33,6.732,3.983064067,2.496935933,"11/25",4.7,0.284144847,1,4.984144847,5,NA,NA,NA,0.269,0.3,0.252083333249064,"acerifolia_9018",0.698158051099228,0.742721330956625
"55",55,"9018.3","9018","acerifolia","Drought",33,6.732,3.983064067,2.496935933,"11/27",4.649,0.335144847,1,4.984144847,4.9855,NA,NA,NA,0.34325,0.3,0.236063699156193,"acerifolia_9018",0.69058229352347,0.740567439096851
"56",56,"9018.3","9018","acerifolia","Drought",33,6.732,3.983064067,2.496935933,"11/30",4.6,0.384144847,1,4.984144847,4.98,NA,NA,NA,0.2732,0.3,0.223348114594977,"acerifolia_9018",0.683303624480095,0.739750445632799
"57",57,"9018.3","9018","acerifolia","Drought",33,6.732,3.983064067,2.496935933,"12/02",4.69,0.294144847,1,4.984144847,4.69,NA,NA,NA,0.25815,0.3,0.240268853105572,"acerifolia_9018",0.696672608437314,0.696672608437314
"58",58,"9018.3","9018","acerifolia","Drought",33,6.732,3.983064067,2.496935933,"12/04",4.54,0.194451254,1,4.734451254,4.73,NA,NA,NA,0.11815,0.2,0.152160865534711,"acerifolia_9018",0.674390968508616,0.702614379084967
"59",59,"9018.3","9018","acerifolia","Drought",33,6.732,3.983064067,2.496935933,"12/07",4.44,5.240802228,1,4.734451254,5.24,NA,NA,NA,0.142,0.2,0.140146139904984,"acerifolia_9018",0.659536541889483,0.778371954842543
"60",60,"9018.3","9018","acerifolia","Drought",33,6.732,3.983064067,2.496935933,"12/09",4.89,0.350802229,1,4.984144847,5.25,NA,NA,NA,0.264000000000001,0.3,0.332381749079503,"acerifolia_9018",0.726381461675579,0.779857397504456
"61",61,"9018.3","9018","acerifolia","Drought",33,6.732,3.983064067,2.496935933,"12/14",4.6625,0.321644847,1,4.984144847,4.9785,NA,NA,NA,0.284166666666667,0.3,0.235592090540034,"acerifolia_9018",0.692587641117053,0.739527629233512
"62",62,"9018.4","9018","acerifolia","Drought",10,6.712,3.970770659,2.489229341,"10/28",5.46,0.754154132,1,6.214154132,NA,NA,NA,NA,0.62435608175,0.8,0.458868663480052,"acerifolia_9018",0.813468414779499,0.813468414779499
"63",63,"9018.4","9018","acerifolia","Drought",10,6.712,3.970770659,2.489229341,"10/30",5.65,0.564154132,1,6.214154132,NA,NA,NA,NA,0.41885608175,0.8,0.535197508263663,"acerifolia_9018",0.841775923718713,0.841775923718713
"64",64,"9018.4","9018","acerifolia","Drought",10,6.712,3.970770659,2.489229341,"11/06",5.06,0.40738533,1,5.46738533,5.46,NA,NA,NA,0.262,0.5,0.416686933347537,"acerifolia_9018",0.753873659117998,0.813468414779499
"65",65,"9018.4","9018","acerifolia","Drought",10,6.712,3.970770659,2.489229341,"11/09",4.819,0.64838533,1,5.46738533,5.46,NA,NA,NA,0.451,0.5,0.368278376524246,"acerifolia_9018",0.717967818831943,0.813468414779499
"66",66,"9018.4","9018","acerifolia","Drought",10,6.712,3.970770659,2.489229341,"11/11",5.03,0.188462396,1,5.218462396,5.21,NA,NA,NA,0.364,0.4,0.410660971897165,"acerifolia_9018",0.749404052443385,0.776221692491061
"67",67,"9018.4","9018","acerifolia","Drought",10,6.712,3.970770659,2.489229341,"11/13",4.82,0.149539462,1,4.969539462,4.969539462,NA,NA,NA,0.33,0.3,0.318262896592621,"acerifolia_9018",0.718116805721097,0.740396224970203
"68",68,"9018.4","9018","acerifolia","Drought",10,6.712,3.970770659,2.489229341,"11/16",4.6,0.369539462,1,4.969539462,4.99,NA,NA,NA,0.130000000000001,0.3,0.225772315167323,"acerifolia_9018",0.685339690107271,0.743444576877235
"69",69,"9018.4","9018","acerifolia","Drought",10,6.712,3.970770659,2.489229341,"11/23",4.59,0.379539462,1,4.969539462,4.96,NA,NA,NA,0.273539462,0.3,0.223763661357228,"acerifolia_9018",0.683849821215733,0.738974970202622
"70",70,"9018.4","9018","acerifolia","Drought",10,6.712,3.970770659,2.489229341,"11/25",4.74,0.229539462,1,4.969539462,4.97,NA,NA,NA,0.16,0.3,0.251977320839398,"acerifolia_9018",0.706197854588796,0.74046483909416
"71",71,"9018.4","9018","acerifolia","Drought",10,6.712,3.970770659,2.489229341,"11/27",4.6625,0.307039462,1,4.969539462,5.071,NA,NA,NA,0.29975,0.3,0.238418907621256,"acerifolia_9018",0.69465137067938,0.755512514898689
