"species_geno","Treatment","mean_value_leafarea/wu","sd_value_leafarea/wu","p.value_leafarea/wu","mean_value_canopy_biomass/wu","sd_value_canopy_biomass/wu","p.value_canopy_biomass/wu","mean_value_root_biomass/wu","sd_value_root_biomass/wu","p.value_root_biomass/wu"
"acerifolia_9018","Control",580.076588091992,54.2539714286159,0.000693208867161961,4.87468594671394,0.572646099978438,0.692310177877526,1.50000333285292,0.175080429453792,1.75189082101837e-07
"acerifolia_9018","Drought",384.017364206354,125.762754034332,0.000693208867161961,4.75998006589183,0.959650037374896,0.692310177877526,4.3612748872872,1.09239783163275,1.75189082101837e-07
"aestivalis_T52","Control",743.108329071943,72.7384096579038,6.02972425893018e-08,4.88717055068944,0.178922232589017,2.49325898178458e-09,1.94831953198231,0.47643458598781,3.9530150334175e-11
"aestivalis_T52","Drought",362.847224500393,38.9204674372298,6.02972425893018e-08,3.30275112978923,0.3238288163642,2.49325898178458e-09,4.7324105380647,0.493515875962156,3.9530150334175e-11
"arizonica_b40-14","Control",957.734068274441,0,0.000256418460875083,6.5909848241037,0.408521711198701,0.0194227099472021,0.910181729057269,0.155989687534529,8.49100424809144e-05
"arizonica_b40-14","Drought",527.151079937835,234.380254764069,0.000256418460875083,5.98208677953199,0.61485677318682,0.0194227099472021,1.68118480143401,0.458014724926196,8.49100424809144e-05
"cinerea_b42-34","Control",559.991570901018,63.0790700962405,0.0200818510508484,5.16056043969218,0.733521773070957,0.702825735106653,0.918516808415145,0.194708961040851,0.0124970914277266
"cinerea_b42-34","Drought",324.552779317046,46.9334062633036,0.0200818510508484,5.36606681976662,0.898973172206278,0.702825735106653,2.1412060946082,0.647559008832326,0.0124970914277266
"mustangensis_T48","Control",417.194123427866,13.1410079642626,NA,4.44692886484761,0.655366597424046,0.0536228986315371,1.83435009582079,0.41945171440757,0.0182712285135827
"mustangensis_T48","Drought",261.765636089412,NA,NA,3.6587138925935,0.324592832082315,0.0536228986315371,4.01597965698876,1.03218377541667,0.0182712285135827
"riparia_NY1","Control",465.186756015531,86.6382684421048,0.17949424025922,4.63918216647922,1.39722479368242,0.398276441624651,1.44831805545734,0.627308017652173,0.00291185437873883
"riparia_NY1","Drought",304.622492688091,57.5760497079709,0.17949424025922,3.89081368179577,0.685858827721575,0.398276441624651,3.27576121255393,0.579362173273933,0.00291185437873883
"riparia_TXNM0821","Control",571.603015117336,25.5473505051057,0.000144633960294764,5.43432599843039,0.610492910042243,0.00253419604778174,1.53789625193449,0.364328073191778,2.67393044238922e-06
"riparia_TXNM0821","Drought",454.2309993366,62.70572360925,0.000144633960294764,4.65088020874095,0.532582487204293,0.00253419604778174,2.47058101093353,0.390877063919495,2.67393044238922e-06
"rupestris_Vru42","Control",674.926809920905,64.9087429853871,3.80996625605635e-05,5.13566323552765,0.38394038703684,3.18785293888232e-08,1.87474592511446,0.525594564259439,2.96727222747172e-11
"rupestris_Vru42","Drought",343.541757981967,13.9304053210742,3.80996625605635e-05,3.20543793938033,0.0907484547723054,3.18785293888232e-08,4.20314473360534,0.505003399091698,2.96727222747172e-11
"vulpina_V60-96","Control",845.093402107859,35.1616623496332,NA,5.1836501914271,1.1001718848716,0.0412803771069079,0.767603324254474,NA,NA
"vulpina_V60-96","Drought",488.802409460109,NA,NA,3.75024343719325,0.276308167350106,0.0412803771069079,NA,NA,NA
