"Species","Treatment","ID","Genotype","species_geno","sumwu","canopy_biomass","root_biomass","ratio_canopy_root","TotalLeafArea","leafarea_wu","canopy_biomass_wu","root_biomass_wu","Treatment_factor","mean_sumwu","sd_sumwu","Tukey_sumwu","mean_canopy_biomass","sd_canopy_biomass","Tukey_canopy_biomass","mean_root_biomass","sd_root_biomass","Tukey_root_biomass","mean_ratio_canopy_root","sd_ratio_canopy_root","Tukey_ratio_canopy_root","mean_TotalLeafArea","sd_TotalLeafArea","Tukey_TotalLeafArea","mean_leafarea_wu","sd_leafarea_wu","Tukey_leafarea_wu","mean_canopy_biomass_wu","sd_canopy_biomass_wu","Tukey_canopy_biomass_wu","mean_root_biomass_wu","sd_root_biomass_wu","Tukey_root_biomass_wu"
"acerifolia","Control","9018.10.","9018","acerifolia_9018",12.8895250684,69.5,19.5466,3.55560557846377,8130.608302,630.79192280971,5.39197523812467,1.51647170056874,"Control",11.8397538532,3.31264543227713,"ab",61.52,19.9231523610095,"b",NA,NA,"ab",NA,NA,"d",NA,NA,"bc",NA,NA,"ab",5.10938450215286,0.528671370225002,"ab",NA,NA,"ab"
"acerifolia","Control","9018.6","9018","acerifolia_9018",6.2432632324,26.6,8.7823,3.02881932978832,NA,NA,4.2605924193548,1.40668424077066,"Control",11.8397538532,3.31264543227713,"ab",61.52,19.9231523610095,"b",NA,NA,"ab",NA,NA,"d",NA,NA,"bc",NA,NA,"ab",5.10938450215286,0.528671370225002,"ab",NA,NA,"ab"
"acerifolia","Control","9018.7","9018","acerifolia_9018",11.6078820794,64.9,NA,NA,NA,NA,5.59102854044109,NA,"Control",11.8397538532,3.31264543227713,"ab",61.52,19.9231523610095,"b",NA,NA,"ab",NA,NA,"d",NA,NA,"bc",NA,NA,"ab",5.10938450215286,0.528671370225002,"ab",NA,NA,"ab"
"acerifolia","Control","9018.8","9018","acerifolia_9018",14.2451866294,70.5,16.9217,4.16624807200222,7606.237241,533.951392767423,4.9490401097658,1.18788896489963,"Control",11.8397538532,3.31264543227713,"ab",61.52,19.9231523610095,"b",NA,NA,"ab",NA,NA,"d",NA,NA,"bc",NA,NA,"ab",5.10938450215286,0.528671370225002,"ab",NA,NA,"ab"
"acerifolia","Control","9018.9","9018","acerifolia_9018",14.2129122564,76.1,25.5808,2.97488741556167,7502.01863,527.831206909891,5.35428620307795,1.79982818007485,"Control",11.8397538532,3.31264543227713,"ab",61.52,19.9231523610095,"b",NA,NA,"ab",NA,NA,"d",NA,NA,"bc",NA,NA,"ab",5.10938450215286,0.528671370225002,"ab",NA,NA,"ab"
"acerifolia","Drought","9018.1","9018","acerifolia_9018",3.54119429016667,13,21.4234,0.60681311089743,1124.29,317.488933923217,3.67107787225878,6.04976689911913,"Drought",3.34853844023334,1.6239314571857,"ab",16.28,9.4774469135944,"b",15.37808,5.43575169935125,"ab",1.04087516664089,0.497249079005813,"d",NA,NA,"bc",NA,NA,"ab",4.86959765407673,1.02462693903592,"ab",5.53184887015194,2.81832148634264,"ab"
"acerifolia","Drought","9018.5","9018","acerifolia_9018",2.7297722835,10.7,10.8305,0.987950694797101,NA,NA,3.91974087533811,3.96754706078032,"Drought",3.34853844023334,1.6239314571857,"ab",16.28,9.4774469135944,"b",15.37808,5.43575169935125,"ab",1.04087516664089,0.497249079005813,"d",NA,NA,"bc",NA,NA,"ab",4.86959765407673,1.02462693903592,"ab",5.53184887015194,2.81832148634264,"ab"
"acerifolia","Drought","9018.2","9018","acerifolia_9018",0.925011143166667,5.3,9.3895,0.5644603014005,NA,NA,5.72966070641708,10.1506885288497,"Drought",3.34853844023334,1.6239314571857,"ab",16.28,9.4774469135944,"b",15.37808,5.43575169935125,"ab",1.04087516664089,0.497249079005813,"d",NA,NA,"bc",NA,NA,"ab",4.86959765407673,1.02462693903592,"ab",5.53184887015194,2.81832148634264,"ab"
"acerifolia","Drought","9018.3","9018","acerifolia_9018",5.08554619216667,26.1,14.8834,1.75363156268057,1318.33,259.230759132744,5.13219210164724,2.92660796650025,"Drought",3.34853844023334,1.6239314571857,"ab",16.28,9.4774469135944,"b",15.37808,5.43575169935125,"ab",1.04087516664089,0.497249079005813,"d",NA,NA,"bc",NA,NA,"ab",4.86959765407673,1.02462693903592,"ab",5.53184887015194,2.81832148634264,"ab"
"acerifolia","Drought","9018.4","9018","acerifolia_9018",4.46116829216667,26.3,20.3636,1.29152016342886,2353.282516,527.503640723913,5.89531671472246,4.56463389551035,"Drought",3.34853844023334,1.6239314571857,"ab",16.28,9.4774469135944,"b",15.37808,5.43575169935125,"ab",1.04087516664089,0.497249079005813,"d",NA,NA,"bc",NA,NA,"ab",4.86959765407673,1.02462693903592,"ab",5.53184887015194,2.81832148634264,"ab"
"aestivalis","Control","T52.10","T52","aestivalis_T52",9.1226169914,45.3,16.4003,2.76214459491595,7265.738182,796.453275288166,4.96568035715024,1.79776263932387,"Control",11.1384214478,2.85348490482946,"ab",54.26,11.6420788521638,"bc",23.07238,6.24580513360768,"a",2.44042465909198,0.530577456414866,"d",NA,NA,"bc",NA,NA,"ab",4.90876955333797,0.228684292069223,"b",2.13712005599644,0.731475684810881,"a"
"aestivalis","Control","T52.6","T52","aestivalis_T52",15.7331810574,72.2,28.3423,2.54742910772944,9870.327082,627.357369497604,4.58902746600257,1.80143480816738,"Control",11.1384214478,2.85348490482946,"ab",54.26,11.6420788521638,"bc",23.07238,6.24580513360768,"a",2.44042465909198,0.530577456414866,"d",NA,NA,"bc",NA,NA,"ab",4.90876955333797,0.228684292069223,"b",2.13712005599644,0.731475684810881,"a"
"aestivalis","Control","T52.7","T52","aestivalis_T52",10.0906072414,48.4,17.2801,2.80090971695766,NA,NA,4.79653987536283,1.71249356818713,"Control",11.1384214478,2.85348490482946,"ab",54.26,11.6420788521638,"bc",23.07238,6.24580513360768,"a",2.44042465909198,0.530577456414866,"d",NA,NA,"bc",NA,NA,"ab",4.90876955333797,0.228684292069223,"b",2.13712005599644,0.731475684810881,"a"
"aestivalis","Control","T52.8","T52","aestivalis_T52",11.9734930364,59.8,23.1824,2.57954310166333,9182.839267,766.930689238614,4.99436545527734,1.93614344030805,"Control",11.1384214478,2.85348490482946,"ab",54.26,11.6420788521638,"bc",23.07238,6.24580513360768,"a",2.44042465909198,0.530577456414866,"d",NA,NA,"bc",NA,NA,"ab",4.90876955333797,0.228684292069223,"b",2.13712005599644,0.731475684810881,"a"
"aestivalis","Control","T52.9","T52","aestivalis_T52",8.7722089124,45.6,30.1568,1.51209677419355,NA,NA,5.19823461289686,3.43776582399579,"Control",11.1384214478,2.85348490482946,"ab",54.26,11.6420788521638,"bc",23.07238,6.24580513360768,"a",2.44042465909198,0.530577456414866,"d",NA,NA,"bc",NA,NA,"ab",4.90876955333797,0.228684292069223,"b",2.13712005599644,0.731475684810881,"a"
"aestivalis","Drought","T52.1","T52","aestivalis_T52",3.1736135095,9.2,12.9733,0.70914879020758,1019.49,321.239494648049,2.89890371731164,4.0878638691086,"Drought",2.97108871836667,1.0084768060954,"ab",9.42,4.32458090455017,"bc",17.38348,4.67267556673904,"a",0.551143176912782,0.203361323619899,"d",NA,NA,"bc",NA,NA,"ab",3.09010931490892,0.35514511784243,"b",6.21397853376914,2.12180461576382,"a"
"aestivalis","Drought","T52.5","T52","aestivalis_T52",2.53001230216667,7.2,22.8169,0.315555575034295,498.04,196.85279774074,2.84583596444729,9.01849369683298,"Drought",2.97108871836667,1.0084768060954,"ab",9.42,4.32458090455017,"bc",17.38348,4.67267556673904,"a",0.551143176912782,0.203361323619899,"d",NA,NA,"bc",NA,NA,"ab",3.09010931490892,0.35514511784243,"b",6.21397853376914,2.12180461576382,"a"
"aestivalis","Drought","T52.2","T52","aestivalis_T52",1.9229839825,5.4,15.1459,0.356532130807677,NA,NA,2.80813571467177,7.87624865200873,"Drought",2.97108871836667,1.0084768060954,"ab",9.42,4.32458090455017,"bc",17.38348,4.67267556673904,"a",0.551143176912782,0.203361323619899,"d",NA,NA,"bc",NA,NA,"ab",3.09010931490892,0.35514511784243,"b",6.21397853376914,2.12180461576382,"a"
"aestivalis","Drought","T52.3","T52","aestivalis_T52",2.6381302235,8.6,13.9521,0.616394664602461,NA,NA,3.25988456649816,5.28863203026035,"Drought",2.97108871836667,1.0084768060954,"ab",9.42,4.32458090455017,"bc",17.38348,4.67267556673904,"a",0.551143176912782,0.203361323619899,"d",NA,NA,"bc",NA,NA,"ab",3.09010931490892,0.35514511784243,"b",6.21397853376914,2.12180461576382,"a"
"aestivalis","Drought","T52.4","T52","aestivalis_T52",4.59070357416667,16.7,22.0292,0.758084723911899,1808.980616,394.053021889651,3.63778661161573,4.79865442063505,"Drought",2.97108871836667,1.0084768060954,"ab",9.42,4.32458090455017,"bc",17.38348,4.67267556673904,"a",0.551143176912782,0.203361323619899,"d",NA,NA,"bc",NA,NA,"ab",3.09010931490892,0.35514511784243,"b",6.21397853376914,2.12180461576382,"a"
"arizonica","Control","b40-14.10","b40-14","arizonica_b40-14",12.7034665744,90.8,12.5614,7.22849363924403,NA,NA,7.14765528513138,0.988816708134905,"Control",14.7467542616,1.23151437006131,"a",102.72,9.20798566462828,"a",11.93092,2.69071499549841,"cd",8.8883898175219,1.73139512009488,"a",NA,NA,"a",NA,NA,"a",6.97716409759047,0.481163290621077,"a",0.815982482357162,0.203573627283654,"b"
"arizonica","Control","b40-14.6","b40-14","arizonica_b40-14",14.7117518094,98.5,9.4463,10.427363094545,16561.11439,1125.70648312721,6.69532774044379,0.642092126239129,"Control",14.7467542616,1.23151437006131,"a",102.72,9.20798566462828,"a",11.93092,2.69071499549841,"cd",8.8883898175219,1.73139512009488,"a",NA,NA,"a",NA,NA,"a",6.97716409759047,0.481163290621077,"a",0.815982482357162,0.203573627283654,"b"
"arizonica","Control","b40-14.7","b40-14","arizonica_b40-14",15.9864756274,100.5,10.0306,10.0193408170997,15310.79234,957.734068274441,6.28656386450483,0.627442860689573,"Control",14.7467542616,1.23151437006131,"a",102.72,9.20798566462828,"a",11.93092,2.69071499549841,"cd",8.8883898175219,1.73139512009488,"a",NA,NA,"a",NA,NA,"a",6.97716409759047,0.481163290621077,"a",0.815982482357162,0.203573627283654,"b"
"arizonica","Control","b40-14.8","b40-14","arizonica_b40-14",15.1364331464,110.2,16.2299,6.78993709141769,NA,NA,7.28044704681364,1.0722407216432,"Control",14.7467542616,1.23151437006131,"a",102.72,9.20798566462828,"a",11.93092,2.69071499549841,"cd",8.8883898175219,1.73139512009488,"a",NA,NA,"a",NA,NA,"a",6.97716409759047,0.481163290621077,"a",0.815982482357162,0.203573627283654,"b"
"arizonica","Control","b40-14.9","b40-14","arizonica_b40-14",15.1956441504,113.6,11.3864,9.97681444530317,15575.09477,1024.97101247202,7.47582655105869,0.749319995079002,"Control",14.7467542616,1.23151437006131,"a",102.72,9.20798566462828,"a",11.93092,2.69071499549841,"cd",8.8883898175219,1.73139512009488,"a",NA,NA,"a",NA,NA,"a",6.97716409759047,0.481163290621077,"a",0.815982482357162,0.203573627283654,"b"
