ID,Genotype,Species,Treatment,Order within block,m`Pot (kg),Dry weight of soil (kg),m`H2O (kg),10/23 Pre Watering Weight (kg),10/23 Water added for 80%SW,10/26 Pre Watering Weight,10/26 Water added for 80%SW,mpot @ 80% SW,10/28 pre water weight,10/28 Water added for 80%SW,mpot @ 80% SW,10/30 pre water weight,10/30 Water added for 80%SW,88,11/2 pre water weight,11/2 Water added for 80%SW,mpot @ 80% SW,11/2 post water weight,11/4 pre water,11/4 Water added,mpot target weight (80% for control and 50% for treatment),11/4 post water,11/6 pre water,11/6 water added,mpot target,11/6 post water,11/9 pre water,11/9 water added,mpot target,11/9 post water,11/11 pre water weight,11/11 water added,11/11 target weights,11/11 post water weight,11/13 pre water weight,11/13 water added,11/13 target weight,11/13 post water weight,11/15 control drained weight,11/16 pre water weight,11/16 water added,11/16 target weight,11/16 post water weight,11/18 pre water weight,11/18 water added,11/18 target weight,11/18 post water,11/20 pre water weight,11/20 water added,11/20 target weight,11/20 post water weight,11/23 pre water weight,11/23 water added,11/23 target weight,11/23 post water weight,11/25 pre water weight,11/25 water added,11/25 target weight,11/25 post water weight,11/27 pre water weight,11/27 water added,11/27 target weight,11/27 post water weight,11/30 pre water weight,11/30 water added,11/30 target weight,11/30 post water weight,12/2 pre water weight,12/2 water added,12/2 target weight,12/2 post water weight,12/4 pre water weight,12/4 water added,12/4 target weight,12/4 post water weight,12/7 pre water weight,12/7 water added,12/7 target weight,12/7 corrected target weights 90/20,12/9 pre water weight,12/9 water added,12/9 target weight,12/9 corrected target weights 90/20,12/9 post water weight,12/9 rewater Pre water weight,12/9 rewater water needed,12/9 Treatment rewater to 30%,12/9 rewater post water weight,12/11 pre-water weight,12/11 water added,12/11 target weights,12/11 post-water weight,12/11 Pre-Dawn Bench 1 Pot Weights,midday pot weights,12/13 pre-water weight,12/13 water added,12/13 target weight,12/13 post-water weight,Notes,12/14 pre-water weight,12/14 water added,12/14 target weight,12/14 post water weight,12/15 midday weight,12/15 Pre water weight,12/15 target weight,12/15 post water weight,12/16 pre-water weight,12/16 water added,12/16 target weight,12/16 post-water weight,12/16 Pre Dawn Pot Weights,12/16 midday weight,12/17 Pre Dawn Pot Weights,12/17 pre water weight,12/17 target weight,12/17 post water weight,12/18 Pre Dawn Pot Weights,12/18 Mid Day weight,,,
V60-96.8,V60-96,vulpina,Control,1,7.496,4.452672238,2.791327762,6.6435,0.294234448,6.6255,0.312234448,6.937734448,6.767,0.170734448,6.937734448,6.659,0.278734448,6.937734448,6.6655,0.272234448,6.937734448,6.946,6.7225,0.215234448,6.937734448,6.9405,6.747,0.190734448,6.937734448,6.9375,6.5405,0.397234448,6.937734448,7.07575,6.7305,0.207234448,6.937734448,6.93,6.69,0.247734448,6.937734448,6.93,6.876,7.41,-0.472265552,6.937734448,,,7.216867224,7.216867224,,7.12,0.096867224,7.216867224,7.3,6.695,0.521867224,7.216867224,7.29,6.72,0.496867224,7.216867224,7.23,6.653,0.563867224,7.216867224,,7.12,0.096867224,7.216867224,7.21,7.1,0.116867224,7.216867224,7.21,6.99,0.226867224,7.216867224,7.21,6.8665,6.989961003,6.989961003,6.937734448,7.01,-0.020038997,6.989961003,6.937734448,7.01,,0.206867224,7.216867224,,,,,,7.124,6.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXNM0821.10,TXNM0821,riparia,Control,2,6.652,3.933890436,2.466109564,5.4185,0.740278087,5.5295,0.629278087,6.158778087,5.723,0.435778087,6.158778087,5.759,0.399778087,6.158778087,5.6655,0.493278087,6.158778087,6.154,5.783,0.375778087,6.158778087,6.157,5.826,0.332778087,6.158778087,6.1505,5.5585,0.600278087,6.158778087,6.176,5.743,0.415778087,6.158778087,6.15,5.75,0.408778087,6.158778087,6.15,6.3955,6.6,-0.441221913,6.158778087,,,6.405389044,6.405389044,,6.11,0.295389044,6.405389044,6.43,5.424,,6.405389044,6.4015,5.5,0.905389044,6.405389044,6.4,5.592,0.813389044,6.405389044,6.5075,6.03,0.375389044,6.405389044,6.4,6.29,0.115389044,6.405389044,6.4,6.01,0.395389044,6.405389044,6.4,6.1105,6.864970288,6.864970288,6.191278087,5.97,0.894970288,6.864970288,6.191278087,6.86,,-0.422110956,6.437889044,,,,,,6.465,6.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588155.01.4,588155.01,palmata,Drought,3,7.26,4.307610028,2.700389972,6.1975,0.522422006,6.2235,0.496422006,6.719922006,6.365,0.354922006,6.719922006,6.3425,0.377422006,6.719922006,6.2715,,Dont Water Today,,6.0165,-0.106694986,5.909805014,6.0165,5.834,0.075805014,5.909805014,5.9135,5.5915,0.318305014,5.909805014,5.904,5.6815,-0.041733983,5.639766017,,5.52,-0.15027298,5.36972702,,,5.31,0.05972702,5.36972702,5.36,5.23,0.13972702,5.36972702,5.37,5.16,0.20972702,5.36972702,5.36,5.1225,0.24722702,5.36972702,5.44,5.2,0.16972702,5.36972702,5.37,5.173,0.19672702,5.36972702,5.453,5.17,0.19972702,5.36972702,5.36,5.18,0.18972702,5.36972702,5.18,5.06,0.039688022,5.099688022,5.1,4.9465,5.177162488,5.177162488,5.099688022,5.01,0.167162488,5.177162488,5.099688022,5.17,5.16,0.19972702,5.36972702,5.36,,,,,5.1855,5.1365,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C56-94.5,C56-94,rotundifolia var. munsoniana,Drought,4,7.13,4.227702878,2.650297122,5.851,0.748940576,6.0175,0.582440576,6.599940576,6.148,0.451940576,6.599940576,6.069,0.530940576,6.599940576,5.9035,,Dont Water Today,,5.5295,0.275351439,5.804851439,5.812,5.458,0.346851439,5.804851439,5.806,5.201,0.603851439,5.804851439,5.8174,5.4,0.139821727,5.539821727,5.57,5.19,0.084792015,5.274792015,5.27,,4.92,0.354792015,5.274792015,5.27,4.96,0.314792015,5.274792015,5.27,4.87,0.404792015,5.274792015,5.29,4.8725,0.402292015,5.274792015,5.2955,4.93,0.344792015,5.274792015,5.29,4.9315,0.343292015,5.274792015,5.275,4.85,0.424792015,5.274792015,5.29,4.97,0.304792015,5.274792015,4.97,4.81,0.199762303,5.009762303,5.04,4.7715,5.366698236,5.366698236,5.042262303,4.87,0.496698236,5.366698236,5.042262303,5.37,5.27,-0.095207985,5.274792015,5.27,,,,,5.0385,4.972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255189.01.7,255189.01,riparia,Control,5,7.372,4.376453111,2.743546889,6.08,0.743290622,5.796,1.027290622,6.823290622,5.9855,0.837790622,6.823290622,6.0875,0.735790622,6.823290622,5.8515,0.971790622,6.823290622,6.8415,6.0895,0.733790622,6.823290622,6.8255,6.0785,0.744790622,6.823290622,6.9,5.5425,1.280790622,6.823290622,6.8315,5.904,0.919290622,6.823290622,6.82,5.85,0.973290622,6.823290622,6.82,7.1835,6.96,-0.136709378,6.823290622,,5.87,1.227645311,7.097645311,7.09,5.44,1.657645311,7.097645311,7.1,5.2885,1.809145311,7.097645311,7.0935,5.57,1.527645311,7.097645311,7.12,5.6045,1.493145311,7.097645311,7.113,5.82,1.277645311,7.097645311,7.1,6.53,0.567645311,7.097645311,7.09,6.17,0.927645311,7.097645311,7.1,6.335,6.799590529,6.799590529,6.920790622,6.17,0.629590529,6.799590529,6.920790622,6.79,,0.307645311,7.097645311,,,,,,6.2245,5.8345,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT12-075.2,UT12-075,girdiana,Drought,7,7.646,4.544872795,2.849127205,6.5835,0.492674559,6.7265,0.349674559,7.076174559,6.862,0.214174559,7.076174559,6.8585,0.217674559,7.076174559,6.882,,Dont Water Today,,6.742,-0.520563603,6.221436397,6.742,6.678,-0.456563603,6.221436397,6.678,6.53,-0.308563603,6.221436397,,6.45,-0.513476323,5.936523677,,6.4,-0.748389044,5.651610956,,,,5.651610956,5.651610956,,,5.651610956,5.651610956,,,5.651610956,5.651610956,,,5.651610956,5.651610956,,,5.651610956,5.651610956,,,5.651610956,5.651610956,,,5.651610956,5.651610956,,,5.651610956,5.651610956,,,5.366698236,5.366698236,,,5.247719592,5.247719592,5.366698236,,5.247719592,5.247719592,5.366698236,,,5.651610956,5.651610956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149.10,1149,treleasei,Control,8,7.062,4.185905293,2.624094707,5.736,0.801181059,5.776,0.761181059,6.537181059,5.9455,0.591681059,6.537181059,5.9015,0.635681059,6.537181059,5.6285,0.908681059,6.537181059,6.5445,5.933,0.604181059,6.537181059,6.5335,5.847,0.690181059,6.537181059,6.5355,5.4085,1.128681059,6.537181059,6.534,5.81,0.727181059,6.537181059,6.54,5.72,0.817181059,6.537181059,6.53,7.082,7.01,-0.472818941,6.537181059,,6.82,-0.020409471,6.799590529,,5.57,1.229590529,6.799590529,6.81,5.3765,1.423090529,6.799590529,6.803,5.64,1.159590529,6.799590529,6.8,5.5405,1.259090529,6.799590529,6.81,5.91,0.889590529,6.799590529,6.8,6.25,0.549590529,6.799590529,6.79,5.87,0.929590529,6.799590529,6.79,6.247,6.793821727,6.793821727,6.602181059,5.98,0.813821727,6.793821727,6.602181059,6.79,,0.009590529,6.799590529,,,,,,6.443,6.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9025.8,9025,cinerea,Control,9,7.474,4.439149489,2.782850511,6.143,0.774429898,6.441,0.476429898,6.917429898,6.65,0.267429898,6.917429898,6.6,0.317429898,6.917429898,6.5415,0.375929898,6.917429898,6.9285,6.6755,0.241929898,6.917429898,6.9235,6.688,0.229429898,6.917429898,6.918,6.4445,0.472929898,6.917429898,6.983,6.65,0.267429898,6.917429898,6.91,6.63,0.287429898,6.917429898,6.91,7.591,7.53,-0.612570102,6.917429898,,7.17,0.025714949,7.195714949,7.19,6.64,0.555714949,7.195714949,7.2,6.569,0.626714949,7.195714949,7.1965,6.66,0.535714949,7.195714949,7.19,6.603,0.592714949,7.195714949,7.206,7.05,0.145714949,7.195714949,7.19,7.22,-0.024285051,7.195714949,7.22,6.99,0.205714949,7.195714949,7.2,7.0145,6.893814299,6.893814299,6.949929898,6.97,-0.076185701,6.893814299,6.949929898,6.97,,0.225714949,7.195714949,,,,,,7.158,6.9135,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b42-34.6,b42-34,cinerea,Control,10,7.056,4.18221727,2.62178273,5.815,0.716643454,5.9525,0.579143454,6.531643454,6.1375,0.394143454,6.531643454,6.0105,0.521143454,6.531643454,5.8295,0.702143454,6.531643454,6.559,6.106,0.425643454,6.531643454,6.534,6.082,0.449643454,6.531643454,6.5385,5.726,0.805643454,6.531643454,6.5445,5.99,0.541643454,6.531643454,6.53,5.97,0.561643454,6.531643454,6.53,7.254,7.16,-0.628356546,6.531643454,,,6.793821727,6.793821727,,6.7,0.093821727,6.793821727,6.79,6.2995,0.494321727,6.793821727,6.6935,6.1,0.693821727,6.793821727,6.79,5.9285,0.865321727,6.793821727,6.8015,6.66,0.133821727,6.793821727,6.8,6.84,-0.046178273,6.793821727,6.84,6.46,0.333821727,6.793821727,6.79,6.0005,6.632105385,6.632105385,6.564143454,6.28,0.352105385,6.632105385,6.564143454,6.67,,0.123821727,6.793821727,,,,,,6.6015,6.3425,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2214.4.3,2214.4,bloodworthiana,Drought,11,7.16,4.24614299,2.66185701,6.1635,0.464128598,6.2375,0.390128598,6.627628598,6.3655,0.262128598,6.627628598,6.29,0.337628598,6.627628598,6.2185,,Dont Water Today,,5.9725,-0.143428505,5.829071495,5.9725,5.8065,0.022571495,5.829071495,5.8305,5.5045,0.324571495,5.829071495,5.8565,5.6,-0.037114206,5.562885794,,5.46,-0.163299907,5.296700093,,,5.27,0.026700093,5.296700093,5.29,5.18,0.116700093,5.296700093,5.3,5.09,0.206700093,5.296700093,5.32,5.088,0.208700093,5.296700093,5.299,5.11,0.186700093,5.296700093,5.33,5.1015,0.195200093,5.296700093,5.3065,5,0.296700093,5.296700093,5.29,5.06,0.236700093,5.296700093,5.06,4.91,0.120514392,5.030514392,5.03,4.8515,5.246336119,5.246336119,5.063014392,5.02,0.226336119,5.246336119,5.063014392,5.24,5.18,0.056700093,5.296700093,5.32,,,,,5.1555,5.0985,,,,,,,,,,,,,,,,,,,,,,,,,,,,
