"","ID","Genotype","Treatment","Date","LWP.area","species_geno","SWP.area","PD.area","WPType","WP"
"62","1149.8","1149","Control","11/01",12.91777778,"1149",NA,NA,"LWP",12
"63","1149.8","1149","Control","11/01",12.91777778,"1149",NA,NA,"PD",NA
"64","1149.8","1149","Control","11/16-17",59.50368056,"1149",NA,NA,"SWP",NA
"65","1149.8","1149","Control","11/16-17",59.50368056,"1149",NA,NA,"LWP",12
"66","1149.8","1149","Control","11/16-17",59.50368056,"1149",NA,NA,"PD",NA
"67","1149.8","1149","Control","12/01-02",66.04013889,"1149",NA,NA,"SWP",NA
"68","1149.8","1149","Control","12/01-02",66.04013889,"1149",NA,NA,"LWP",14.5
"69","1149.8","1149","Control","12/01-02",66.04013889,"1149",NA,NA,"PD",NA
"70","1149.8","1149","Control","12/11-18",44.46236111,"1149",40.03118056,55.21986111,"SWP",10.9
"71","1149.8","1149","Control","12/11-18",44.46236111,"1149",40.03118056,55.21986111,"LWP",12
"72","1149.8","1149","Control","12/11-18",44.46236111,"1149",40.03118056,55.21986111,"PD",7.4
"73","1149.9","1149","Control","11/9-11",21.61333333,"1149",NA,NA,"SWP",NA
"74","1149.9","1149","Control","11/9-11",21.61333333,"1149",NA,NA,"LWP",8.2
"75","1149.9","1149","Control","11/9-11",21.61333333,"1149",NA,NA,"PD",NA
"76","1149.9","1149","Control","11/16-17",50.97243056,"1149",NA,NA,"SWP",NA
"77","1149.9","1149","Control","11/16-17",50.97243056,"1149",NA,NA,"LWP",10.9
"78","1149.9","1149","Control","11/16-17",50.97243056,"1149",NA,NA,"PD",NA
"79","1149.9","1149","Control","12/01-02",64.18451389,"1149",NA,NA,"SWP",NA
"80","1149.9","1149","Control","12/01-02",64.18451389,"1149",NA,NA,"LWP",8
"81","1149.9","1149","Control","12/01-02",64.18451389,"1149",NA,NA,"PD",NA
"82","1149.9","1149","Control","12/11-18",52.10888889,"1149",46.00534722,37.21833333,"SWP",11.9
"83","1149.9","1149","Control","12/11-18",52.10888889,"1149",46.00534722,37.21833333,"LWP",10.5
"84","1149.9","1149","Control","12/11-18",52.10888889,"1149",46.00534722,37.21833333,"PD",6.9
"85","2214.4.1","2214.4","Drought","11/01",32.72944444,"2214.4",NA,NA,"SWP",NA
"86","2214.4.1","2214.4","Drought","11/01",32.72944444,"2214.4",NA,NA,"LWP",11.5
"87","2214.4.1","2214.4","Drought","11/01",32.72944444,"2214.4",NA,NA,"PD",NA
"88","2214.4.1","2214.4","Drought","11/16-17",30.85569444,"2214.4",NA,NA,"SWP",NA
"89","2214.4.1","2214.4","Drought","11/16-17",30.85569444,"2214.4",NA,NA,"LWP",11.9
"90","2214.4.1","2214.4","Drought","11/16-17",30.85569444,"2214.4",NA,NA,"PD",NA
"91","2214.4.1","2214.4","Drought","12/01-02",NA,"2214.4",NA,NA,"SWP",NA
"92","2214.4.1","2214.4","Drought","12/01-02",NA,"2214.4",NA,NA,"LWP",11.9
"93","2214.4.1","2214.4","Drought","12/01-02",NA,"2214.4",NA,NA,"PD",NA
"94","2214.4.10","2214.4","Control","11/9-11",11.21444444,"2214.4",NA,NA,"SWP",NA
"95","2214.4.10","2214.4","Control","11/9-11",11.21444444,"2214.4",NA,NA,"LWP",8.6
"96","2214.4.10","2214.4","Control","11/9-11",11.21444444,"2214.4",NA,NA,"PD",NA
"97","2214.4.10","2214.4","Control","11/16-17",24.92895833,"2214.4",NA,NA,"SWP",NA
"98","2214.4.10","2214.4","Control","11/16-17",24.92895833,"2214.4",NA,NA,"LWP",9.5
"99","2214.4.10","2214.4","Control","11/16-17",24.92895833,"2214.4",NA,NA,"PD",NA
"100","2214.4.10","2214.4","Control","12/01-02",46.68319444,"2214.4",NA,NA,"SWP",NA
"101","2214.4.10","2214.4","Control","12/01-02",46.68319444,"2214.4",NA,NA,"LWP",14.5
"102","2214.4.10","2214.4","Control","12/01-02",46.68319444,"2214.4",NA,NA,"PD",NA
"103","2214.4.10","2214.4","Control","12/11-18",47.69208333,"2214.4",55.95263889,53.28826389,"SWP",11.4
"104","2214.4.10","2214.4","Control","12/11-18",47.69208333,"2214.4",55.95263889,53.28826389,"LWP",12
"105","2214.4.10","2214.4","Control","12/11-18",47.69208333,"2214.4",55.95263889,53.28826389,"PD",6.9
"106","2214.4.2","2214.4","Drought","11/9-11",14.73611111,"2214.4",NA,NA,"SWP",NA
"107","2214.4.2","2214.4","Drought","11/9-11",14.73611111,"2214.4",NA,NA,"LWP",12
"108","2214.4.2","2214.4","Drought","11/9-11",14.73611111,"2214.4",NA,NA,"PD",NA
"109","2214.4.2","2214.4","Drought","11/16-17",44.96659722,"2214.4",NA,NA,"SWP",NA
"110","2214.4.2","2214.4","Drought","11/16-17",44.96659722,"2214.4",NA,NA,"LWP",8.4
"111","2214.4.2","2214.4","Drought","11/16-17",44.96659722,"2214.4",NA,NA,"PD",NA
"112","2214.4.2","2214.4","Drought","12/01-02",34.84548611,"2214.4",NA,NA,"SWP",NA
"113","2214.4.2","2214.4","Drought","12/01-02",34.84548611,"2214.4",NA,NA,"LWP",13.5
"114","2214.4.2","2214.4","Drought","12/01-02",34.84548611,"2214.4",NA,NA,"PD",NA
"115","2214.4.3","2214.4","Drought","11/9-11",12.20694444,"2214.4",NA,NA,"SWP",NA
"116","2214.4.3","2214.4","Drought","11/9-11",12.20694444,"2214.4",NA,NA,"LWP",7.6
"117","2214.4.3","2214.4","Drought","11/9-11",12.20694444,"2214.4",NA,NA,"PD",NA
"118","2214.4.3","2214.4","Drought","11/16-17",25.19708333,"2214.4",NA,NA,"SWP",NA
"119","2214.4.3","2214.4","Drought","11/16-17",25.19708333,"2214.4",NA,NA,"LWP",11.8
"120","2214.4.3","2214.4","Drought","11/16-17",25.19708333,"2214.4",NA,NA,"PD",NA
"121","2214.4.3","2214.4","Drought","12/01-02",21.56444444,"2214.4",NA,NA,"SWP",NA
"122","2214.4.3","2214.4","Drought","12/01-02",21.56444444,"2214.4",NA,NA,"LWP",14.5
"123","2214.4.3","2214.4","Drought","12/01-02",21.56444444,"2214.4",NA,NA,"PD",NA
"124","2214.4.3","2214.4","Drought","12/11-18",NA,"2214.4",26.14618056,42.93291667,"SWP",13.5
"125","2214.4.3","2214.4","Drought","12/11-18",NA,"2214.4",26.14618056,42.93291667,"LWP",12.6
"126","2214.4.3","2214.4","Drought","12/11-18",NA,"2214.4",26.14618056,42.93291667,"PD",5.2
"127","2214.4.4","2214.4","Drought","11/01",5.886944444,"2214.4",NA,NA,"SWP",NA
"128","2214.4.4","2214.4","Drought","11/01",5.886944444,"2214.4",NA,NA,"LWP",9.6
"129","2214.4.4","2214.4","Drought","11/01",5.886944444,"2214.4",NA,NA,"PD",NA
"130","2214.4.4","2214.4","Drought","11/16-17",19.23388889,"2214.4",NA,NA,"SWP",NA
"131","2214.4.4","2214.4","Drought","11/16-17",19.23388889,"2214.4",NA,NA,"LWP",10
"132","2214.4.4","2214.4","Drought","11/16-17",19.23388889,"2214.4",NA,NA,"PD",NA
"133","2214.4.4","2214.4","Drought","12/11-18",NA,"2214.4",23.94770833,26.8525,"SWP",11.6
"134","2214.4.4","2214.4","Drought","12/11-18",NA,"2214.4",23.94770833,26.8525,"LWP",10.5
"135","2214.4.4","2214.4","Drought","12/11-18",NA,"2214.4",23.94770833,26.8525,"PD",8.9
"136","2214.4.4","2214.4","Drought","12/11-18",26.69034722,"2214.4",23.94770833,26.8525,"SWP",11.6
"137","2214.4.4","2214.4","Drought","12/11-18",26.69034722,"2214.4",23.94770833,26.8525,"LWP",10.5
"138","2214.4.4","2214.4","Drought","12/11-18",26.69034722,"2214.4",23.94770833,26.8525,"PD",8.9
"139","2214.4.5","2214.4","Drought","11/9-11",10.00861111,"2214.4",NA,NA,"SWP",NA
"140","2214.4.5","2214.4","Drought","11/9-11",10.00861111,"2214.4",NA,NA,"LWP",8.4
"141","2214.4.5","2214.4","Drought","11/9-11",10.00861111,"2214.4",NA,NA,"PD",NA
"142","2214.4.5","2214.4","Drought","11/16-17",33.873125,"2214.4",NA,NA,"SWP",NA
