"Date","Treatment","Genotype","mean_value_gsw","sem_gsw","p_value_gsw","mean_value_A","sem_A","p_value_A","mean_value_E","sem_E","p_value_E","mean_value_intrWUE_AE","sem_intrWUE_AE","p_value_intrWUE_AE","mean_value_instWUE_AGs","sem_instWUE_AGs","p_value_instWUE_AGs"
"12-08","Control","NY1",0.13216473199788,0.0193421712099973,0.000213889976559963,11.9312610066965,1.19442951371782,1.81797204967291e-05,0.00367752192249715,0.000510221379685471,0.000341542228542186,103.479216198441,11.9162590746469,0.0297873453122015,3894.83727987514,591.821849566319,0.821669756640696
"12-08","Control","T48",0.205992392200655,0.044479259912345,0.00144894722387351,13.6123319827625,1.23916179490601,1.31085946937916e-06,0.00515788480819787,0.000735876591693138,9.17183169266454e-05,85.8885027553625,12.6414151492658,0.029205629672591,3311.97840989758,640.041659545555,0.00647311705801285
"12-08","Control","T52",0.0958795873314196,0.0177198692373332,0.00314169729391372,8.47601400774783,1.00637167813861,0.00362328256167589,0.00328642205726701,0.000310911276749847,3.57730135678862e-05,95.2452938342178,5.03612878154779,0.130064795650846,2579.11066618232,220.189526330137,0.132998559476505
"12-08","Control","TXNM0821",0.0881004891744573,0.012577338758247,0.0204547219302778,9.12163856717939,0.903900218317982,0.00244379701658068,0.0030628223300702,0.000376703177499515,0.0307117873479125,109.964950274025,7.97794319888104,0.187919624026286,3348.55473967207,519.211905517872,0.711860994136122
"12-08","Control","V60-96",0.117234409180007,0.0220548850762577,0.00264435469306686,10.2907571869219,1.30443223315216,0.00033435534821098,0.00361439492311084,0.000416696623353472,8.81383243528926e-05,98.8780161468873,7.78285277692661,0.868583431885835,2970.68263119555,382.727991850618,0.787716627678311
"12-08","Control","Vru42",0.131711831938617,0.0164505878520685,4.08998239892346e-05,11.9569011840967,0.714332733134175,8.85458960515988e-10,0.00470087348224217,0.000596183951145688,5.3177363004761e-05,104.545569770165,16.2788972647031,0.00834136118024575,3802.50595384493,1185.22756207547,0.0444294429923793
"12-08","Control","b40-14",0.0297372269158239,0.0041401225988313,0.0361464226762468,3.87497014302802,0.588621073699501,0.0628771508436966,0.00137876747452386,0.00017009659538674,0.0916962909826762,127.626691281613,5.96077042790282,0.0303980226430932,2762.98806497058,164.53447803652,0.0244889379045502
"12-08","Control","b42-34",0.143307022189787,0.0144751536716628,6.89920326052744e-06,11.4120305553548,0.779421250331548,2.16652778554238e-08,0.0055970593737628,0.000596535862908063,1.43757451167596e-05,82.5918068438768,3.82765982409458,0.476068911411889,2142.89726625091,148.864790341363,0.386043937643817
"12-08","Drought","9018",0.0310594387907443,0.00787311156697041,7.82775690870295e-05,1.82904158074851,2.30692304960284,0.00266267933282328,0.00147761134033506,0.000469809245750429,0.000215325010071545,100.414101801638,66.6460134870876,0.879779809925392,3617.63864466324,1843.03946122049,0.576907890344936
"12-08","Drought","NY1",0.0290143464621445,0.00445299023308199,0.000213889976559963,3.88585032721998,0.523724750375096,1.81797204967291e-05,0.00110630891243319,0.00012990938518981,0.000341542228542186,143.190066731667,12.0633432143444,0.0297873453122015,3729.74054663009,414.151106936281,0.821669756640696
"12-08","Drought","T48",0.00501197431370218,0.000831985594221466,0.00144894722387351,0.136772405805192,0.198690335178026,1.31085946937916e-06,0.000258853876006744,3.6276293733014e-05,9.17183169266454e-05,-18.5673317401345,38.8515721535585,0.029205629672591,-188.687704957179,900.877368743524,0.00647311705801285
"12-08","Drought","T52",0.0239122138016632,0.00953969221148427,0.00314169729391372,2.79683089227812,1.31668592042626,0.00362328256167589,0.000923219433677504,0.000291717191613417,3.57730135678862e-05,36.3712132057887,34.6937711267052,0.130064795650846,1041.44881751278,904.031321303548,0.132998559476505
"12-08","Drought","TXNM0821",0.0422956865288807,0.0129056960870514,0.0204547219302778,4.59986177533602,0.912569348698725,0.00244379701658068,0.00165303229785944,0.000465781374984969,0.0307117873479125,133.144203761106,14.711865061146,0.187919624026286,3675.51646240613,698.302001639863,0.711860994136122
"12-08","Drought","V60-96",0.0272762046367967,0.0052982358444948,0.00264435469306686,3.22314463206627,0.759172786245644,0.00033435534821098,0.00100799521212793,0.000175521691912055,8.81383243528926e-05,94.2644253671824,25.9949763241695,0.868583431885835,2690.87053205052,938.122494106653,0.787716627678311
"12-08","Drought","Vru42",0.0174099750447908,0.00524181237797902,4.08998239892346e-05,0.975618455696787,0.570652797595746,8.85458960515988e-10,0.00066626735618039,0.000181741988114885,5.3177363004761e-05,33.5335641661626,17.5738312201886,0.00834136118024575,948.24139900082,440.409046131625,0.0444294429923793
"12-08","Drought","b40-14",0.00985868367643408,0.00710039903320254,0.0361464226762468,-4.21242237179925,3.54116150776646,0.0628771508436966,0.000540351190426318,0.000404320103577713,0.0916962909826762,-326.289093138296,161.043767570799,0.0303980226430932,-6451.37009584562,3088.33926598993,0.0244889379045502
"12-08","Drought","b42-34",0.0159454049749329,0.00314250808946326,6.89920326052744e-06,1.56678891738665,0.459379313920485,2.16652778554238e-08,0.00075456847937087,0.000122735936602254,1.43757451167596e-05,67.8092618430373,19.5692515275027,0.476068911411889,1616.65833949898,561.858220313842,0.386043937643817
