"Species","species_geno","Genotype","Treatment","Airspace_V","MS_V","MP_V","M_SP_V","M_SPA_V","Porosity","MSV_by_TMV","MPV_by_TMV","MSV_by_MPV","mean_Airspace_V.x","sem_Airspace_V.x","mean_MS_V.x","sem_MS_V.x","mean_MP_V.x","sem_MP_V.x","mean_M_SP_V.x","sem_M_SP_V.x","mean_M_SPA_V.x","sem_M_SPA_V.x","mean_MSV_by_TMV.x","sem_MSV_by_TMV.x","mean_MPV_by_TMV.x","sem_MPV_by_TMV.x","mean_MSV_by_MPV.x","sem_MSV_by_MPV.x","p_value_MS_V.x","p_value_MP_V.x","p_value_M_SP_V.x","p_value_M_SPA_V.x","p_value_MSV_by_TMV.x","p_value_MPV_by_TMV.x","p_value_MSV_by_MPV.x","mean_Airspace_V.y","sem_Airspace_V.y","mean_MS_V.y","sem_MS_V.y","mean_MP_V.y","sem_MP_V.y","mean_M_SP_V.y","sem_M_SP_V.y","mean_M_SPA_V.y","sem_M_SPA_V.y","mean_MSV_by_TMV.y","sem_MSV_by_TMV.y","mean_MPV_by_TMV.y","sem_MPV_by_TMV.y","mean_MSV_by_MPV.y","sem_MSV_by_MPV.y","p_value_MS_V.y","p_value_MP_V.y","p_value_M_SP_V.y","p_value_M_SPA_V.y","p_value_MSV_by_TMV.y","p_value_MPV_by_TMV.y","p_value_MSV_by_MPV.y"
"acerifolia","acerifolia_9018","9018","Control",52982.27656,42709.7062,28967.9182,71677.6244,124659.901,0.4250145889,0.3426098198,0.2323755913,1.47437955,71049.8164366667,9590.95831113758,61694.95354,10645.7657718595,44494.9312166667,7788.89970249862,106189.884733333,18095.5284704035,177239.7012,27682.2513969102,0.346628106866667,0.00905344077940719,0.2493046657,0.0115724486026918,1.39778300433333,0.0849844830644759,0.339286083076671,0.219702416672482,0.992476103849758,0.844466445367718,0.00262502843695086,0.0177386600755069,0.00873882488808912,71049.8164366667,9590.95831113758,61694.95354,10645.7657718595,44494.9312166667,7788.89970249862,106189.884733333,18095.5284704035,177239.7012,27682.2513969102,0.346628106866667,0.00905344077940719,0.2493046657,0.0115724486026918,1.39778300433333,0.0849844830644759,0.339286083076671,0.219702416672482,0.992476103849758,0.844466445367718,0.00262502843695086,0.0177386600755069,0.00873882488808912
"acerifolia","acerifolia_9018","9018","Control",74503.94068,62840.8848,51169.96365,114010.8484,188514.7891,0.3952153623,0.3333472407,0.271437397,1.228081482,71049.8164366667,9590.95831113758,61694.95354,10645.7657718595,44494.9312166667,7788.89970249862,106189.884733333,18095.5284704035,177239.7012,27682.2513969102,0.346628106866667,0.00905344077940719,0.2493046657,0.0115724486026918,1.39778300433333,0.0849844830644759,0.339286083076671,0.219702416672482,0.992476103849758,0.844466445367718,0.00262502843695086,0.0177386600755069,0.00873882488808912,71049.8164366667,9590.95831113758,61694.95354,10645.7657718595,44494.9312166667,7788.89970249862,106189.884733333,18095.5284704035,177239.7012,27682.2513969102,0.346628106866667,0.00905344077940719,0.2493046657,0.0115724486026918,1.39778300433333,0.0849844830644759,0.339286083076671,0.219702416672482,0.992476103849758,0.844466445367718,0.00262502843695086,0.0177386600755069,0.00873882488808912
"acerifolia","acerifolia_9018","9018","Control",85663.23207,79534.26962,53346.9118,132881.1814,218544.4135,0.3919717311,0.3639272601,0.2441010088,1.490887981,71049.8164366667,9590.95831113758,61694.95354,10645.7657718595,44494.9312166667,7788.89970249862,106189.884733333,18095.5284704035,177239.7012,27682.2513969102,0.346628106866667,0.00905344077940719,0.2493046657,0.0115724486026918,1.39778300433333,0.0849844830644759,0.339286083076671,0.219702416672482,0.992476103849758,0.844466445367718,0.00262502843695086,0.0177386600755069,0.00873882488808912,71049.8164366667,9590.95831113758,61694.95354,10645.7657718595,44494.9312166667,7788.89970249862,106189.884733333,18095.5284704035,177239.7012,27682.2513969102,0.346628106866667,0.00905344077940719,0.2493046657,0.0115724486026918,1.39778300433333,0.0849844830644759,0.339286083076671,0.219702416672482,0.992476103849758,0.844466445367718,0.00262502843695086,0.0177386600755069,0.00873882488808912
"acerifolia","acerifolia_9018","9018","Drought",71296.4863,44675.06719,51630.50978,96305.57697,167602.0633,0.4253914595,0.2665543987,0.3080541419,0.8652842551,77147.1910975,4061.09578338118,48464.9581025,2064.42613460914,57920.237915,3139.84811037245,106385.1959925,4091.82289044773,183532.387125,7669.89487188439,0.264858423975,0.0116212799487382,0.315154602875,0.00471745666501412,0.842384597575,0.0472458268783274,0.339286083076671,0.219702416672482,0.992476103849758,0.844466445367718,0.00262502843695086,0.0177386600755069,0.00873882488808912,77147.1910975,4061.09578338118,48464.9581025,2064.42613460914,57920.237915,3139.84811037245,106385.1959925,4091.82289044773,183532.387125,7669.89487188439,0.264858423975,0.0116212799487382,0.315154602875,0.00471745666501412,0.842384597575,0.0472458268783274,0.339286083076671,0.219702416672482,0.992476103849758,0.844466445367718,0.00262502843695086,0.0177386600755069,0.00873882488808912
"acerifolia","acerifolia_9018","9018","Drought",88703.17112,46850.83488,66303.20977,113154.0446,201857.2158,0.4394352255,0.2320988858,0.3284658887,0.706614884,77147.1910975,4061.09578338118,48464.9581025,2064.42613460914,57920.237915,3139.84811037245,106385.1959925,4091.82289044773,183532.387125,7669.89487188439,0.264858423975,0.0116212799487382,0.315154602875,0.00471745666501412,0.842384597575,0.0472458268783274,0.339286083076671,0.219702416672482,0.992476103849758,0.844466445367718,0.00262502843695086,0.0177386600755069,0.00873882488808912,77147.1910975,4061.09578338118,48464.9581025,2064.42613460914,57920.237915,3139.84811037245,106385.1959925,4091.82289044773,183532.387125,7669.89487188439,0.264858423975,0.0116212799487382,0.315154602875,0.00471745666501412,0.842384597575,0.0472458268783274,0.339286083076671,0.219702416672482,0.992476103849758,0.844466445367718,0.00262502843695086,0.0177386600755069,0.00873882488808912
"acerifolia","acerifolia_9018","9018","Drought",76927.37364,54295.21643,58645.3415,112940.5579,189867.9316,0.4051625412,0.2859630691,0.3088743897,0.9258231779,77147.1910975,4061.09578338118,48464.9581025,2064.42613460914,57920.237915,3139.84811037245,106385.1959925,4091.82289044773,183532.387125,7669.89487188439,0.264858423975,0.0116212799487382,0.315154602875,0.00471745666501412,0.842384597575,0.0472458268783274,0.339286083076671,0.219702416672482,0.992476103849758,0.844466445367718,0.00262502843695086,0.0177386600755069,0.00873882488808912,77147.1910975,4061.09578338118,48464.9581025,2064.42613460914,57920.237915,3139.84811037245,106385.1959925,4091.82289044773,183532.387125,7669.89487188439,0.264858423975,0.0116212799487382,0.315154602875,0.00471745666501412,0.842384597575,0.0472458268783274,0.339286083076671,0.219702416672482,0.992476103849758,0.844466445367718,0.00262502843695086,0.0177386600755069,0.00873882488808912
"acerifolia","acerifolia_9018","9018","Drought",71661.73333,48038.71391,55101.89061,103140.6045,174802.3378,0.4099586665,0.2748173423,0.3152239912,0.8718160733,77147.1910975,4061.09578338118,48464.9581025,2064.42613460914,57920.237915,3139.84811037245,106385.1959925,4091.82289044773,183532.387125,7669.89487188439,0.264858423975,0.0116212799487382,0.315154602875,0.00471745666501412,0.842384597575,0.0472458268783274,0.339286083076671,0.219702416672482,0.992476103849758,0.844466445367718,0.00262502843695086,0.0177386600755069,0.00873882488808912,77147.1910975,4061.09578338118,48464.9581025,2064.42613460914,57920.237915,3139.84811037245,106385.1959925,4091.82289044773,183532.387125,7669.89487188439,0.264858423975,0.0116212799487382,0.315154602875,0.00471745666501412,0.842384597575,0.0472458268783274,0.339286083076671,0.219702416672482,0.992476103849758,0.844466445367718,0.00262502843695086,0.0177386600755069,0.00873882488808912
"aestivalis","aestivalis_T52","T52","Control",26457.74599,47176.49281,39525.50706,86701.99987,113159.7459,0.2338088142,0.4169017211,0.3492894647,1.193570844,28805.5465925,1107.17713666872,49981.2066675,1262.66835298651,45705.53075,2448.95470093901,95686.73741,3223.62647038155,124492.284,4179.57358585798,0.402020209375,0.0077358161063858,0.366610758525,0.0104883405244138,1.100994536775,0.0516702235365907,0.100714503521173,0.615515981829064,0.597948400580989,0.620142687684073,0.00805186753476986,0.0443801506013862,0.0261534457877823,28805.5465925,1107.17713666872,49981.2066675,1262.66835298651,45705.53075,2448.95470093901,95686.73741,3223.62647038155,124492.284,4179.57358585798,0.402020209375,0.0077358161063858,0.366610758525,0.0104883405244138,1.100994536775,0.0516702235365907,0.100714503521173,0.615515981829064,0.597948400580989,0.620142687684073,0.00805186753476986,0.0443801506013862,0.0261534457877823
"aestivalis","aestivalis_T52","T52","Control",31083.76356,53170.69043,44982.98942,98153.67985,129237.4434,0.2405167012,0.4114186186,0.3480646803,1.182017717,28805.5465925,1107.17713666872,49981.2066675,1262.66835298651,45705.53075,2448.95470093901,95686.73741,3223.62647038155,124492.284,4179.57358585798,0.402020209375,0.0077358161063858,0.366610758525,0.0104883405244138,1.100994536775,0.0516702235365907,0.100714503521173,0.615515981829064,0.597948400580989,0.620142687684073,0.00805186753476986,0.0443801506013862,0.0261534457877823,28805.5465925,1107.17713666872,49981.2066675,1262.66835298651,45705.53075,2448.95470093901,95686.73741,3223.62647038155,124492.284,4179.57358585798,0.402020209375,0.0077358161063858,0.366610758525,0.0104883405244138,1.100994536775,0.0516702235365907,0.100714503521173,0.615515981829064,0.597948400580989,0.620142687684073,0.00805186753476986,0.0443801506013862,0.0261534457877823
"aestivalis","aestivalis_T52","T52","Control",30255.47681,50502.51843,51328.34369,101830.8621,132086.3389,0.2290583345,0.3823447515,0.388596914,0.9839109311,28805.5465925,1107.17713666872,49981.2066675,1262.66835298651,45705.53075,2448.95470093901,95686.73741,3223.62647038155,124492.284,4179.57358585798,0.402020209375,0.0077358161063858,0.366610758525,0.0104883405244138,1.100994536775,0.0516702235365907,0.100714503521173,0.615515981829064,0.597948400580989,0.620142687684073,0.00805186753476986,0.0443801506013862,0.0261534457877823,28805.5465925,1107.17713666872,49981.2066675,1262.66835298651,45705.53075,2448.95470093901,95686.73741,3223.62647038155,124492.284,4179.57358585798,0.402020209375,0.0077358161063858,0.366610758525,0.0104883405244138,1.100994536775,0.0516702235365907,0.100714503521173,0.615515981829064,0.597948400580989,0.620142687684073,0.00805186753476986,0.0443801506013862,0.0261534457877823
