"species_geno","Treatment","Species","Genotype","mean_Airspace_V","sem_Airspace_V","mean_MS_V","sem_MS_V","mean_MP_V","sem_MP_V","mean_M_SP_V","sem_M_SP_V","mean_M_SPA_V","sem_M_SPA_V","mean_MSV_by_TMV","sem_MSV_by_TMV","mean_MPV_by_TMV","sem_MPV_by_TMV","mean_MSV_by_MPV","sem_MSV_by_MPV","p_value_MS_V","p_value_MP_V","p_value_M_SP_V","p_value_M_SPA_V","p_value_MSV_by_TMV","p_value_MPV_by_TMV","p_value_MSV_by_MPV"
"acerifolia_9018","Control","acerifolia","9018",71049.8164366667,9590.95831113758,61694.95354,10645.7657718595,44494.9312166667,7788.89970249862,106189.884733333,18095.5284704035,177239.7012,27682.2513969102,0.346628106866667,0.00905344077940719,0.2493046657,0.0115724486026918,1.39778300433333,0.0849844830644759,0.339286083076671,0.219702416672482,0.992476103849758,0.844466445367718,0.00262502843695086,0.0177386600755069,0.00873882488808912
"acerifolia_9018","Drought","acerifolia","9018",77147.1910975,4061.09578338118,48464.9581025,2064.42613460914,57920.237915,3139.84811037245,106385.1959925,4091.82289044773,183532.387125,7669.89487188439,0.264858423975,0.0116212799487382,0.315154602875,0.00471745666501412,0.842384597575,0.0472458268783274,0.339286083076671,0.219702416672482,0.992476103849758,0.844466445367718,0.00262502843695086,0.0177386600755069,0.00873882488808912
"aestivalis_T52","Control","aestivalis","T52",28805.5465925,1107.17713666872,49981.2066675,1262.66835298651,45705.53075,2448.95470093901,95686.73741,3223.62647038155,124492.284,4179.57358585798,0.402020209375,0.0077358161063858,0.366610758525,0.0104883405244138,1.100994536775,0.0516702235365907,0.100714503521173,0.615515981829064,0.597948400580989,0.620142687684073,0.00805186753476986,0.0443801506013862,0.0261534457877823
"aestivalis_T52","Drought","aestivalis","T52",28011.0914775,2559.6634942429,43361.935055,2874.30097827714,48121.3756475,3801.22818589766,91483.310705,6656.02662679358,119494.4021525,8403.36277464485,0.363326737925,0.00538080154154531,0.402072384775,0.00915892724904944,0.904532164775,0.0175597321404168,0.100714503521173,0.615515981829064,0.597948400580989,0.620142687684073,0.00805186753476986,0.0443801506013862,0.0261534457877823
"arizonica_b40-14","Control","arizonica","b40-14",37889.7267666667,905.312754063835,43090.04943,1796.38468143777,45999.4247066667,3932.61960512837,89089.4741333333,5431.05649974309,126979.200933333,6336.32047546858,0.3397622516,0.00803402778774995,0.361102583333333,0.0134733757144169,0.945004918266667,0.0564059908834485,0.107134140334588,0.331272206450544,0.191138717796599,0.219138238456396,0.246380091559459,0.926679270626362,0.522341232032531
"arizonica_b40-14","Drought","arizonica","b40-14",33510.5418725,4019.1452591888,34351.7387375,3864.01957146192,39012.7559925,5166.38156162166,73364.4947275,8758.50282166405,106875.0365925,12476.8705444962,0.322439677,0.0104639798384483,0.3629283124,0.0131405001037135,0.8930628392,0.0492904265704259,0.107134140334588,0.331272206450544,0.191138717796599,0.219138238456396,0.246380091559459,0.926679270626362,0.522341232032531
"cinerea_b42-34","Control","cinerea","b42-34",45862.434575,5805.40256283638,43567.9686825,4067.88642770456,33004.617135,3950.96058604338,76572.5858175,7933.04958814863,122435.0204025,13244.9776353628,0.359076179775,0.0146942223197406,0.268656998625,0.00674602423252388,1.33923814125,0.0662490754899344,0.0639028149081169,0.189036610531193,0.093823532929127,0.478711390361712,0.011708836128011,0.0125862607877304,0.295809098735278
"cinerea_b42-34","Drought","cinerea","b42-34",35000.939775,1417.55206140218,58864.9447475,5264.20126769188,40864.3128125,3528.90160406654,99729.25757,8505.63196832702,134730.197325,9248.96550533542,0.435156746775,0.0153680329107931,0.302231025875,0.00675988221973392,1.44197795525,0.0604077683890912,0.0639028149081169,0.189036610531193,0.093823532929127,0.478711390361712,0.011708836128011,0.0125862607877304,0.295809098735278
"mustangensis_T48","Control","mustangensis","T48",39991.890025,1802.21362328879,29277.2936175,3997.82700214187,37477.083835,4346.64961368566,66754.37745,8200.31831772552,106746.2674875,9958.36171658704,0.2716553969,0.0132265313503786,0.3491140131,0.00979296335791431,0.780077287,0.0440023996358914,0.186783856998637,0.123698289989593,0.145513976056066,0.102971470315377,0.84698565040715,0.789631221967322,0.99722427294171
"mustangensis_T48","Drought","mustangensis","T48",30179.2940225,4435.46601775451,22043.48343,2557.07990462528,28052.3260175,2643.22288568317,50095.8094425,5156.29778940809,80275.1034625,9505.90341537143,0.2747854518,0.00785768732409006,0.3531153672,0.0104756994126519,0.780275741775,0.0321945374784978,0.186783856998637,0.123698289989593,0.145513976056066,0.102971470315377,0.84698565040715,0.789631221967322,0.99722427294171
"riparia_TXNM0821","Control","riparia","TXNM0821",123320.2846525,19613.1935996121,73447.47682,8744.48512975141,69030.5451925,9857.40857245151,142478.022025,18461.9466930119,265798.306675,37985.3711771375,0.279385453175,0.0106676961681819,0.259931677325,0.00357108515486954,1.07593102175,0.047282517649775,0.22872495374865,0.324374719330347,0.972157088158453,0.958910899445095,0.0068914838480873,0.0625874531087052,0.00381508844191241
"riparia_TXNM0821","Drought","riparia","TXNM0821",124903.221775,11255.080687949,59838.6344925,4238.7683244477,83455.2385175,9123.98588480939,143293.873,12502.9575074783,268197.094775,22703.1186805811,0.22398179615,0.00664674181259921,0.3103227956,0.0177052982645465,0.730981370975,0.0570978108720651,0.22872495374865,0.324374719330347,0.972157088158453,0.958910899445095,0.0068914838480873,0.0625874531087052,0.00381508844191241
"rupestris_Vru42","Control","rupestris","Vru42",91720.7736125,3800.73535513599,104583.98723,3204.84500216101,90852.1827575,6341.59445235226,195436.17,9043.24372734121,287156.9436,12226.1007077011,0.364900860775,0.0065738999554238,0.31542050355,0.0110313260017964,1.1628739455,0.0586180437740607,0.0156714582427616,0.842098360501609,0.2429544533631,0.0759486707079123,0.0510903522827644,0.172436968315888,0.0763643213862881
"rupestris_Vru42","Drought","rupestris","Vru42",76427.6633225,1783.91266555994,87144.77458,4011.48705882082,88675.273505,8286.30086720701,175820.048075,11998.2257279427,252247.711425,10687.5051040816,0.345351446375,0.00347998372753299,0.34942542615,0.0182485498097055,0.996189748825,0.050934532536292,0.0156714582427616,0.842098360501609,0.2429544533631,0.0759486707079123,0.0510903522827644,0.172436968315888,0.0763643213862881
