"","ID","Genotype","Species","Treatment","TotalLeafArea"
"97","T48.1","T48","mustangensis","Drought",797.84
"98","Vru42.2","Vru42","rupestris","Drought",1315.46
"99","9035.1","9035","berlandieri","Drought",1090.43
"100","OCK1-S02.6","OCK1-S02","acerifolia","Control",13333.72393
"101","UT12-075.3","UT12-075","girdiana","Drought",135.71
"102","TX6704.8","TX6704","monticola","Control",7799.309781
"103","9025.7","9025","cinerea","Control",5462.924926
"104","C56-94.10","C56-94","rotundifolia var. munsoniana","Control",7856.227448
"105","Haines.8","Haines","shuttleworthii","Control",3621.5214
"106","9018.9","9018","acerifolia","Control",7502.01863
"107","NY1.4","NY1","riparia","Drought",1366.19
"108","9031.1","9031","berlandieri","Drought",419.28
"109","T52.8","T52","aestivalis","Control",9182.839267
"110","Haines2.4","Hanes2","shuttleworthii","Control",9185.286655
"111","TX6704.2","TX6704","monticola","Drought",757.7
"112","9025.1","9025","cinerea","Drought",750.6
"113","SC2.1","SC2","girdiana","Control",3489.051484
"114","Haines.3","Haines","shuttleworthii","Drought",152.28
"115","588155.01.6","588155.01","palmata","Control",5425.403642
"116","2214.4.7","2214.4","bloodworthiana","Control",7454.372749
"117","TXNM0821.5","TXNM0821","riparia","Control",5713.422256
"118","NY1.10","NY1","riparia","Control",7682.946288
"119","OCK1-S02.3","OCK1-S02","acerifolia","Drought",2715.63473
"120","588155.01.5","588155.01","palmata","Drought",1430.88
"121","1149.1","1149","treleasei","Drought",1257.59
"122","CC12.4","CC12","californica","Drought",1767.69991
"123","UT12-075.5","UT12-075","girdiana","Drought",1313.64
"124","b40-14.5","b40-14","arizonica","Drought",2702.946494
"125","ANU65.6","ANU65","arizonica","Control",12760.32493
"126","Vru42.3","Vru42","rupestris","Drought",2096.875459
"127","T48.10","T48","mustangensis","Control",4996.110979
"128","2970.6","2970","popenoi","Drought",1373.66
"129","UT12-075.9","UT12-075","girdiana","Control",5853.893224
"130","CC12.7","CC12","californica","Control",9546.887732
"131","9018.1","9018","acerifolia","Drought",1124.29
"132","V57-96.3","V57-96","vulpina","Drought",443.86
"133","T48.3","T48","mustangensis","Drought",1041.42
"134","1149.6","1149","treleasei","Control",8710.341369
"135","T52.5","T52","aestivalis","Drought",498.04
"136","255189.01.4","255189.01","riparia","Drought",1176.7
"137","b42-24.8","b42-24","peninsularis","Control",10352.95625
"138","TXNM0821.1","TXNM0821","riparia","Drought",1193.22
"139","9035.9","9035","berlandieri","Control",5824.334737
"140","b42-24.2","b42-24","peninsularis","Drought",2686.21875
"141","TXNM0821.8","TXNM0821","riparia","Drought",2165.060221
"142","OCK1-S02.9","OCK1-S02","acerifolia","Control",13219.33492
"143","b42-34.7","b42-34","cinerea","Control",5261.433604
"144","Vru42.9","Vru42","rupestris","Control",8751.353116
"145","2214.4.2","2214.4","bloodworthiana","Drought",1048.61
"146","V57-96.9","V57-96","vulpina","Control",2012.78
"147","b40-14.7","b40-14","arizonica","Control",15310.79234
"148","ANU65.4","ANU65","arizonica","Drought",1810.43
"149","9031.6","9031","berlandieri","Control",2778.592627
"150","TX6704.7","TX6704","monticola","Control",9292.593333
"151","V60-96.9","V60-96","vulpina","Control",7065.503614
