ID,Genotype,Treatment,Date,LWP,SWP,PD,LWP.area,SWP.area,PD.area
CC12.6,CC12,Control,11.1,11,,,,,
Haines2.5,Hanes2,Drought,11.1,10,,,,,
Haines2.6,Hanes2,Control,11.1,10,,,,,
Haines2.8,Hanes2,Control,11.1,10,,,,,
NY1.2,NY1,Drought,11.1,12,,,,,
NY1.8,NY1,Control,11.1,12,,,,,
OCK1-S02.1,OCK1-S02,Drought,11.1,13,,,,,
OCK1-S02.6,OCK1-S02,Control,11.1,11,,,,,
SC2.4,SC2,Drought,11.1,11,,,,,
SC2.8,SC2,Control,11.1,9,,,,,
T48.1,T48,Drought,11.1,10,,,,,
T52.10,T52,Control,11.1,10,,,,,
T52.4,T52,Drought,11.1,12,,,,,
TX6704.5,TX6704,Drought,11.1,14,,,,,
TX6704.8,TX6704,Control,11.1,11,,,,,
TXNM0821.2,TXNM0821,Drought,11.1,11,,,,,
TXNM0821.9,TXNM0821,Control,11.1,10,,,,,
UT12-075.3,UT12-075,Drought,11.1,9,,,,,
UT12-075.8,UT12-075,Control,11.1,12,,,,,
V57-96.8,V57-96,Control,11.1,14,,,,,
Vru42.2,Vru42,Drought,11.1,12,,,,,
1149.1,1149,Drought,11.11,9,,,,,
1149.6,1149,Control,11.11,10,,,,,
2214.4.2,2214.4,Drought,11.11,12,,,,,
2214.4.7,2214.4,Control,11.11,10,,,,,
255189.01.4,255189.01,Drought,11.11,7,,,,,
255189.01.6,255189.01,Control,11.11,8,,,,,
2970.6,2970,Drought,11.11,8,,,,,
588155.01.5,588155.01,Drought,11.11,10,,,,,
588155.01.6,588155.01,Control,11.11,9,,,,,
9018.1,9018,Drought,11.11,9,,,,,
9018.9,9018,Control,11.11,9,,,,,
9025.1,9025,Drought,11.11,8,,,,,
9025.7,9025,Control,11.11,9,,,,,
9031.1,9031,Drought,11.11,11,,,,,
9031.6,9031,Control,11.11,10,,,,,
9035.3,9035,Drought,11.11,8,,,,,
9035.9,9035,Control,11.11,7,,,,,
ANU65.4,ANU65,Drought,11.11,8,,,,,
ANU65.6,ANU65,Control,11.11,7,,,,,
b40-14.5,b40-14,Drought,11.11,7,,,,,
b40-14.7,b40-14,Control,11.11,8,,,,,
b42-24.2,b42-24,Drought,11.11,9,,,,,
b42-24.8,b42-24,Control,11.11,6,,,,,
b42-34.4,b42-34,Drought,11.11,12,,,,,
b42-34.7,b42-34,Control,11.11,11,,,,,
C56-94.10,C56-94,Control,11.11,12,,,,,
C56-94.2,C56-94,Drought,11.11,10,,,,,
CC12.4,CC12,Drought,11.11,9,,,,,
CC12.7,CC12,Control,11.11,7,,,,,
Haines.3,Haines,Drought,11.11,7,,,,,
Haines.8,Haines,Control,11.11,8,,,,,
Haines2.4,Hanes2,Control,11.11,7,,,,,
NY1.10,NY1,Control,11.11,11,,,,,
NY1.4,NY1,Drought,11.11,10,,,,,
OCK1-S02.3,OCK1-S02,Drought,11.11,7,,,,,
OCK1-S02.9,OCK1-S02,Control,11.11,6,,,,,
SC2.1,SC2,Control,11.11,5,,,,,
T48.10,T48,Control,11.11,9,,,,,
T48.3,T48,Drought,11.11,10,,,,,
T52.5,T52,Drought,11.11,10,,,,,
T52.8,T52,Control,11.11,8,,,,,
TX6704.2,TX6704,Drought,11.11,13,,,,,
TX6704.7,TX6704,Control,11.11,11,,,,,
TXNM0821.1,TXNM0821,Drought,11.11,9,,,,,
TXNM0821.5,TXNM0821,Control,11.11,6,,,,,
TXNM0821.8,TXNM0821,Drought,11.11,9,,,,,
UT12-075.5,UT12-075,Drought,11.11,9,,,,,
UT12-075.9,UT12-075,Control,11.11,9,,,,,
V57-96.3,V57-96,Drought,11.11,10,,,,,
V57-96.9,V57-96,Control,11.11,12,,,,,
V60-96.4,V60-96,Drought,11.11,6,,,,,
Vru42.3,Vru42,Drought,11.11,10,,,,,
Vru42.9,Vru42,Control,11.11,10,,,,,
1149.4,1149,Drought,11.11,11,,,,,
1149.9,1149,Control,11.11,8,,,,,
2214.4.10,2214.4,Control,11.11,8,,,,,
2214.4.5,2214.4,Drought,11.11,8,,,,,
255189.01.10,255189.01,Control,11.11,6,,,,,
255189.01.3,255189.01,Drought,11.11,7,,,,,
2970.1,2970,Control,11.11,7,,,,,
2970.4,2970,Drought,11.11,8,,,,,
9018.7,9018,Control,11.11,7,,,,,
9025.2,9025,Drought,11.11,7,,,,,
9031.3,9031,Drought,11.11,10,,,,,
9031.8,9031,Control,11.11,10,,,,,
9035.4,9035,Drought,11.11,7,,,,,
9035.6,9035,Control,11.11,6,,,,,
ANU65.5,ANU65,Drought,11.11,7,,,,,
ANU65.7,ANU65,Control,11.11,7,,,,,
b40-14.4,b40-14,Drought,11.11,12,,,,,
b40-14.8,b40-14,Control,11.11,9,,,,,
b42-24.4,b42-24,Drought,11.11,12,,,,,
b42-24.9,b42-24,Control,11.11,8,,,,,
b42-34.3,b42-34,Drought,11.11,13,,,,,
b42-34.8,b42-34,Control,11.11,7,,,,,
C56-94.4,C56-94,Drought,11.11,8,,,,,
C56-94.9,C56-94,Control,11.11,9,,,,,
CC12.10,CC12,Control,11.11,7,,,,,
CC12.5,CC12,Drought,11.11,8,,,,,
Haines.2,Haines,Drought,11.11,7,,,,,
Haines2.3,Hanes2,Drought,11.11,10,,,,,
NY1.3,NY1,Drought,11.11,10,,,,,
NY1.7,NY1,Control,11.11,7,,,,,
OCK1-S02.7,OCK1-S02,Control,11.11,7,,,,,
SC2.2,SC2,Drought,11.11,8,,,,,
SC2.6,SC2,Control,11.11,6,,,,,
T48.5,T48,Drought,11.11,8,,,,,
T48.9,T48,Control,11.11,8,,,,,
T52.2,T52,Drought,11.11,8,,,,,
T52.9,T52,Control,11.11,8,,,,,
TX6704.10,TX6704,Control,11.11,9,,,,,
TX6704.4,TX6704,Drought,11.11,9,,,,,
TXNM0821.6,TXNM0821,Control,11.11,6,,,,,
V57-96.1,V57-96,Drought,11.11,8,,,,,
V57-96.7,V57-96,Control,11.11,8,,,,,
V60-96.5,V60-96,Drought,11.11,8,,,,,
Vru42.4,Vru42,Drought,11.11,8,,,,,
Vru42.7,Vru42,Control,11.11,8,,,,,
1149.1,1149,Control,11.16,13,,,,,
1149.5,1149,Drought,11.16,10,,,,,
