ID,trt,ID Order,genotype,species,block,year,harvest_date,pd_pot,md_pot,pd_pot_als,harvest_sm,GWC_top,GWC_bottom,stem_diam,canopy_biomass,perc_canopy,dry_root_bag,bag_tare,root_biomass,perc_root,root_g,total_root_length,sys_area,surface_area,srl,srsa,exud_time,exud,exud_flow,exud_gg,exp,epson_file,dpi,mask_imagej,brown_imagej,perc_sub,perc_white,figure,figure_class
9018.3,Drought,3,9018,V. acerifolia,2,2020,12/15/20,5.4,11.2,9.5,,0.250146857,0.162200442,5.92,26.1,0.64,22.04441,7.1611,14.8834,0.36,14.8834,1330.658974,4251.987433,315.377163,89.41,21.19,,,,,,9018-3_D_3_R1_20201222_13560677.tif,300,0.484,0.32,66.1,0.338842975,"9018-3_D_02_5X_BF, 9018-3_D_ALS",
9018.3,Drought,3,9018,V. acerifolia,2,2020,12/15/20,5.4,11.2,9.5,,0.250146857,0.162200442,5.92,26.1,0.64,22.04441,7.1611,14.8834,0.36,14.8834,7563.650358,19644.32124,2999.104092,508.2,201.51,,,,,,9018-3_D_3_R2_20201222_14002750.tif,300,1.836,1.376,74.9,0.250544662,"9018-3_D_02_5X_BF, 9018-3_D_ALS",
9018.3,Drought,3,9018,V. acerifolia,2,2020,12/15/20,5.4,11.2,9.5,,0.250146857,0.162200442,5.92,26.1,0.64,22.04441,7.1611,14.8834,0.36,14.8834,8650.571238,27725.95157,2798.557011,581.22,188.03,,,,,,9018-3_D_3_R3_20201222_14042310.tif,300,2.329,1.777,76.3,0.237011593,"9018-3_D_02_5X_BF, 9018-3_D_ALS",
9018.4,Drought,4,9018,V. acerifolia,3,2020,12/16/20,8,16.8,9,,0.143802536,0.139010599,7.26,26.3,0.56,27.5247,7.1611,20.3636,0.44,20.3636,7761.939221,16282.24903,3992.166908,381.17,196.04,101,0.0289,0.0003,0.0014,,9018-4_D_B3_R1_20201219_18483233.tif,300,1.909,1.604,84,0.159769513,,
9018.4,Drought,4,9018,V. acerifolia,3,2020,12/16/20,8,16.8,9,,0.143802536,0.139010599,7.26,26.3,0.56,27.5247,7.1611,20.3636,0.44,20.3636,7625.860346,21763.36463,2930.636105,374.48,143.92,101,0.0289,0.0003,0.0014,,9018-4_D_B3_R1_20201219_18483233.tif,300,1.024,0.704,68.8,0.3125,,
9018.4,Drought,4,9018,V. acerifolia,3,2020,12/16/20,8,16.8,9,,0.143802536,0.139010599,7.26,26.3,0.56,27.5247,7.1611,20.3636,0.44,20.3636,2720.387365,7432.689958,1022.969496,133.59,50.24,101,0.0289,0.0003,0.0014,,9018-4_D_B3_R2_20201219_18525586.tif,300,0.738,0.485,65.7,0.342818428,,
9018.4,Drought,4,9018,V. acerifolia,3,2020,12/16/20,8,16.8,9,,0.143802536,0.139010599,7.26,26.3,0.56,27.5247,7.1611,20.3636,0.44,20.3636,788.483666,2278.031051,226.960035,38.72,11.15,101,0.0289,0.0003,0.0014,,9018-4_D_B3_R2_20201219_18525586.tif,300,0.225,0.107,47.6,0.524444444,,
9018.5,Drought,5,9018,V. acerifolia,1,2020,12/11/20,8.1,11,9.9,,0.193261424,0.253135835,,10.7,0.5,17.9916,7.1611,10.8305,0.5,10.8305,11876.13283,26350.69913,5345.384987,1096.54,493.55,,,,,,9018-5_D_R1_20201214_13503677.tif,300,2.923,2.231,76.3,0.236743072,,
9018.5,Drought,5,9018,V. acerifolia,1,2020,12/11/20,8.1,11,9.9,,0.193261424,0.253135835,,10.7,0.5,17.9916,7.1611,10.8305,0.5,10.8305,1394.511844,3809.979111,521.97019,128.76,48.19,,,,,,9018-5_D_R2_20201214_13545651.tif,300,0.319,0.281,88.1,0.119122257,,
9018.5,Drought,5,9018,V. acerifolia,1,2020,12/11/20,8.1,11,9.9,,0.193261424,0.253135835,,10.7,0.5,17.9916,7.1611,10.8305,0.5,10.8305,1581.244849,4139.943126,562.203826,146,51.91,,,,,,9018-5_D_R2_20201214_13545651.tif,300,0.375,0.243,64.8,0.352,,
9018.5,Drought,5,9018,V. acerifolia,1,2020,12/11/20,8.1,11,9.9,,0.193261424,0.253135835,,10.7,0.5,17.9916,7.1611,10.8305,0.5,10.8305,6644.062179,19931.07478,2437.444985,613.46,225.05,,,,,,9018-5_D_R3_20201214_13565504.tif,300,1.83,1.567,85.6,0.143715847,,
9018.6,Control,6,9018,V. acerifolia,1,2020,12/11/20,6.7,9.4,12.5,,0.493626235,0.545430895,6.46,26.6,0.75,15.9434,7.1611,8.7823,0.25,8.7823,696.876721,3331.984927,71.066845,79.35,8.09,,,,,,9018-6_C_20201212_15350320_mask_R1.tif,300,0.321,0.065,20.2,0.797507788,20201118_202625_9018_C_roots_4X.h5_00373-GR,microct
9018.6,Control,6,9018,V. acerifolia,1,2020,12/11/20,6.7,9.4,12.5,,0.493626235,0.545430895,6.46,26.6,0.75,15.9434,7.1611,8.7823,0.25,8.7823,1585.972083,5897.259879,406.551667,180.59,46.29,,,,,,9018-6_C_20201212_15350320_mask_R3.tif,300,0.952,0.828,87,0.130252101,20201118_202625_9018_C_roots_4X.h5_00373-GR,microct
9018.6,Control,6,9018,V. acerifolia,1,2020,12/11/20,6.7,9.4,12.5,,0.493626235,0.545430895,6.46,26.6,0.75,15.9434,7.1611,8.7823,0.25,8.7823,2531.435403,7314.835325,832.057987,288.24,94.74,,,,,,9018-6_C_20201212_15350320_mask_R4.tif,300,0.495,0.335,67.7,0.323232323,20201118_202625_9018_C_roots_4X.h5_00373-GR,microct
9018.6,Control,6,9018,V. acerifolia,1,2020,12/11/20,6.7,9.4,12.5,,0.493626235,0.545430895,6.46,26.6,0.75,15.9434,7.1611,8.7823,0.25,8.7823,752.323168,4570.361849,103.748258,85.66,11.81,,,,,,9018-6_C_20201212_15350320_mask_R5.tif,300,0.678,0.358,52.8,0.471976401,20201118_202625_9018_C_roots_4X.h5_00373-GR,microct
9018.6,Control,6,9018,V. acerifolia,1,2020,12/11/20,6.7,9.4,12.5,,0.493626235,0.545430895,6.46,26.6,0.75,15.9434,7.1611,8.7823,0.25,8.7823,477.931788,2806.973564,38.221421,54.42,4.35,,,,,,9018-6_C_20201212_15384321_mask_R2.tif,300,0.386,0.092,23.8,0.761658031,20201118_202625_9018_C_roots_4X.h5_00373-GR,microct
