"Species","Treatment","species_geno","Genotype","Porosity","SpongyV_TotalMesophyllV","PalisadeV_TotalMesophyllV","SpongyV_PalisadeV","Leaf_Width_um","Mesophyll_Width_um","SASP_SAWM","SAPA_SAWM","SASPPA_SAWM","Treatment_factor","mean_Porosity","sd_Porosity","Tukey_Porosity","mean_SpongyV_TotalMesophyllV","sd_SpongyV_TotalMesophyllV","Tukey_SpongyV_TotalMesophyllV","mean_PalisadeV_TotalMesophyllV","sd_PalisadeV_TotalMesophyllV","Tukey_PalisadeV_TotalMesophyllV","mean_SpongyV_PalisadeV","sd_SpongyV_PalisadeV","Tukey_SpongyV_PalisadeV","mean_Leaf_Width_um","sd_Leaf_Width_um","Tukey_Leaf_Width_um","mean_Mesophyll_Width_um","sd_Mesophyll_Width_um","Tukey_Mesophyll_Width_um","mean_SASP_SAWM","sd_SASP_SAWM","Tukey_SASP_SAWM","mean_SAPA_SAWM","sd_SAPA_SAWM","Tukey_SAPA_SAWM","mean_SASPPA_SAWM","sd_SASPPA_SAWM","Tukey_SASPPA_SAWM"
"acerifolia","Control","acerifolia_9018","9018",0.4250145889,0.3426098198,0.2323755913,1.47437955,216.1642167,180.3670858,0.3426098198,0.2323755913,0.5749854111,"Control",0.40789494985,0.0167258881885958,"b",0.341993987525,0.0158060060794529,"de",0.250111062625,0.0164451888808394,"d",1.37314153425,0.129898163631915,"b",218.10019165,11.2566648305822,"ab",180.110592675,9.7960140957658,"a",0.341993987525,0.0158060060794529,"de",0.250111062625,0.0164451888808394,"d",0.59210505015,0.0167258881885958,"d"
"acerifolia","Control","acerifolia_9018","9018",0.3952153623,0.3333472407,0.271437397,1.228081482,203.6846528,166.7821774,0.3333472407,0.271437397,0.6047846377,"Control",0.40789494985,0.0167258881885958,"b",0.341993987525,0.0158060060794529,"de",0.250111062625,0.0164451888808394,"d",1.37314153425,0.129898163631915,"b",218.10019165,11.2566648305822,"ab",180.110592675,9.7960140957658,"a",0.341993987525,0.0158060060794529,"de",0.250111062625,0.0164451888808394,"d",0.59210505015,0.0167258881885958,"d"
"acerifolia","Control","acerifolia_9018","9018",0.3919717311,0.3639272601,0.2441010088,1.490887981,230.4530138,190.1633463,0.3639272601,0.2441010088,0.6080282689,"Control",0.40789494985,0.0167258881885958,"b",0.341993987525,0.0158060060794529,"de",0.250111062625,0.0164451888808394,"d",1.37314153425,0.129898163631915,"b",218.10019165,11.2566648305822,"ab",180.110592675,9.7960140957658,"a",0.341993987525,0.0158060060794529,"de",0.250111062625,0.0164451888808394,"d",0.59210505015,0.0167258881885958,"d"
"acerifolia","Control","acerifolia_9018","9018",0.4193781171,0.3280916295,0.2525302534,1.299217124,222.0988833,183.1297612,0.3280916295,0.2525302534,0.5806218829,"Control",0.40789494985,0.0167258881885958,"b",0.341993987525,0.0158060060794529,"de",0.250111062625,0.0164451888808394,"d",1.37314153425,0.129898163631915,"b",218.10019165,11.2566648305822,"ab",180.110592675,9.7960140957658,"a",0.341993987525,0.0158060060794529,"de",0.250111062625,0.0164451888808394,"d",0.59210505015,0.0167258881885958,"d"
"acerifolia","Drought","acerifolia_9018","9018",0.4253914595,0.2665543987,0.3080541419,0.8652842551,218.005381,178.5568217,0.2665543987,0.3080541419,0.5746085405,"Drought",0.419986973175,0.0155753406499209,"b",0.264858423975,0.0232425598974764,"de",0.315154602875,0.00943491333002823,"d",0.842384597575,0.0944916537566547,"b",224.9891308,6.99183592192876,"ab",184.532448725,5.96591477529445,"a",0.264858423975,0.0232425598974764,"de",0.315154602875,0.00943491333002823,"d",0.580013026825,0.0155753406499209,"d"
"acerifolia","Drought","acerifolia_9018","9018",0.4394352255,0.2320988858,0.3284658887,0.706614884,220.2150177,181.1612315,0.2320988858,0.3284658887,0.5605647745,"Drought",0.419986973175,0.0155753406499209,"b",0.264858423975,0.0232425598974764,"de",0.315154602875,0.00943491333002823,"d",0.842384597575,0.0944916537566547,"b",224.9891308,6.99183592192876,"ab",184.532448725,5.96591477529445,"a",0.264858423975,0.0232425598974764,"de",0.315154602875,0.00943491333002823,"d",0.580013026825,0.0155753406499209,"d"
"acerifolia","Drought","acerifolia_9018","9018",0.4051625412,0.2859630691,0.3088743897,0.9258231779,229.140532,186.3755489,0.2859630691,0.3088743897,0.5948374588,"Drought",0.419986973175,0.0155753406499209,"b",0.264858423975,0.0232425598974764,"de",0.315154602875,0.00943491333002823,"d",0.842384597575,0.0944916537566547,"b",224.9891308,6.99183592192876,"ab",184.532448725,5.96591477529445,"a",0.264858423975,0.0232425598974764,"de",0.315154602875,0.00943491333002823,"d",0.580013026825,0.0155753406499209,"d"
"acerifolia","Drought","acerifolia_9018","9018",0.4099586665,0.2748173423,0.3152239912,0.8718160733,232.5955925,192.0361928,0.2748173423,0.3152239912,0.5900413335,"Drought",0.419986973175,0.0155753406499209,"b",0.264858423975,0.0232425598974764,"de",0.315154602875,0.00943491333002823,"d",0.842384597575,0.0944916537566547,"b",224.9891308,6.99183592192876,"ab",184.532448725,5.96591477529445,"a",0.264858423975,0.0232425598974764,"de",0.315154602875,0.00943491333002823,"d",0.580013026825,0.0155753406499209,"d"
"aestivalis","Control","aestivalis_T52","T52",0.2338088142,0.4169017211,0.3492894647,1.193570844,149.3627436,116.1222481,0.4169017211,0.3492894647,0.7661911858,"Control",0.2313690321,0.00776809430539078,"e",0.402020209375,0.0154716322127716,"ab",0.366610758525,0.0209766810488276,"b",1.100994536775,0.103340447073181,"bcd",152.765527175,4.96985198312323,"ef",119.3964541,4.41940903471368,"d",0.402020209375,0.0154716322127716,"ab",0.366610758525,0.0209766810488276,"b",0.7686309679,0.00776809430539078,"a"
"aestivalis","Control","aestivalis_T52","T52",0.2405167012,0.4114186186,0.3480646803,1.182017717,150.3570192,117.8451455,0.4114186186,0.3480646803,0.7594832988,"Control",0.2313690321,0.00776809430539078,"e",0.402020209375,0.0154716322127716,"ab",0.366610758525,0.0209766810488276,"b",1.100994536775,0.103340447073181,"bcd",152.765527175,4.96985198312323,"ef",119.3964541,4.41940903471368,"d",0.402020209375,0.0154716322127716,"ab",0.366610758525,0.0209766810488276,"b",0.7686309679,0.00776809430539078,"a"
