ID,Genotype,Species,Treatment,Order within block,mPot (kg),Dry weight of soil (kg),mH2O (kg),Date,PWW,WA,BB,TW,POWW,PD.WT,midday.WT,POWW.NOTES,WU,tgt_swc,SWC
1149.10.,1149,treleasei,Control,8,7.062,4.185905293,2.624094707,11/25,5.64,1.159590529,1,6.799590529,6.8,NA,NA,NA,0.9612580780000003,0.9,0.6796990606101627
1149.10.,1149,treleasei,Control,8,7.062,4.185905293,2.624094707,11/27,5.5405,1.259090529,1,6.799590529,6.81,NA,NA,NA,1.0909,0.9,0.6601685155184454
1149.10.,1149,treleasei,Control,8,7.062,4.185905293,2.624094707,11/30,5.91,0.889590529,1,6.799590529,6.8,NA,NA,NA,1.1936999999999995,0.9,0.7324791678336326
1149.10.,1149,treleasei,Control,8,7.062,4.185905293,2.624094707,12/02,6.25,0.549590529,1,6.799590529,6.79,NA,NA,NA,0.9648290389999998,0.9,0.7953579959337954
1149.10.,1149,treleasei,Control,8,7.062,4.185905293,2.624094707,12/04,5.87,0.929590529,1,6.799590529,6.79,NA,NA,NA,1.334829039,0.9,0.7210466536336031
1149.10.,1149,treleasei,Control,8,7.062,4.185905293,2.624094707,12/07,6.247,6.793821727,3,6.602181059,6.8185,NA,NA,NA,1.613,0.9,0.8304957273403777
1149.10.,1149,treleasei,Control,8,7.062,4.185905293,2.624094707,12/09,5.98,0.823412256,3,6.602181059,6.79,NA,NA,NA,1.1804999999999999,0.9,0.8226662595451821
1149.2,1149,treleasei,Drought,5,6.588,3.894551532,2.441448468,10/28,5.25,0.849710306,1,6.099710306,NA,NA,NA,NA,0.71991225575,0.8,0.4888280396012846
1149.2,1149,treleasei,Drought,5,6.588,3.894551532,2.441448468,10/30,5.35,0.749710306,1,6.099710306,NA,NA,NA,NA,0.60441225575,0.8,0.47244432291658744
1149.2,1149,treleasei,Drought,5,6.588,3.894551532,2.441448468,11/06,4.81,0.557275766,1,5.367275766,5.36,NA,NA,NA,0.4120000000000007,0.5,0.38438184557250293
