ID,trt,ID Order,genotype,species,block,year,harvest_date,pd_mpa,pd_pot,md_mpa,md_pot,figure,pd_pot_als,sm_wet_top,sm_wet_bot,sm_dry_top,sm_dry_bot,GWC_top,GWC_bottom,stem_diam,canopy_biomass,dry_root_bag,bag_tare,root_biomass,root_g,exud_time,exud,exud_flow,exud_gg,exud_ro,exud_s,exp,parameter,epson_file,mask_imagej,brown_imagej,perc_white
9018.4,Drought,4,9018,acerifolia,3,2020,12/16/2020,,8,,16.8,,9,11.1092,10.8218,,,0.144,0.139,7.26,26.3,27.52470,7.1611,20.3636,,101,0.02894,0.0002865346535,0.001421160344,,,,,9018-4_D_B3_R1_20201219_18483233.tif,1.909,1.604,0.1597695128
9018.4,Drought,4,9018,acerifolia,3,2020,12/16/2020,,8,,16.8,,9,11.1092,10.8218,,,0.144,0.139,7.26,26.3,27.52470,7.1611,20.3636,20.3636,101,0.02894,0.0002865346535,0.001421160344,,,,,9018-4_D_B3_R1_20201219_18483233.tif,1.024,0.704,0.3125
9018.4,Drought,4,9018,acerifolia,3,2020,12/16/2020,,8,,16.8,,9,11.1092,10.8218,,,0.144,0.139,7.26,26.3,27.52470,7.1611,20.3636,,101,0.02894,0.0002865346535,0.001421160344,,,,,9018-4_D_B3_R2_20201219_18525586.tif,0.738,0.485,0.3428184282
9018.4,Drought,4,9018,acerifolia,3,2020,12/16/2020,,8,,16.8,,9,11.1092,10.8218,,,0.144,0.139,7.26,26.3,27.52470,7.1611,20.3636,,101,0.02894,0.0002865346535,0.001421160344,,,,,9018-4_D_B3_R2_20201219_18525586.tif,0.225,0.107,0.5244444444
9018.5,Drought,5,9018,acerifolia,1,2020,12/11/2020,,8.1,,11,,9.9,,,,,0.193,0.253,,10.7,17.99160,7.1611,10.8305,,,,,,,,,,9018-5_D_R2_20201214_13545651.tif,0.319,0.281,0.1191222571
9018.5,Drought,5,9018,acerifolia,1,2020,12/11/2020,,8.1,,11,,9.9,,,,,0.193,0.253,,10.7,17.99160,7.1611,10.8305,,,,,,,,,,9018-5_D_R3_20201214_13565504.tif,1.83,1.567,0.143715847
9018.5,Drought,5,9018,acerifolia,1,2020,12/11/2020,,8.1,,11,,9.9,,,,,0.193,0.253,,10.7,17.99160,7.1611,10.8305,10.8305,,,,,,,,,9018-5_D_R1_20201214_13503677.tif,2.923,2.231,0.2367430722
9018.5,Drought,5,9018,acerifolia,1,2020,12/11/2020,,8.1,,11,,9.9,,,,,0.193,0.253,,10.7,17.99160,7.1611,10.8305,,,,,,,,,,9018-5_D_R2_20201214_13545651.tif,0.375,0.243,0.352
9018.6,Control,6,9018,acerifolia,1,2020,12/11/2020,,6.7,,9.4,9018-6_C_ALS,12.5,,,,,0.494,0.545,6.46,26.6,15.94340,7.1611,8.7823,,,,,,,,,,,,,
9018.6,Control,6,9018,acerifolia,1,2020,12/11/2020,,6.7,,9.4,9018-6_C_ALS,12.5,,,,,0.494,0.545,6.46,26.6,15.94340,7.1611,8.7823,8.7823,,,,,,,,,9018-6_C_20201212_15350320.tif,0.952,0.828,0.1302521008
9018.6,Control,6,9018,acerifolia,1,2020,12/11/2020,,6.7,,9.4,9018-6_C_ALS,12.5,,,,,0.494,0.545,6.46,26.6,15.94340,7.1611,8.7823,8.7823,,,,,,,,,9018-6_C_20201212_15350320.tif,0.495,0.335,0.3232323232
9018.6,Control,6,9018,acerifolia,1,2020,12/11/2020,,6.7,,9.4,9018-6_C_ALS,12.5,,,,,0.494,0.545,6.46,26.6,15.94340,7.1611,8.7823,8.7823,,,,,,,,,9018-6_C_20201212_15350320.tif,0.678,0.358,0.4719764012
