X12.6.control.water.added
200
600
0
0
600
0
600
400
600
0
600
400
0
700
0
500
0
0
0
400
0
600
0
600
0
600
0
0
0
600
600
600
600
0
600
0
0
600
600
0
0
600
0
400
600
600
0
600
0
0
0
0
600
600
600
0
600
0
700
400
600
0
0
0
600
0
0
600
0
600
0
600
0
0
0
600
600
600
600
0
0
0
600
0
600
0
600
0
0
0
0
500
600
0
0
0
0
0
600
600
600
0
0
600
600
0
0
0
700
600
0
600
0
600
500
0
0
0
600
0
400
600
0
0
0
400
0
600
500
0
0
600
0
0
600
0
600
600
0
600
600
0
0
600
400
0
400
0
0
400
0
500
0
300
600
600
700
0
0
0
0
600
0
600
400
600
600
600
0
0
0
600
600
0
0
400
0
500
600
600
600
0
0
0
0
0
0
600
600
0
600
0
0
400
600
0
0
0
600
0
0
600
0
600
0
0
0
0
600
600
0
600
600
0
400
700
0
600
600
400
0
600
600
200
600
0
0
0
600
600
600
0
600
600
0
0
0
200
0
0
0
200
0
0
600
600
0
0
0
0
600
500
0
0
600
0
0
200
600
0
0
600
600
0
600
0
600
200
600
600
0
0
400
0
0
0
0
0
0
0
0
0
0
0
