X12.13.water.added
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1.2005
0
1.6085
0
1.161
0.914
1.1545
0
0
0
3.9735
0
0
1.8983
0
1.305
0
1.16801
0
0
0
1.221
0.8835
0.898
0.97
0
0
0
0.8515
0
1.1705
0
1.108
0
0.706
0
0
0.571
0.735
0
0
0
0
0
1.313
1.379
1.2575
0
0
1.2955
1.2445
0
0
0
1
1
0
1
0
1
0.6
0
0
0
1
0
0.6
1.153
0
0
0
0.6
0
1
1
0
0
1
0
0
1.148
0
1
1
0
1
1
1
0
1
0.6
0
1
0
0
0.6
0
0.6
0
0.5
1
1
1
0
0
0
0
1
0
1
0.6
1
1
1
0
0
0
1
1
0
0
1
0
1
1
1
1
0
0
0
0
0
0
0
1
0
1
0
0
0.6
1
0
0
0
1
0
0
1
0
0
1
0
0
0
1
1
0
1
1
0
0.6
1.2
0
0.6
1
1
0
1
1
0.6
1
0
0
0
1
1
1
0
1
1
0
0
0
0.6
0
0
0
0.5
0
1
1
0.6
0
0
0
0
1
0.6
0
0
1
0
0
1
1
0
0
1
1
0
1.2
0
1
0.6
1
1
0
0
1
0
0
0
0
0
0
0
0
0
0
0
