,m`Pot (kg),Dry weight of soil (kg),m`H2O (kg),10/23 Pre Watering Weight (kg),10/23 SWC,10/26 Pre Watering Weight,10/26 SWC,mpot @ 80% SW,10/28 pre water weight,10/28 SWC,mpot @ 80% SW_1,10/30 pre water weight,10/30 SWC,mpot @ 80% SW_2,11/2 pre water weight,11/2 SWC,mpot @ 80% SW_3,11/4 pre water,11/4 SWC,mpot target weight (80% for control and 50% for treatment),11/6 pre water,11/6 SWC,mpot target,11/9 pre water,11/9 SWC,mpot target_1,11/11 pre water weight,11/11 SWC,11/11 target weights,11/13 pre water weight,11/13 SWC,11/13 target weight,11/16 pre water weight,11/16 SWC,11/16 target weight,11/18 pre water weight,11/18 SWC,11/18 target weight,11/20 pre water weight,11/20 SWC,11/20 target weight,11/23 pre water weight,11/23 SWC,11/23 target weight,11/25 pre water weight,11/25 SWC,11/25 target weight,11/27 pre water weight,11/27 SWC,11/27 target weight,11/30 pre water weight,11/30 SWC,11/30 target weight,12/2 pre water weight,12/2 SWC,12/2 target weight,12/4 pre water weight,12/4 SWC,12/4 target weight,12/7 pre water weight,12/7 SWC,12/7 target weight (corrected post experiment),12/9 pre water weight,12/9 SWC,12/9 Treatment rewater to 30%,12/11 pre-water weight,12/11 SWC,12/11 target weights,12/11 Pre-Dawn Bench 1 Pot Weights,midday pot weights,12/13 pre-water weight,12/13 SWC,12/13 target weight,Notes,12/14 pre-water weight,12/14 SWC,12/14 target weight,12/15 midday weight,12/15 Pre water weight,12/15 SWC,12/15 target weight,12/16 pre-water weight,12/16 SWC,12/16 target weight,12/16 Pre Dawn Pot Weights,12/16 midday weight,12/17 Pre Dawn Pot Weights,12/17 pre water weight,12/17 SWC,12/17 target weight,12/18 Pre Dawn Pot Weights,12/18 Mid Day weight,ID,Genotype,Species,Treatment
20,7.116,4.219097493,2.644902507,6.0455,0.595259183,6.1735,0.643654162,6.587019499,6.19,0.649892577,6.587019499,6.218,0.660478979,6.587019499,6.1205,0.623615616,6.587019499,6.2795,0.683731254,6.587019499,6.286,0.686188811,6.587019499,5.9565,0.56160955,6.587019499,6.14,0.630988289,6.587019499,6.19,0.649892577,6.587019499,7.27,1.058225208,6.587019499,NA,#VALUE!,6.851509749,6.75,0.861620608,6.851509749,6.498,0.766342994,6.851509749,6.31,0.69526287,6.851509749,6.298,0.690725841,6.851509749,6.66,0.827592889,6.851509749,6.8,0.880524897,6.851509749,6.54,0.782222597,6.851509749,6.615,0.81057903,6.851509749,6.4,0.729290589,6.851509749,NA,#VALUE!,NA,6.71,6.51,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,9018.6,9018,acerifolia,Control
22,6.85,4.055595172,2.542404828,5.7325,0.560455523,5.8675,0.613554856,6.341519034,5.952,0.646791105,6.341519034,5.83,0.598805041,6.341519034,5.7895,0.582875242,6.341519034,5.9125,0.631254634,6.341519034,5.914,0.631844626,6.341519034,5.4105,0.433803781,6.341519034,5.64,0.524072647,6.341519034,5.7,0.547672351,6.341519034,6.75,0.960667161,6.341519034,5.96,0.649937732,6.595759517,NA,#VALUE!,6.595759517,4.733,0.167323797,6.595759517,5.43,0.441473685,6.595759517,5.2635,0.375984508,6.595759517,5.95,0.646004448,6.595759517,6.15,0.724670126,6.595759517,5.62,0.516206079,6.595759517,5.739,0.563012158,6.595759517,5.85,0.606671609,6.595759517,NA,#VALUE!,NA,6.3175,5.909,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,OCK1-S02.10,OCK1-S02,acerifolia,Control
24,6.944,4.113374188,2.578625812,5.6925,0.514663975,5.737,0.531921229,6.428274838,5.891,0.591642961,6.428274838,5.85,0.57574302,6.428274838,5.616,0.484997011,6.428274838,5.8895,0.591061256,6.428274838,5.861,0.580008858,6.428274838,5.456,0.422948458,6.428274838,5.85,0.57574302,6.428274838,5.75,0.536962674,6.428274838,7.05,1.041107166,6.428274838,NA,#VALUE!,6.686137419,6.02,0.641669607,6.686137419,5.508,0.443114238,6.686137419,5.61,0.48267019,6.686137419,5.584,0.472587301,6.686137419,6.27,0.738620471,6.686137419,6.47,0.816181162,6.686137419,5.93,0.606767296,6.686137419,6.288,0.745600933,6.686137419,6.38,0.781278851,6.686137419,NA,#VALUE!,NA,6.7245,6.346,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,TX6704.6,TX6704,monticola,Control
26,7.366,4.372765088,2.741234912,6.2265,0.584311437,6.3505,0.629546524,6.817753018,6.434,0.660007248,6.817753018,6.439,0.661831244,6.817753018,6.313,0.615866559,6.817753018,6.502,0.684813587,6.817753018,6.4825,0.677700004,6.817753018,6.2235,0.58321704,6.817753018,6.45,0.665844034,6.817753018,6.42,0.654900061,6.817753018,7.41,1.01605116,6.817753018,6.98,0.859187551,7.091876509,6.45,0.665844034,7.091876509,6.368,0.635930509,7.091876509,6.45,0.665844034,7.091876509,6.4085,0.650704872,7.091876509,6.94,0.844595588,7.091876509,6.96,0.85189157,7.091876509,6.76,0.778931752,7.091876509,6.466,0.659824849,7.124376509,6.77,0.770723772,7.124376509,NA,#VALUE!,NA,7.09,6.892,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,2970.9,2970,popenoi,Control
30,7.088,4.201886722,2.634113278,5.725,0.48255832,5.889,0.544818361,6.561177344,6.043,0.603282058,6.561177344,6.052,0.606698767,6.561177344,5.8265,0.521091211,6.561177344,6.013,0.591893026,6.561177344,6.033,0.599485714,6.561177344,5.5775,0.426562247,6.561177344,5.96,0.571772403,6.561177344,5.87,0.537605307,6.561177344,6.65,0.833720135,6.561177344,NA,#VALUE!,6.824588672,NA,#VALUE!,6.824588672,5.4405,0.374552335,6.824588672,5.83,0.522419931,6.824588672,5.8295,0.522230114,6.824588672,6.44,0.753996912,6.824588672,6.72,0.860294543,6.824588672,6.39,0.735015193,6.824588672,6.46,0.7615896,6.824588672,6.51,0.78057132,6.824588672,NA,#VALUE!,NA,6.8225,6.4815,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,Vru42.10,Vru42,rupestris,Control
31,7.092,4.204345404,2.635654596,5.728,0.482481505,5.9365,0.561588987,6.564869081,6.0685,0.611671422,6.564869081,6.0505,0.604841999,6.564869081,5.8255,0.519474213,6.564869081,6.0035,0.587009617,6.564869081,6.0485,0.604083175,6.564869081,5.676,0.462752061,6.564869081,6.02,0.593269922,6.564869081,5.9,0.547740435,6.564869081,7.03,0.976476432,6.564869081,7.09,0.999241175,6.82843454,NA,#VALUE!,6.82843454,5.232,0.294292961,6.82843454,5.85,0.528769816,6.82843454,5.7345,0.484947686,6.82843454,6.4,0.737446629,6.82843454,6.71,0.855064469,6.82843454,6.51,0.779181991,6.82843454,6.6734,0.841177975,6.82843454,6.55,0.794358487,6.82843454,NA,#VALUE!,NA,6.6745,6.428,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,C56-94.7,C56-94,rotundifolia var. munsoniana,Control
32,7.41,4.399810585,2.758189415,5.9675,0.477011988,6.161,0.547166705,6.858362117,6.263,0.584147487,6.858362117,6.287,0.592848847,6.858362117,6.0515,0.507466749,6.858362117,6.0595,0.510367202,6.858362117,6.3,0.597562084,6.858362117,5.8465,0.433142629,6.858362117,6.3,0.597562084,6.858362117,6.21,0.564931983,6.858362117,NA,#VALUE!,6.858362117,NA,#VALUE!,7.134181059,6.9,0.815096092,7.134181059,6.1215,0.532845716,7.134181059,6.27,0.586685383,7.134181059,6.266,0.585235157,7.134181059,6.89,0.811470526,7.134181059,6.97,0.84047506,7.134181059,6.83,0.789717125,7.134181059,6.953,0.834311597,7.134181059,6.87,0.804219392,7.134181059,NA,#VALUE!,NA,6.96,6.7355,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,T48.7,T48,mustangensis,Control
33,7.19,4.264583101,2.673416899,5.8245,0.48923043,5.913,0.522334133,6.65531662,6.1465,0.609675543,6.65531662,6.131,0.603877719,6.65531662,6.009,0.558243235,6.65531662,6.159,0.614351207,6.65531662,6.203,0.630809546,6.65531662,5.7635,0.466413188,6.65531662,6.19,0.625946855,6.65531662,6.11,0.596022603,6.65531662,NA,#VALUE!,6.65531662,6.32,0.674573764,6.92265831,NA,#VALUE!,6.92265831,5.1385,0.232629972,6.92265831,5.86,0.502509317,6.92265831,5.8535,0.500077971,6.92265831,6.51,0.745643861,6.92265831,6.66,0.801751833,6.92265831,6.47,0.730681735,6.92265831,6.952,0.910975351,6.92265831,6.13,0.603503666,6.92265831,NA,#VALUE!,NA,6.73,6.496,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,9031.1,9031,berlandieri,Control
35,7.392,4.388746518,2.751253482,6.216,0.572558469,6.113,0.535120988,6.841749304,6.4825,0.669423408,6.841749304,6.416,0.645252607,6.841749304,6.303,0.604180419,6.841749304,6.4845,0.670150349,6.841749304,6.5125,0.680327528,6.841749304,6.0855,0.525125544,6.841749304,6.44,0.653975903,6.841749304,6.34,0.617628835,6.841749304,NA,#VALUE!,6.841749304,6.84,0.799364179,7.116874652,NA,#VALUE!,7.116874652,5.983,0.487869798,7.116874652,5.12,0.174194593,7.116874652,6.045,0.510404981,7.116874652,6.78,0.777555938,7.116874652,6.89,0.817537714,7.116874652,6.62,0.719400628,7.116874652,6.715,0.730304748,7.181874652,6.62,0.695775033,7.181874652,NA,#VALUE!,NA,6.87,6.6,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,b42-24.7,b42-24,peninsularis,Control
38,7.056,4.18221727,2.62178273,6.068,0.623157179,6.1205,0.643181722,6.531643454,6.339,0.726521961,6.531643454,6.1525,0.655387157,6.531643454,6.0045,0.598937018,6.531643454,6.238,0.687998555,6.531643454,6.2525,0.693529143,6.531643454,5.9095,0.562702131,6.531643454,6.15,0.654433607,6.531643454,6.13,0.64680521,6.531643454,NA,#VALUE!,6.531643454,6.76,0.887099722,6.793821727,NA,#VALUE!,6.793821727,5.505,0.408417798,6.793821727,6.01,0.601034827,6.793821727,5.9805,0.589782941,6.793821727,6.57,0.814629948,6.793821727,6.61,0.829886743,6.793821727,6.56,0.81081575,6.793821727,6.551,0.794986826,6.826321727,6.4,0.737392427,6.826321727,NA,#VALUE!,NA,6.67,NA,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,Haines.1,Haines,shuttleworthii,Control
39,6.888,4.078952646,2.557047354,5.5525,0.477717924,5.7665,0.561408201,6.376590529,6.046,0.670713959,6.376590529,5.912,0.618309767,6.376590529,"5,889",2301.353175,6.376590529,5.91,0.617527615,6.376590529,5.991,0.649204776,6.376590529,5.547,0.475567006,6.376590529,5.85,0.594063052,6.376590529,5.72,0.543223164,6.376590529,NA,#VALUE!,6.376590529,6.08,0.684010545,6.632295265,NA,#VALUE!,6.632295265,4.8655,0.209048672,6.632295265,5.49,0.45327567,6.632295265,5.335,0.392658881,6.632295265,6.12,0.699653587,6.632295265,6.12,0.699653587,6.632295265,5.9,0.613616854,6.632295265,6.028,0.650964618,6.664795265,6.15,0.698675897,6.664795265,NA,#VALUE!,NA,6.61,6.2485,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,ANU65.8,ANU65,arizonica,Control
42,7.118,4.220326834,2.645673166,6.0945,0.613141936,6.2295,0.664168647,6.588865367,6.264,0.677208806,6.588865367,6.246,0.670405245,6.588865367,6.054,0.597833922,6.588865367,6.2335,0.665680549,6.588865367,6.268,0.678720709,6.588865367,5.932,0.551720895,6.588865367,6.22,0.660577878,6.588865367,6.17,0.641679096,6.588865367,NA,#VALUE!,6.588865367,6.63,0.815547889,6.853432683,6.13,0.626560071,6.853432683,5.8935,0.537168833,6.853432683,6.05,0.59632202,6.853432683,6.002,0.578179189,6.853432683,6.55,0.785309838,6.853432683,6.72,0.849565697,6.853432683,6.47,0.755071787,6.853432683,6.658,0.826131207,6.853432683,6.46,0.751292031,6.853432683,NA,#VALUE!,NA,6.5825,6.367,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,2214.4.8,2214.4,bloodworthiana,Control
44,6.384,3.769158774,2.362841226,5.671,0.698244642,5.3325,0.55498491,5.911431755,5.456,0.607252493,5.911431755,5.444,0.602173862,5.911431755,5.26,0.524301511,5.911431755,5.4355,0.598576498,5.911431755,5.448,0.603866739,5.911431755,5.0545,0.437329946,5.911431755,5.45,0.604713178,5.911431755,5.39,0.57932002,5.911431755,NA,#VALUE!,5.911431755,5.88,0.786697475,6.147715877,5.31,0.545462476,6.147715877,5.207,0.501870889,6.147715877,5.42,0.592016599,6.147715877,5.3915,0.579954849,6.147715877,6.13,0.892502299,6.147715877,6.2,0.92212765,6.147715877,6.55,1.070254403,6.147715877,6.253,0.944558272,6.147715877,6.35,0.985610544,6.147715877,NA,#VALUE!,NA,6.63,6.4415,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,9031.11,9031,berlandieri,Control
