ID,Genotype,Species,Treatment,Order within block,mPot (kg),Dry weight of soil (kg),mH2O (kg),10/23_PWW,10/23_WA,10/23_BB,10/26_PWW,10/26_WA,10/26_TW,10/26_BB,10/28_PWW,10/28_WA,10/28_TW,10/28_BB,10/30_PWW,10/30_WA,10/30_TW,10/30_BB,11/02_PWW,11/02_WA,11/02_TW,11/02_POWW,11/02_BB,11/04_PWW,11/04_WA,11/04_TW,11/04_POWW,11/04_BB,11/06_PWW,11/06_WA,11/06_TW,11/06_POWW,11/06_BB,11/09_PWW,11/09_WA,11/09_TW,11/09_POWW,11/09_BB,11/11_PWW,11/11_WA,11/11_TW,11/11_POWW,11/11_BB,11/13_PWW,11/13_WA,11/13_TW,11/13_POWW,11/13_BB,11/15_cntrl.drained.wt,11/15_BB,11/16_PWW,11/16_WA,11/16_TW,11/16_POWW,11/16_BB,11/18_PWW,11/18_WA,11/18_TW,11/18_POWW,11/18_BB,11/20_PWW,11/20_WA,11/20_TW,11/20_POWW,11/20_BB,11/23_PWW,11/23_WA,11/23_TW,11/23_POWW,11/23_BB,11/25_PWW,11/25_WA,11/25_TW,11/25_POWW,11/25_BB,11/27_PWW,11/27_WA,11/27_TW,11/27_POWW,11/27_BB,11/30_PWW,11/30_WA,11/30_TW,11/30_POWW,11/30_BB,12/02_PWW,12/02_WA,12/02_TW,12/02_POWW,12/02_BB,12/04_PWW,12/04_WA,12/04_TW,12/04_POWW,12/04_BB,12/07_PWW,12/07_WA,12/07_POWW,12/07_TW,12/07_BB,12/09_PWW,12/09_WA,12/09_TW,12/09_POWW,12/09_BB,12/11_PWW,12/11_WA,12/11_TW,12/11_POWW,12/11_PD.WT,12/11_BB,12/11_midday.WT,12/13_PWW,12/13_WA,12/13_BB,12/13_TW,12/13_POWW,12/13_POWW.NOTES,12/14_PWW,12/14_BB,12/14_WA,12/14_TW,12/14_POWW,12/15_midday.WT,12/15_PWW,12/15_BB,12/15_TW,12/15_POWW,12/16_PWW,12/16_WA,12/16_BB,12/16_TW,12/16_POWW,12/16_PD.WT,12/16_midday.WT,12/17_PD.WT,12/17_PWW,12/17_BB,12/17_TW,12/17_POWW,12/18_BB,12/18_PD.WT,12/18_midday.WT
C56-94.1,C56-94,rotundifolia var. munsoniana,Drought,35,6.722,3.976917363,2.493082637,5.54,0.683383473,1,5.755,0.468383473,6.223383473,1,5.98,0.243383473,6.223383473,1,5.73,0.493383473,6.223383473,1,5.47,,Dont Water Today,,1,5.22,0.255458682,5.475458682,5.47,1,5.16,0.315458682,5.475458682,5.48,1,4.93,0.545458682,5.475458682,5.47,1,5.13,0.096150418,5.226150418,5.22,1,4.91,0.066842154,4.976842154,4.976842154,1,,1,4.73,0.246842154,4.976842154,4.97,1,4.77,0.206842154,4.976842154,4.97,1,4.68,0.296842154,4.976842154,4.97,1,4.63,0.346842154,4.976842154,4.98,1,4.75,0.226842154,4.976842154,4.97,1,4.748,0.228842154,4.976842154,5.003,1,4.67,0.306842154,4.976842154,4.98,1,4.78,0.196842154,4.976842154,4.78,1,4.62,0.107533891,4.727533891,4.73,1,4.56,5.209674095,5.2,4.727533891,1,4.86,0.349674095,4.976842154,5.2,1,4.98,-0.003157846,4.976842154,4.98,,1,,,4.976842154,1,4.976842154,,,4.78,1,0.196842154,4.976842154,4.978,,,1,4.976842154,,,,1,,,4.74,4.7155,,,1,,,1,,
C56-94.8,C56-94,rotundifolia var. munsoniana,Control,36,6.968,4.128126277,2.587873723,6.02,0.430425255,1,6.1575,0.292925255,6.450425255,1,6.21,0.240425255,6.450425255,1,6.07,0.380425255,6.450425255,1,5.84,0.610425255,6.450425255,6.45,1,6.13,0.320425255,6.450425255,6.45,1,6.09,0.360425255,6.450425255,6.45,1,5.77,0.680425255,6.450425255,6.45,1,6.11,0.340425255,6.450425255,6.45,1,6.04,0.410425255,6.450425255,6.45,1,7.2625,1,,6.450425255,6.450425255,,1,7.1,-0.390787372,6.709212628,7.1,1,6.32,0.389212628,6.709212628,6.71,1,5.73,0.979212628,6.709212628,6.7,1,6.14,0.569212628,6.709212628,6.7,1,6.0705,0.638712628,6.709212628,6.822,1,6.49,0.219212628,6.709212628,6.7,1,6.71,-0.000787372,6.709212628,6.71,1,6.4,0.309212628,6.709212628,6.7,1,6.52,6.714019963,6.71,6.450425255,1,6.49,0.224019963,6.450425255,6.71,1,6.85,-0.140787372,6.709212628,6.85,,1,,,6.709212628,1,6.709212628,,1000 ml,6.6985,1,0.010712628,6.709212628,6.718,,6.01,1,6.709212628,6.7,,,1,,,6.62,6.4355,,,1,,,1,,
V57-96.8,V57-96,vulpina,Control,37,7.419,4.405342618,2.761657382,6.25,0.616668524,1,6.4625,0.404168524,6.866668524,1,6.46,0.406668524,6.866668524,1,6.46,0.406668524,6.866668524,1,6.3,0.566668524,6.866668524,6.86,1,6.55,0.316668524,6.866668524,6.86,1,6.53,0.336668524,6.866668524,6.86,1,6.22,0.646668524,6.866668524,6.86,1,6.49,0.376668524,6.866668524,6.86,1,6.51,0.356668524,6.866668524,6.86,1,7.643,1,,6.866668524,6.866668524,,1,7.01,0.132834262,7.142834262,7.14,1,6.51,0.632834262,7.142834262,7.15,1,6.08,1.062834262,7.142834262,7.14,1,6.58,0.562834262,7.142834262,7.14,1,6.492,0.650834262,7.142834262,7.21,1,6.97,0.172834262,7.142834262,7.14,1,7.11,0.032834262,7.142834262,7.14,1,6.42,0.722834262,7.142834262,7.14,1,6.89,6.785649257,6.89,6.866668524,1,6.88,0.262834262,6.866668524,6.88,1,7.12,0.022834262,7.142834262,7.14,,1,,,7.142834262,1,7.142834262,,600 ml,7.0875,1,0.055334262,7.142834262,7.143,,6.5,1,7.142834262,7.14,,,1,,,7.08,6.8945,,,1,,,1,,
CC12.2,CC12,californica,Drought,38,6.973,4.131199629,2.589800371,5.89,0.565039926,1,6.1125,0.342539926,6.455039926,1,6.16,0.295039926,6.455039926,1,6.04,0.415039926,6.455039926,1,5.83,,Dont Water Today,,1,5.57,0.108099814,5.678099814,5.67,1,5.38,0.298099814,5.678099814,5.67,1,5.13,0.548099814,5.678099814,5.67,1,5.34,0.079119777,5.419119777,5.41,1,5.09,0.07013974,5.16013974,5.16013974,1,,1,4.88,0.28013974,5.16013974,5.17,1,4.89,0.27013974,5.16013974,5.16,1,4.86,0.30013974,5.16013974,5.16,1,4.78,0.38013974,5.16013974,5.16,1,4.9,0.26013974,5.16013974,5.16,1,4.932,0.22813974,5.16013974,5.19,1,4.85,0.31013974,5.16013974,5.16,1,4.96,0.20013974,5.16013974,4.96,1,4.79,0.111159703,4.901159703,4.9,1,4.74,5.086545033,5.08,4.901159703,1,4.88,0.286684773,5.16013974,5.16,1,5,0.16013974,5.16013974,5.18,,1,,,5.16013974,1,5.16013974,,,4.9055,1,0.25463974,5.16013974,5.174,,,1,5.16013974,,,,1,,,4.92,4.8975,,,1,,,1,,
T48.8,T48,mustangensis,Control,39,7.0475,4.176992572,2.618507428,6.08,0.443798514,1,6.205,0.318798514,6.523798514,1,6.2,0.323798514,6.523798514,1,6.22,0.303798514,6.523798514,1,6.06,0.463798514,6.523798514,6.52,1,6.3,0.223798514,6.523798514,6.53,1,6.27,0.253798514,6.523798514,6.52,1,6,0.523798514,6.523798514,6.52,1,6.22,0.303798514,6.523798514,6.52,1,6.19,0.333798514,6.523798514,6.52,1,7.234,1,,6.523798514,6.523798514,,1,6.74,0.045649257,6.785649257,6.78,1,6.29,0.495649257,6.785649257,6.78,1,5.94,0.845649257,6.785649257,6.78,1,6.31,0.475649257,6.785649257,6.78,1,6.241,0.544649257,6.785649257,6.7985,1,6.56,0.225649257,6.785649257,6.79,1,6.75,0.035649257,6.785649257,6.78,1,6.11,0.675649257,6.785649257,6.78,1,6.52,6.723634633,6.72,6.523798514,1,6.58,0.19928389,6.523798514,6.73,1,6.85,-0.064350743,6.785649257,6.85,,1,,,6.785649257,1,6.785649257,,1000 ml,6.7795,1,0.006149257,6.785649257,6.798,,6.09,1,6.785649257,6.78,,,1,,,6.71,6.483,,,1,,,1,,
9031.2,9031,berlandieri,Drought,40,7.241,4.295931291,2.693068709,5.76,0.942386258,1,6.0475,0.654886258,6.702386258,1,6.04,0.662386258,6.702386258,1,6,0.702386258,6.702386258,1,5.67,,Dont Water Today,,1,5.32,0.574465645,5.894465645,5.89,1,5.41,0.484465645,5.894465645,5.89,1,5.07,0.824465645,5.894465645,5.9,1,5.41,0.215158774,5.625158774,5.62,1,5.15,0.205851904,5.355851903,5.355851903,1,,1,4.84,0.515851904,5.355851903,5.35,1,4.95,0.405851904,5.355851903,5.36,1,4.92,0.435851904,5.355851903,5.35,1,4.81,0.545851904,5.355851903,5.37,1,5,0.355851904,5.355851903,5.35,1,4.974,0.381851904,5.355851903,5.3625,1,4.82,0.535851904,5.355851903,5.35,1,5.02,0.335851904,5.355851903,5.02,1,4.78,0.306545033,5.086545033,5.08,1,4.76,5.011145775,5.02,5.086545033,1,4.78,0.576997679,5.355851903,5.35,1,5.12,0.235851904,5.355851903,5.35,,1,,,5.355851903,1,5.355851903,,,4.9655,1,0.390351904,5.355851903,5.397,,,1,5.355851903,,,,1,,,5.05,5.0255,,,1,,,1,,
588155.01.2,588155.01,palmata,Drought,41,6.983,4.137346332,2.593653668,5.98,0.484269267,1,6.1085,0.355769267,6.464269266,1,6.11,0.354269267,6.464269266,1,6.1,0.364269267,6.464269266,1,5.97,,Dont Water Today,,1,5.77,-0.083826834,5.686173166,5.77,1,5.58,0.106173166,5.686173166,5.68,1,5.31,0.376173166,5.686173166,5.69,1,5.47,-0.043192201,5.426807799,5.47,1,5.26,-0.092557567,5.167442433,5.26,1,,1,5.04,0.127442433,5.167442433,5.16,1,4.94,0.227442433,5.167442433,5.17,1,4.92,0.247442433,5.167442433,5.16,1,4.8,0.367442433,5.167442433,5.16,1,4.93,0.237442433,5.167442433,5.16,1,4.9255,0.241942433,5.167442433,5.183,1,4.79,0.377442433,5.167442433,5.16,1,4.95,0.217442433,5.167442433,4.95,1,4.73,0.178077066,4.908077066,4.91,1,4.65,4.778722377,4.77,4.908077066,1,4.62,0.55616481,5.167442433,5.16,1,4.91,0.257442433,5.167442433,5.21,,1,,,5.167442433,1,5.167442433,,,4.917,1,0.250442433,5.167442433,5.181,,,1,5.167442433,,,,1,,,4.9,4.869,,,1,,,1,,
V60-96.6,V60-96,vulpina,Control,42,7.132,4.228932219,2.651067781,6.48,0.121786444,1,6.4325,0.169286444,6.601786444,1,6.55,0.051786444,6.601786444,1,6.31,0.291786444,6.601786444,1,6.2,0.401786444,6.601786444,6.6,1,6.36,0.241786444,6.601786444,6.61,1,6.37,0.231786444,6.601786444,6.6,1,6.14,0.461786444,6.601786444,6.61,1,6.34,0.261786444,6.601786444,6.6,1,6.3,0.301786444,6.601786444,6.6,1,7.356,1,,6.601786444,6.601786444,,1,,6.866893222,6.866893222,,1,,6.866893222,6.866893222,,1,6.14,0.726893222,6.866893222,6.87,1,6.53,0.336893222,6.866893222,6.86,1,6.4345,0.432393222,6.866893222,6.887,1,6.85,0.016893222,6.866893222,6.86,1,6.96,-0.093106778,6.866893222,6.96,1,6.9,-0.033106778,6.866893222,6.9,1,6.83,7.071685701,7.07,6.601786444,1,6.86,0.211685701,6.601786444,7.08,1,6.5,0.366893222,6.866893222,6.86,,1,,,6.866893222,1,6.866893222,,600 ml,6.568,1,0.298893222,6.866893222,6.878,,6.18,1,6.866893222,6.86,,,1,,,6.81,,,,1,,,1,,
OCK1-S02.1,OCK1-S02,acerifolia,Drought,43,6.796,4.022402971,2.521597029,5.5,0.791680594,1,5.824,0.467680594,6.291680594,1,5.68,0.611680594,6.291680594,1,5.65,0.641680594,6.291680594,1,5.34,,Dont Water Today,,1,5,0.535201486,5.535201486,5.53,1,5.03,0.505201486,5.535201486,5.53,1,4.7,0.835201486,5.535201486,5.54,1,4.99,0.293041783,5.283041783,5.28,1,4.74,0.29088208,5.03088208,5.03088208,1,,1,4.46,0.57088208,5.03088208,5.09,1,4.66,0.37088208,5.03088208,5.04,1,4.54,0.49088208,5.03088208,5.03,1,4.45,0.58088208,5.03088208,5.04,1,4.61,0.42088208,5.03088208,5.03,1,4.625,0.40588208,5.03088208,5.0645,1,4.48,0.55088208,5.03088208,5.03,1,4.62,0.41088208,5.03088208,4.62,1,4.41,0.368722377,4.778722377,4.78,1,4.44,4.750361189,4.76,4.778722377,1,4.49,0.531243269,5.03088208,5.03,1,4.76,0.27088208,5.03088208,5.06,,1,,,5.03088208,1,5.03088208,,,4.6425,1,0.38838208,5.03088208,5.045,,,1,5.03088208,,,,1,,,4.61,4.563,,,1,,,1,,
9031.9,9031,berlandieri,Control,44,7.345,4.35985701,2.73314299,6.3,0.498371402,1,6.4035,0.394871402,6.798371402,1,6.36,0.438371402,6.798371402,1,6.38,0.418371402,6.798371402,1,6.19,0.608371402,6.798371402,6.8,1,6.42,0.378371402,6.798371402,6.79,1,6.42,0.378371402,6.798371402,6.8,1,6.08,0.718371402,6.798371402,6.79,1,6.39,0.408371402,6.798371402,6.79,1,6.34,0.458371402,6.798371402,6.79,1,7.4255,1,,6.798371402,6.798371402,,1,6.74,0.331685701,7.071685701,7.07,1,6.38,0.691685701,7.071685701,7.07,1,5.96,1.111685701,7.071685701,7.07,1,6.45,0.621685701,7.071685701,7.07,1,6.2735,0.798185701,7.071685701,7.0935,1,6.78,0.291685701,7.071685701,7.07,1,6.94,0.131685701,7.071685701,7.07,1,6.81,0.261685701,7.071685701,7.07,1,6.91,7.046687558,7.04,6.798371402,1,6.8,0.268373259,6.798371402,7.05,1,7.03,0.041685701,7.071685701,7.07,,1,,,7.071685701,1,7.071685701,,600 ml,6.4095,1,0.662185701,7.071685701,7.076,,6.36,1,7.071685701,7.07,,,1,,,6.97,6.725,,,1,,,1,,
