"Date_group","Treatment","species_geno","mean_value_LWP","sem_LWP","mean_value_PD","sem_PD","mean_value_SWP","sem_SWP","mean_value_leafwp_predawn","sem_leafwp_predawn"
"12/03","Control","V60-96",10.8,1.13885907820063,8.04,0.672755527662166,NA,NA,1.39732828113473,0.216551340321057
"12/03","Control","Vru42",13.675,0.66879867424111,8.48,0.438634243989226,NA,NA,1.69128233522325,0.0517707315058701
"12/03","Control","b40-14",11.68,0.421188793773054,7.58333333333333,0.391081122587686,NA,NA,1.53678696729633,0.180586030306076
"12/03","Control","b42-34",12.54,0.680147042925278,9.48,0.633561362458286,NA,NA,1.32923772833294,0.0394974462388936
"12/03","Drought","9018",11.06,0.530659966456864,8.28,0.511272921246568,NA,NA,1.34973547319469,0.0852104916128658
"12/03","Drought","NY1",12.9666666666667,0.290593262902712,7.725,0.815858443604036,NA,NA,2.03296963946869,0.0476755218216318
"12/03","Drought","T48",12.96,0.787146746166177,8.64,0.68381283989115,NA,NA,1.54693443908422,0.179925777749353
"12/03","Drought","T52",12.4,0.367423461417477,9.66,0.974987179402888,NA,NA,1.42761290756735,0.150948101032429
"12/03","Drought","TXNM0821",11.84,0.667532770731145,7.04,0.67720011813348,NA,NA,1.85945067663818,0.124883362167074
"12/03","Drought","V60-96",12.65,0.953502316025854,8.53333333333333,0.233333333333334,NA,NA,1.52087668192537,0.318629490914135
"12/03","Drought","Vru42",13,1,9,0.664830805543787,NA,NA,1.42135642135642,0.00721500721500723
"12/03","Drought","b40-14",12.85,0.85,9.45,0.440643468880076,NA,NA,1.46699346405229,0.0552287581699345
"12/03","Drought","b42-34",14.4666666666667,0.260341655863555,11.34,0.911372591205156,NA,NA,1.2523088023088,0.152474510365657
"12/18","Control","9018",11.46,1.21103261723209,6.66,0.213541565040626,10.66,0.910823802938856,1.73547308102345,0.213050920706083
"12/18","Control","NY1",12.82,0.933488082409197,7.125,0.505593710403917,10.66,1.01567711404757,1.89156586021505,0.16886987668482
"12/18","Control","T48",10.7,0.515751878329105,6.34,0.513419906119737,10.22,1.12445542374965,1.73015379869558,0.149088169078699
"12/18","Control","T52",10.88,0.61595454377738,6,0.6308724118235,9.74,1.21227059685534,1.92336725774226,0.28570857965071
"12/18","Control","TXNM0821",10.84,0.948999473129464,5.06,0.382883794381533,9.08,1.09881754627418,2.18723007151579,0.24561210170226
"12/18","Control","V60-96",10.16,0.666783323126786,5.36,0.273130005674953,9.98,0.697423830966508,1.90532749020986,0.128686625564915
"12/18","Control","Vru42",12.0114,1.66117728132791,6.92,0.203469899493758,11.5,0.633771778061051,1.96936391223156,0.0648763657872111
"12/18","Control","b40-14",13.175,0.881641461517473,5.6,0.706399320497974,9.75,1.71488580766573,2.14336211566887,0.229694034239444
"12/18","Control","b42-34",11.125,1.75374599072956,8.175,1.09268400433672,11.54,0.484355241532493,1.51149520809764,0.379642013079674
"12/18","Drought","9018",13.95,0.542678542048605,8.9,0.753657747256671,12.88,0.664379409674924,1.58863425679335,0.125941299094327
"12/18","Drought","NY1",12.875,0.492231314187412,7.675,0.603289593257942,11.95,0.805708797684788,1.70081062007924,0.116892996846592
"12/18","Drought","T48",11.4,1.07517440445725,7.48,0.29563490998189,11.42,1.36616250863505,1.52444058013238,0.136590840534182
"12/18","Drought","T52",11.85,1.36228973912796,9.4,1.1458621208505,12.2333333333333,1.25742240759067,1.52240269595985,0.170412229888372
"12/18","Drought","TXNM0821",10.575,0.589314573607905,5.98,0.641404708432983,9.42,0.38,1.85027922044719,0.160631965258154
"12/18","Drought","V60-96",12.66,0.474973683481517,9.24,1.16043095443029,12.76,0.683081254317523,1.58892161342445,0.201266531178436
"12/18","Drought","Vru42",12.9,NA,9.04,1.09663120510042,13.6,0.7,1.46590909090909,NA
"12/18","Drought","b40-14",14,NA,11.5,NA,11.6,NA,NA,NA
"12/18","Drought","b42-34",14.6,NA,10.14,0.463249392876019,13.05,0.95,1.69767441860465,NA
